T,O,H,L,C,V
2011-01-02 22:00:00+00:00,1.01493,1.01775,1.00801,1.01046,16253.0
2011-01-03 22:00:00+00:00,1.0105,1.01061,1.00004,1.00354,31534.0
2011-01-04 22:00:00+00:00,1.00349,1.0055,0.99264,0.99527,31723.0
2011-01-05 22:00:00+00:00,0.99521,0.99727,0.98995,0.99107,23419.0
2011-01-06 22:00:00+00:00,0.99104,0.99242,0.98341,0.98938,27961.0
2011-01-08 22:00:00+00:00,0.98888,0.99124,0.98528,0.98613,1110.0
2011-01-09 22:00:00+00:00,0.98607,0.99048,0.9843,0.98898,23642.0
2011-01-10 22:00:00+00:00,0.9889,0.98963,0.97504,0.97768,27698.0
2011-01-11 22:00:00+00:00,0.97765,0.98467,0.97056,0.98233,26953.0
2011-01-12 22:00:00+00:00,0.98236,0.99136,0.97869,0.98684,24091.0
2011-01-13 22:00:00+00:00,0.98693,0.99091,0.97828,0.97975,25416.0
2011-01-14 22:00:00+00:00,0.97985,0.97985,0.97985,0.97985,1.0
2011-01-15 22:00:00+00:00,0.98062,0.98114,0.97789,0.97922,638.0
2011-01-16 22:00:00+00:00,0.97915,0.985,0.97504,0.98095,16824.0
2011-01-17 22:00:00+00:00,0.981,0.99141,0.9773,0.99069,21042.0
2011-01-18 22:00:00+00:00,0.99073,0.99966,0.98866,0.99664,23460.0
2011-01-19 22:00:00+00:00,0.99631,0.99664,0.98332,0.98447,32066.0
2011-01-20 22:00:00+00:00,0.98443,0.98683,0.98112,0.98303,24813.0
2011-01-21 22:00:00+00:00,0.98298,0.98311,0.98298,0.98311,13.0
2011-01-22 22:00:00+00:00,0.98311,0.98378,0.98142,0.98171,415.0
2011-01-23 22:00:00+00:00,0.98175,0.99458,0.98052,0.991,20177.0
2011-01-24 22:00:00+00:00,0.99093,0.9949,0.98632,0.99357,27682.0
2011-01-25 22:00:00+00:00,0.99344,0.99582,0.98966,0.99336,22112.0
2011-01-26 22:00:00+00:00,0.99324,0.99586,0.9842,0.98552,25803.0
2011-01-27 22:00:00+00:00,0.98557,0.99548,0.98449,0.99533,24443.0
2011-01-28 22:00:00+00:00,0.99557,0.99557,0.99553,0.99553,14.0
2011-01-29 22:00:00+00:00,0.99553,0.99561,0.99011,0.99093,1291.0
2011-01-30 22:00:00+00:00,0.99097,1.00226,0.98914,0.99841,23896.0
2011-01-31 22:00:00+00:00,0.99835,1.00578,0.99561,1.00164,28373.0
2011-02-01 22:00:00+00:00,1.00167,1.00335,0.99384,0.99787,20200.0
2011-02-02 22:00:00+00:00,0.99779,1.00705,0.99718,1.00632,21507.0
2011-02-03 22:00:00+00:00,1.00637,1.01486,1.00028,1.00095,24742.0
2011-02-04 22:00:00+00:00,1.00095,1.00095,1.00095,1.00095,2.0
2011-02-05 22:00:00+00:00,1.00095,1.00197,0.99973,1.00124,555.0
2011-02-06 22:00:00+00:00,1.00128,1.00484,0.99883,1.0042,19278.0
2011-02-07 22:00:00+00:00,1.00424,1.01274,1.00178,1.00975,22873.0
2011-02-08 22:00:00+00:00,1.00979,1.01037,1.0031,1.00625,20991.0
2011-02-09 22:00:00+00:00,1.0062,1.00792,0.99777,0.99971,23083.0
2011-02-10 22:00:00+00:00,0.99968,0.99973,0.98832,0.9893,21218.0
2011-02-11 22:00:00+00:00,0.9892,0.9892,0.9892,0.9892,12.0
2011-02-12 22:00:00+00:00,0.9892,0.99175,0.98784,0.98784,1182.0
2011-02-13 22:00:00+00:00,0.98776,0.99292,0.97168,0.99196,17495.0
2011-02-14 22:00:00+00:00,0.992,0.99293,0.9839,0.98623,20008.0
2011-02-15 22:00:00+00:00,0.98627,0.99078,0.9835,0.98808,20707.0
2011-02-16 22:00:00+00:00,0.98801,0.9974,0.98638,0.99609,18193.0
2011-02-17 22:00:00+00:00,0.99604,1.00174,0.99258,1.00116,17298.0
2011-02-18 22:00:00+00:00,1.00116,1.00116,1.00116,1.00116,11.0
2011-02-19 22:00:00+00:00,1.00116,1.00147,0.99806,0.9991,518.0
2011-02-20 22:00:00+00:00,0.99904,1.00028,0.99104,0.99222,11548.0
2011-02-21 22:00:00+00:00,0.99228,0.99244,0.98472,0.98958,27450.0
2011-02-22 22:00:00+00:00,0.98961,0.99578,0.98848,0.99179,24772.0
2011-02-23 22:00:00+00:00,0.99175,0.99508,0.98786,0.99135,26855.0
2011-02-24 22:00:00+00:00,0.9913,0.99702,0.99098,0.99472,17494.0
2011-02-25 22:00:00+00:00,0.99476,0.99476,0.99471,0.99471,2.0
2011-02-26 22:00:00+00:00,0.99471,0.99695,0.99296,0.99346,627.0
2011-02-27 22:00:00+00:00,0.99358,0.99617,0.98898,0.98971,19826.0
2011-02-28 22:00:00+00:00,0.98965,0.9916,0.98548,0.98775,20003.0
2011-03-01 22:00:00+00:00,0.9878,0.98982,0.98399,0.98967,19207.0
2011-03-02 22:00:00+00:00,0.98971,0.9918,0.98596,0.98625,16362.0
2011-03-03 22:00:00+00:00,0.98617,0.98725,0.97948,0.98691,18482.0
2011-03-04 22:00:00+00:00,0.98681,0.98695,0.98676,0.98695,9.0
2011-03-05 22:00:00+00:00,0.98695,0.98834,0.98531,0.98769,570.0
2011-03-06 22:00:00+00:00,0.98762,0.98834,0.98284,0.98485,14614.0
2011-03-07 22:00:00+00:00,0.98492,0.98642,0.97878,0.98099,15671.0
2011-03-08 22:00:00+00:00,0.98103,0.98136,0.97731,0.97896,14992.0
2011-03-09 22:00:00+00:00,0.979,0.98013,0.97238,0.97682,24331.0
2011-03-10 22:00:00+00:00,0.97676,0.98774,0.97226,0.98665,25577.0
2011-03-11 22:00:00+00:00,0.98665,0.98665,0.98665,0.98665,12.0
2011-03-12 22:00:00+00:00,0.98665,0.98923,0.98562,0.98763,1401.0
2011-03-13 21:00:00+00:00,0.98753,0.98827,0.97803,0.98335,22136.0
2011-03-14 21:00:00+00:00,0.98331,0.98422,0.97138,0.97707,48937.0
2011-03-15 21:00:00+00:00,0.97738,0.97906,0.97264,0.97541,43012.0
2011-03-16 21:00:00+00:00,0.97538,0.97705,0.96335,0.96545,47487.0
2011-03-17 21:00:00+00:00,0.96554,0.98339,0.96429,0.98027,33458.0
