T,O,H,L,C,V
2011-01-03 22:00:00+00:00,0.94914,0.95651,0.94416,0.95346,12209.0
2011-01-04 22:00:00+00:00,0.95335,0.9681,0.94977,0.96546,13607.0
2011-01-05 22:00:00+00:00,0.96553,0.96782,0.95684,0.96006,10745.0
2011-01-06 22:00:00+00:00,0.96013,0.96492,0.9536,0.96324,12899.0
2011-01-07 22:00:00+00:00,0.96332,0.96332,0.96332,0.96332,1.0
2011-01-08 22:00:00+00:00,0.96306,0.96434,0.95998,0.96169,841.0
2011-01-09 22:00:00+00:00,0.96178,0.96548,0.95376,0.96316,10466.0
2011-01-10 22:00:00+00:00,0.96331,0.96434,0.95093,0.96118,12645.0
2011-01-11 22:00:00+00:00,0.9613,0.96729,0.95524,0.96342,13934.0
2011-01-12 22:00:00+00:00,0.96334,0.97172,0.9596,0.96153,13040.0
2011-01-13 22:00:00+00:00,0.96131,0.9642,0.95166,0.95268,12342.0
2011-01-14 22:00:00+00:00,0.95258,0.9527,0.9525,0.9527,3.0
2011-01-15 22:00:00+00:00,0.9527,0.95617,0.9527,0.95372,747.0
2011-01-16 22:00:00+00:00,0.95386,0.96235,0.95126,0.9587,9019.0
2011-01-17 22:00:00+00:00,0.95852,0.96324,0.9543,0.96282,11544.0
2011-01-18 22:00:00+00:00,0.96294,0.9685,0.95368,0.95558,11920.0
2011-01-19 22:00:00+00:00,0.95573,0.9567,0.94625,0.95491,14785.0
2011-01-20 22:00:00+00:00,0.955,0.95595,0.9466,0.9485,12027.0
2011-01-21 22:00:00+00:00,0.94863,0.94863,0.94825,0.94825,13.0
2011-01-22 22:00:00+00:00,0.94825,0.94976,0.94435,0.94463,615.0
2011-01-23 22:00:00+00:00,0.94472,0.95297,0.94384,0.94672,9936.0
2011-01-24 22:00:00+00:00,0.94662,0.94822,0.93446,0.93919,13191.0
2011-01-25 22:00:00+00:00,0.93928,0.94461,0.93712,0.94075,11334.0
2011-01-26 22:00:00+00:00,0.94067,0.94269,0.93348,0.93788,12668.0
2011-01-27 22:00:00+00:00,0.938,0.94246,0.9339,0.9362,11421.0
2011-01-28 22:00:00+00:00,0.9363,0.93654,0.9363,0.93654,14.0
2011-01-29 22:00:00+00:00,0.93654,0.93674,0.93102,0.9312,1017.0
