T,O,H,L,C,V
2011-01-03 22:00:00+00:00,83.102,83.148,81.977,82.453,53468.0
2011-01-04 22:00:00+00:00,82.459,83.38,81.956,83.213,59635.0
2011-01-05 22:00:00+00:00,83.217,83.37,82.56,82.849,47662.0
2011-01-06 22:00:00+00:00,82.852,83.098,82.218,82.796,54381.0
2011-01-08 22:00:00+00:00,82.836,83.031,82.608,82.623,1409.0
2011-01-09 22:00:00+00:00,82.632,82.858,81.878,82.341,42091.0
2011-01-10 22:00:00+00:00,82.344,82.39,81.582,82.175,49694.0
2011-01-11 22:00:00+00:00,82.18,82.872,81.729,82.715,49823.0
2011-01-12 22:00:00+00:00,82.713,82.974,82.367,82.618,48192.0
2011-01-13 22:00:00+00:00,82.61,82.762,81.694,81.933,47132.0
2011-01-14 22:00:00+00:00,81.936,81.936,81.936,81.936,1.0
2011-01-15 22:00:00+00:00,81.988,82.13,81.781,82.037,1087.0
2011-01-16 22:00:00+00:00,82.045,82.334,81.776,82.165,32809.0
2011-01-17 22:00:00+00:00,82.161,82.575,81.814,82.508,43605.0
2011-01-18 22:00:00+00:00,82.512,82.792,81.95,82.093,44588.0
2011-01-19 22:00:00+00:00,82.072,82.118,81.52,81.929,55682.0
2011-01-20 22:00:00+00:00,81.927,82.084,81.624,81.723,44965.0
2011-01-21 22:00:00+00:00,81.714,81.728,81.711,81.726,21.0
2011-01-22 22:00:00+00:00,81.726,81.82,81.547,81.573,1328.0
2011-01-23 22:00:00+00:00,81.577,82.498,81.555,82.306,38420.0
2011-01-24 22:00:00+00:00,82.318,82.404,81.482,81.975,50555.0
2011-01-25 22:00:00+00:00,81.979,82.206,81.7,82.109,40593.0
2011-01-26 22:00:00+00:00,82.113,82.442,81.666,82.257,45765.0
2011-01-27 22:00:00+00:00,82.245,82.274,81.318,81.63,44458.0
2011-01-28 22:00:00+00:00,81.616,81.656,81.616,81.651,19.0
2011-01-29 22:00:00+00:00,81.651,81.651,81.063,81.126,2740.0
2011-01-30 22:00:00+00:00,81.123,81.91,80.983,81.832,38570.0
2011-01-31 22:00:00+00:00,81.829,82.578,81.763,82.259,44428.0
2011-02-01 22:00:00+00:00,82.264,82.56,82.006,82.385,35014.0
2011-02-02 22:00:00+00:00,82.387,82.956,82.272,82.875,35103.0
2011-02-03 22:00:00+00:00,82.877,83.514,82.488,83.317,36822.0
2011-02-04 22:00:00+00:00,83.311,83.327,83.311,83.327,4.0
2011-02-05 22:00:00+00:00,83.327,83.327,83.155,83.267,876.0
2011-02-06 22:00:00+00:00,83.27,83.712,83.069,83.434,29333.0
2011-02-07 22:00:00+00:00,83.431,83.73,83.118,83.567,33615.0
2011-02-08 22:00:00+00:00,83.564,83.572,83.09,83.356,34329.0
2011-02-09 22:00:00+00:00,83.359,83.736,82.944,83.582,39113.0
2011-02-10 22:00:00+00:00,83.588,83.712,83.194,83.593,34783.0
2011-02-11 22:00:00+00:00,83.586,83.586,83.586,83.586,12.0
2011-02-12 22:00:00+00:00,83.586,83.812,83.35,83.352,1913.0
2011-02-13 22:00:00+00:00,83.362,83.778,83.314,83.564,29734.0
2011-02-14 22:00:00+00:00,83.566,83.896,83.382,83.471,36835.0
2011-02-15 22:00:00+00:00,83.473,84.01,83.419,83.952,39937.0
2011-02-16 22:00:00+00:00,83.948,84.404,83.755,84.301,33240.0
2011-02-17 22:00:00+00:00,84.296,84.478,84.204,84.394,28850.0
2011-02-18 22:00:00+00:00,84.394,84.394,84.394,84.394,11.0
2011-02-19 22:00:00+00:00,84.394,84.395,84.09,84.242,858.0
2011-02-20 22:00:00+00:00,84.244,84.395,83.788,83.924,20643.0
2011-02-21 22:00:00+00:00,83.922,84.242,82.478,82.672,49725.0
2011-02-22 22:00:00+00:00,82.677,83.184,82.246,82.699,39654.0
2011-02-23 22:00:00+00:00,82.697,82.864,81.902,82.618,45092.0
2011-02-24 22:00:00+00:00,82.621,83.204,82.573,83.121,30646.0
2011-02-25 22:00:00+00:00,83.127,83.127,83.122,83.122,3.0
2011-02-26 22:00:00+00:00,83.122,83.149,82.884,82.921,794.0
2011-02-27 22:00:00+00:00,82.937,83.466,82.641,83.304,31856.0
2011-02-28 22:00:00+00:00,83.302,83.73,82.945,82.955,34773.0
2011-03-01 22:00:00+00:00,82.958,83.336,82.629,83.262,32257.0
2011-03-02 22:00:00+00:00,83.25,83.704,83.002,83.644,32121.0
2011-03-03 22:00:00+00:00,83.648,84.003,83.132,83.45,34156.0
2011-03-04 22:00:00+00:00,83.446,83.463,83.446,83.463,8.0
2011-03-05 22:00:00+00:00,83.463,83.573,83.265,83.55,1107.0
2011-03-06 22:00:00+00:00,83.547,83.619,82.942,83.215,29185.0
2011-03-07 22:00:00+00:00,83.211,83.66,83.122,83.485,30664.0
2011-03-08 22:00:00+00:00,83.483,83.757,83.384,83.633,26526.0
2011-03-09 22:00:00+00:00,83.636,83.757,82.853,83.046,44431.0
2011-03-10 22:00:00+00:00,83.048,83.313,81.959,83.009,55365.0
2011-03-11 22:00:00+00:00,82.995,82.995,82.984,82.984,15.0
2011-03-12 22:00:00+00:00,82.984,83.293,82.764,82.856,3039.0
2011-03-13 21:00:00+00:00,82.851,83.222,81.439,82.426,58505.0
2011-03-14 21:00:00+00:00,82.423,82.654,79.282,79.988,87055.0
2011-03-15 21:00:00+00:00,79.99,80.757,78.008,78.311,70358.0
2011-03-16 21:00:00+00:00,78.308,78.308,74.735,77.331,122848.0
2011-03-17 21:00:00+00:00,77.329,81.446,77.285,80.242,97829.0
