T,O,H,L,C,V
2011-01-01 22:00:00+00:00,1.31232,1.31733,1.31088,1.31439,507.0
2011-01-02 22:00:00+00:00,1.31454,1.31701,1.31065,1.31467,11808.0
2011-01-03 22:00:00+00:00,1.31488,1.31658,1.30821,1.31096,24070.0
2011-01-04 22:00:00+00:00,1.31102,1.3214,1.30707,1.31972,24543.0
2011-01-05 22:00:00+00:00,1.31984,1.32074,1.312,1.31402,20525.0
2011-01-06 22:00:00+00:00,1.31396,1.31542,1.30721,1.31059,22528.0
2011-01-07 22:00:00+00:00,1.30955,1.30955,1.30955,1.30955,1.0
2011-01-08 22:00:00+00:00,1.31255,1.31265,1.30794,1.30933,892.0
2011-01-09 22:00:00+00:00,1.30941,1.31172,1.30086,1.3037,20099.0
2011-01-10 22:00:00+00:00,1.30382,1.30386,1.29432,1.29782,25051.0
2011-01-11 22:00:00+00:00,1.29792,1.30904,1.29266,1.30393,24247.0
2011-01-12 22:00:00+00:00,1.30457,1.30808,1.29296,1.2934,24108.0
2011-01-13 22:00:00+00:00,1.29385,1.29908,1.28529,1.29051,21649.0
2011-01-15 22:00:00+00:00,1.29051,1.29327,1.28817,1.28943,576.0
2011-01-16 22:00:00+00:00,1.28958,1.29017,1.28402,1.28656,16618.0
2011-01-17 22:00:00+00:00,1.28663,1.29626,1.2838,1.2945,19244.0
2011-01-18 22:00:00+00:00,1.29456,1.30165,1.29117,1.3012,20024.0
2011-01-19 22:00:00+00:00,1.3014,1.30552,1.29548,1.30355,32177.0
2011-01-20 22:00:00+00:00,1.30361,1.30828,1.30181,1.3038,21918.0
2011-01-21 22:00:00+00:00,1.30249,1.30249,1.302,1.302,13.0
2011-01-22 22:00:00+00:00,1.302,1.30616,1.30001,1.30353,591.0
2011-01-23 22:00:00+00:00,1.3036,1.30928,1.30009,1.30672,18146.0
2011-01-24 22:00:00+00:00,1.30688,1.30746,1.29554,1.29651,24294.0
2011-01-25 22:00:00+00:00,1.29646,1.30188,1.29056,1.29252,19748.0
2011-01-26 22:00:00+00:00,1.29282,1.29335,1.28056,1.2843,22805.0
2011-01-27 22:00:00+00:00,1.28436,1.28814,1.27806,1.28451,19269.0
2011-01-28 22:00:00+00:00,1.28484,1.28484,1.28484,1.28484,13.0
2011-01-29 22:00:00+00:00,1.28484,1.28707,1.28141,1.2849,1460.0
2011-01-30 22:00:00+00:00,1.2848,1.29272,1.2827,1.29022,18145.0
2011-01-31 22:00:00+00:00,1.2903,1.30024,1.28948,1.29378,20275.0
2011-02-01 22:00:00+00:00,1.29388,1.30726,1.28877,1.30571,16498.0
2011-02-02 22:00:00+00:00,1.30563,1.31437,1.30403,1.31273,18063.0
2011-02-03 22:00:00+00:00,1.31279,1.32098,1.31194,1.31662,16659.0
2011-02-04 22:00:00+00:00,1.31662,1.31662,1.31662,1.31662,2.0
2011-02-05 22:00:00+00:00,1.31662,1.31929,1.3144,1.31664,538.0
2011-02-06 22:00:00+00:00,1.31657,1.3205,1.3121,1.31626,13858.0
2011-02-07 22:00:00+00:00,1.3164,1.31658,1.30436,1.30894,17658.0
2011-02-08 22:00:00+00:00,1.30906,1.31534,1.3064,1.3105,15436.0
2011-02-09 22:00:00+00:00,1.31056,1.31658,1.30644,1.31392,18155.0
2011-02-10 22:00:00+00:00,1.31402,1.32082,1.31181,1.3173,19139.0
2011-02-11 22:00:00+00:00,1.31756,1.31767,1.31742,1.31767,16.0
2011-02-12 22:00:00+00:00,1.31767,1.32227,1.31588,1.32052,1284.0
2011-02-13 22:00:00+00:00,1.32047,1.32834,1.32015,1.32518,13552.0
2011-02-14 22:00:00+00:00,1.32534,1.33064,1.32367,1.32506,17302.0
2011-02-15 22:00:00+00:00,1.32525,1.32991,1.32185,1.32881,19532.0
2011-02-16 22:00:00+00:00,1.32873,1.33448,1.32774,1.33322,15236.0
2011-02-17 22:00:00+00:00,1.33328,1.33439,1.32586,1.3321,13663.0
2011-02-18 22:00:00+00:00,1.3321,1.3321,1.3321,1.3321,11.0
2011-02-19 22:00:00+00:00,1.3321,1.33219,1.32677,1.3287,523.0
2011-02-20 22:00:00+00:00,1.32861,1.33078,1.32078,1.3214,11025.0
2011-02-21 22:00:00+00:00,1.32148,1.34066,1.31928,1.33802,30183.0
2011-02-22 22:00:00+00:00,1.33806,1.34753,1.33531,1.34362,24842.0
2011-02-23 22:00:00+00:00,1.34374,1.35034,1.34278,1.34966,23856.0
2011-02-24 22:00:00+00:00,1.34974,1.35604,1.34495,1.35388,17417.0
2011-02-26 22:00:00+00:00,1.35388,1.35452,1.35137,1.35265,562.0
2011-02-27 22:00:00+00:00,1.35292,1.35526,1.34739,1.3535,16267.0
2011-02-28 22:00:00+00:00,1.35366,1.3576,1.34971,1.35596,18371.0
2011-03-01 22:00:00+00:00,1.35604,1.36955,1.35492,1.36778,22280.0
2011-03-02 22:00:00+00:00,1.36828,1.37172,1.36078,1.36906,19066.0
2011-03-03 22:00:00+00:00,1.36914,1.37688,1.36735,1.37392,20277.0
2011-03-04 22:00:00+00:00,1.37419,1.37419,1.37419,1.37419,7.0
2011-03-05 22:00:00+00:00,1.37419,1.37907,1.3722,1.37634,1354.0
2011-03-06 22:00:00+00:00,1.37642,1.3796,1.3712,1.37296,15550.0
2011-03-07 22:00:00+00:00,1.37304,1.37352,1.36212,1.36542,16032.0
2011-03-08 22:00:00+00:00,1.36548,1.37739,1.35904,1.37153,18108.0
2011-03-09 22:00:00+00:00,1.37143,1.37382,1.35979,1.3606,23473.0
2011-03-10 22:00:00+00:00,1.3607,1.3664,1.35506,1.36509,24115.0
2011-03-11 22:00:00+00:00,1.36509,1.36509,1.36509,1.36509,12.0
2011-03-12 22:00:00+00:00,1.36509,1.36837,1.362,1.36717,1336.0
2011-03-13 21:00:00+00:00,1.36696,1.3731,1.36188,1.36552,21423.0
2011-03-14 21:00:00+00:00,1.36558,1.3676,1.3501,1.35398,45857.0
2011-03-15 21:00:00+00:00,1.35406,1.35904,1.34418,1.35071,39158.0
2011-03-16 21:00:00+00:00,1.3508,1.37232,1.34907,1.36548,50648.0
2011-03-17 21:00:00+00:00,1.36563,1.36736,1.3577,1.36244,33076.0
2011-03-18 21:00:00+00:00,1.36244,1.36244,1.36244,1.36244,13.0
2011-03-19 21:00:00+00:00,1.36244,1.36375,1.36051,1.36206,700.0
2011-03-20 21:00:00+00:00,1.362,1.37197,1.36094,1.3677,18620.0
2011-03-21 21:00:00+00:00,1.36794,1.36928,1.35922,1.36492,18832.0
2011-03-22 21:00:00+00:00,1.3643,1.36896,1.36106,1.36752,19577.0
2011-03-23 21:00:00+00:00,1.36802,1.36917,1.35554,1.36294,19970.0
2011-03-24 21:00:00+00:00,1.36314,1.36402,1.35673,1.3615,19474.0
2011-03-25 21:00:00+00:00,1.3615,1.3615,1.3615,1.3615,12.0
2011-03-26 21:00:00+00:00,1.3615,1.36427,1.35845,1.35963,863.0
2011-03-27 21:00:00+00:00,1.3602,1.37304,1.35935,1.3634,16591.0
2011-03-28 21:00:00+00:00,1.36348,1.36604,1.3566,1.36072,16850.0
2011-03-29 21:00:00+00:00,1.36078,1.36201,1.3521,1.3546,15481.0
2011-03-30 21:00:00+00:00,1.35474,1.36084,1.35275,1.35638,15010.0
2011-03-31 21:00:00+00:00,1.35658,1.36088,1.35177,1.35341,14779.0
2011-04-01 21:00:00+00:00,1.35341,1.35341,1.35341,1.35341,12.0
2011-04-02 21:00:00+00:00,1.35341,1.35587,1.35177,1.35395,534.0
2011-04-03 21:00:00+00:00,1.35401,1.35402,1.34814,1.349,13857.0
2011-04-04 21:00:00+00:00,1.3491,1.35075,1.3396,1.34398,16948.0
2011-04-05 21:00:00+00:00,1.34418,1.34666,1.33723,1.33888,19112.0
2011-04-06 21:00:00+00:00,1.33896,1.35049,1.33696,1.34394,21519.0
2011-04-07 21:00:00+00:00,1.34405,1.35251,1.34351,1.34956,19190.0
2011-04-08 21:00:00+00:00,1.34949,1.34949,1.34949,1.34949,13.0
2011-04-09 21:00:00+00:00,1.34949,1.35436,1.34662,1.3492,720.0
2011-04-10 21:00:00+00:00,1.34926,1.35274,1.345,1.34592,16256.0
2011-04-11 21:00:00+00:00,1.346,1.3467,1.33127,1.33236,29750.0
2011-04-12 21:00:00+00:00,1.3325,1.33435,1.32606,1.33046,21246.0
2011-04-13 21:00:00+00:00,1.3305,1.33355,1.32408,1.32815,24585.0
2011-04-14 21:00:00+00:00,1.32822,1.32941,1.32054,1.32156,19623.0
2011-04-15 21:00:00+00:00,1.32156,1.32156,1.32156,1.32156,12.0
2011-04-16 21:00:00+00:00,1.32156,1.32295,1.31906,1.32088,605.0
2011-04-17 21:00:00+00:00,1.32081,1.33779,1.3197,1.32842,25423.0
2011-04-18 21:00:00+00:00,1.32832,1.3367,1.32756,1.33348,21471.0
2011-04-19 21:00:00+00:00,1.33362,1.34536,1.32995,1.34248,21271.0
2011-04-20 21:00:00+00:00,1.34264,1.3451,1.3391,1.34271,19820.0
2011-04-21 21:00:00+00:00,1.34254,1.34289,1.33808,1.33903,4018.0
2011-04-22 21:00:00+00:00,1.33903,1.33903,1.33903,1.33903,12.0
2011-04-23 21:00:00+00:00,1.33903,1.34051,1.33769,1.34035,101.0
2011-04-24 21:00:00+00:00,1.34028,1.34209,1.33856,1.34126,12235.0
2011-04-25 21:00:00+00:00,1.3412,1.34166,1.33533,1.33846,14287.0
2011-04-26 21:00:00+00:00,1.3386,1.34796,1.33304,1.34523,21969.0
2011-04-27 21:00:00+00:00,1.34548,1.36435,1.34548,1.36172,22795.0
2011-04-28 21:00:00+00:00,1.36184,1.36245,1.35248,1.35455,16376.0
2011-04-29 21:00:00+00:00,1.35455,1.35455,1.35455,1.35455,4.0
2011-04-30 21:00:00+00:00,1.35455,1.35455,1.35455,1.35455,13.0
2011-05-01 21:00:00+00:00,1.35455,1.36122,1.35416,1.35708,17043.0
2011-05-02 21:00:00+00:00,1.35717,1.36132,1.3527,1.35792,18367.0
2011-05-03 21:00:00+00:00,1.35806,1.37052,1.35616,1.36036,25942.0
2011-05-04 21:00:00+00:00,1.36059,1.36139,1.34723,1.34886,34611.0
2011-05-05 21:00:00+00:00,1.34896,1.36001,1.34469,1.35372,44165.0
2011-05-06 21:00:00+00:00,1.35372,1.35372,1.35372,1.35372,12.0
2011-05-07 21:00:00+00:00,1.35372,1.35596,1.35315,1.35564,267.0
2011-05-08 21:00:00+00:00,1.35537,1.35939,1.35388,1.35834,23220.0
2011-05-09 21:00:00+00:00,1.3584,1.36417,1.35654,1.36282,23239.0
2011-05-10 21:00:00+00:00,1.36289,1.36814,1.35324,1.35562,26582.0
2011-05-11 21:00:00+00:00,1.35572,1.35636,1.33568,1.34206,36157.0
2011-05-12 21:00:00+00:00,1.34214,1.3504,1.33997,1.34278,26412.0
2011-05-13 21:00:00+00:00,1.34278,1.34278,1.34278,1.34278,12.0
2011-05-14 21:00:00+00:00,1.34278,1.34854,1.3426,1.34733,437.0
2011-05-15 21:00:00+00:00,1.34749,1.35888,1.3414,1.35354,29396.0
2011-05-16 21:00:00+00:00,1.35348,1.35811,1.3513,1.35375,32225.0
2011-05-17 21:00:00+00:00,1.35384,1.35598,1.34289,1.34646,27034.0
2011-05-18 21:00:00+00:00,1.34676,1.35137,1.34353,1.34892,25181.0
2011-05-19 21:00:00+00:00,1.34908,1.34976,1.33745,1.33913,24241.0
2011-05-20 21:00:00+00:00,1.33913,1.33913,1.33913,1.33913,12.0
2011-05-21 21:00:00+00:00,1.33913,1.34117,1.33825,1.34082,264.0
2011-05-22 21:00:00+00:00,1.34069,1.34156,1.32736,1.32902,27108.0
2011-05-23 21:00:00+00:00,1.3291,1.33089,1.31806,1.32586,23397.0
2011-05-24 21:00:00+00:00,1.32612,1.32631,1.31582,1.31796,24660.0
2011-05-25 21:00:00+00:00,1.31816,1.32166,1.30672,1.31182,24353.0
2011-05-26 21:00:00+00:00,1.31166,1.3151,1.3053,1.30696,23108.0
2011-05-27 21:00:00+00:00,1.30696,1.30696,1.30696,1.30696,13.0
2011-05-28 21:00:00+00:00,1.30696,1.31628,1.30696,1.31019,685.0
2011-05-29 21:00:00+00:00,1.31027,1.31111,1.3019,1.30952,9376.0
2011-05-30 21:00:00+00:00,1.3096,1.31055,1.29272,1.29522,20254.0
2011-05-31 21:00:00+00:00,1.29528,1.30816,1.29299,1.30238,22978.0
2011-06-01 21:00:00+00:00,1.30246,1.3093,1.29879,1.30786,23476.0
2011-06-02 21:00:00+00:00,1.3078,1.31764,1.30638,1.31346,21920.0
2011-06-03 21:00:00+00:00,1.31346,1.31346,1.31346,1.31346,12.0
2011-06-04 21:00:00+00:00,1.31346,1.31487,1.31143,1.31442,514.0
2011-06-05 21:00:00+00:00,1.31449,1.31838,1.31302,1.31518,17376.0
2011-06-06 21:00:00+00:00,1.31526,1.31801,1.30057,1.30644,17451.0
2011-06-07 21:00:00+00:00,1.30663,1.30766,1.29724,1.30295,19477.0
2011-06-08 21:00:00+00:00,1.30306,1.30413,1.28097,1.28835,23831.0
2011-06-09 21:00:00+00:00,1.28828,1.28948,1.2804,1.28263,19368.0
2011-06-10 21:00:00+00:00,1.28263,1.28263,1.28263,1.28263,13.0
2011-06-11 21:00:00+00:00,1.28263,1.28521,1.28048,1.28425,567.0
2011-06-12 21:00:00+00:00,1.28432,1.30269,1.28245,1.30002,17619.0
2011-06-13 21:00:00+00:00,1.3001,1.30744,1.29724,1.30594,17061.0
2011-06-14 21:00:00+00:00,1.30588,1.31544,1.30281,1.31104,21830.0
2011-06-15 21:00:00+00:00,1.31118,1.31726,1.30944,1.31164,26284.0
2011-06-16 21:00:00+00:00,1.31172,1.31448,1.30514,1.30706,22914.0
2011-06-17 21:00:00+00:00,1.30706,1.30706,1.30706,1.30706,12.0
2011-06-18 21:00:00+00:00,1.30706,1.30974,1.30501,1.30908,223.0
2011-06-19 21:00:00+00:00,1.30901,1.30976,1.30286,1.30629,17543.0
2011-06-20 21:00:00+00:00,1.30651,1.31038,1.29866,1.30496,17726.0
2011-06-21 21:00:00+00:00,1.30502,1.3064,1.29638,1.2979,18597.0
2011-06-22 21:00:00+00:00,1.298,1.29836,1.28977,1.29274,23201.0
2011-06-23 21:00:00+00:00,1.29268,1.2993,1.28868,1.29176,19046.0
2011-06-24 21:00:00+00:00,1.29176,1.29176,1.29176,1.29176,12.0
2011-06-25 21:00:00+00:00,1.29176,1.3015,1.29169,1.29702,1260.0
2011-06-26 21:00:00+00:00,1.29697,1.30479,1.29406,1.29618,19031.0
2011-06-27 21:00:00+00:00,1.29626,1.30458,1.29558,1.29776,19742.0
2011-06-28 21:00:00+00:00,1.29786,1.3009,1.29011,1.29368,20845.0
2011-06-29 21:00:00+00:00,1.29378,1.29726,1.29021,1.2931,20225.0
2011-06-30 21:00:00+00:00,1.29304,1.30296,1.29218,1.30187,17587.0
2011-07-01 21:00:00+00:00,1.30187,1.30187,1.30187,1.30187,13.0
2011-07-02 21:00:00+00:00,1.30187,1.30371,1.30038,1.30149,534.0
2011-07-03 21:00:00+00:00,1.30141,1.30268,1.2918,1.29371,12049.0
2011-07-04 21:00:00+00:00,1.29362,1.29747,1.28235,1.29575,17769.0
2011-07-05 21:00:00+00:00,1.29582,1.29609,1.29041,1.29354,18143.0
2011-07-06 21:00:00+00:00,1.29359,1.30124,1.29143,1.29288,16774.0
2011-07-07 21:00:00+00:00,1.29296,1.29578,1.28194,1.28342,17440.0
2011-07-08 21:00:00+00:00,1.28342,1.28342,1.28342,1.28342,12.0
2011-07-09 21:00:00+00:00,1.28342,1.28754,1.28176,1.28302,1011.0
2011-07-10 21:00:00+00:00,1.28295,1.28689,1.2811,1.28516,18980.0
2011-07-11 21:00:00+00:00,1.28512,1.30041,1.28434,1.29538,34469.0
2011-07-12 21:00:00+00:00,1.29544,1.29912,1.2834,1.28458,25644.0
2011-07-13 21:00:00+00:00,1.2845,1.28738,1.2678,1.27341,29338.0
2011-07-14 21:00:00+00:00,1.27347,1.2757,1.25692,1.26104,19876.0
2011-07-15 21:00:00+00:00,1.26104,1.26104,1.26104,1.26104,2.0
2011-07-16 21:00:00+00:00,1.26104,1.26327,1.25465,1.25676,408.0
2011-07-17 21:00:00+00:00,1.25683,1.26142,1.25334,1.2552,18476.0
2011-07-18 21:00:00+00:00,1.25526,1.26091,1.24854,1.254,18657.0
2011-07-19 21:00:00+00:00,1.25412,1.25889,1.25254,1.2552,14285.0
2011-07-20 21:00:00+00:00,1.2554,1.25789,1.24978,1.25598,18680.0
2011-07-21 21:00:00+00:00,1.25588,1.26227,1.25328,1.25496,15483.0
2011-07-22 21:00:00+00:00,1.25496,1.25496,1.25496,1.25496,12.0
2011-07-23 21:00:00+00:00,1.25496,1.25699,1.25212,1.25326,603.0
2011-07-24 21:00:00+00:00,1.25359,1.25621,1.24993,1.25494,13542.0
2011-07-25 21:00:00+00:00,1.255,1.25932,1.25159,1.2584,16180.0
2011-07-26 21:00:00+00:00,1.25846,1.26892,1.25485,1.26672,18929.0
2011-07-27 21:00:00+00:00,1.26684,1.26926,1.26204,1.2629,16582.0
2011-07-28 21:00:00+00:00,1.26296,1.26722,1.24954,1.25007,21390.0
2011-07-29 21:00:00+00:00,1.25007,1.25007,1.25007,1.25007,12.0
2011-07-30 21:00:00+00:00,1.25007,1.25335,1.25007,1.2523,680.0
2011-07-31 21:00:00+00:00,1.25239,1.25618,1.24773,1.2515,20800.0
2011-08-01 21:00:00+00:00,1.25144,1.25691,1.24205,1.24401,23246.0
2011-08-02 21:00:00+00:00,1.24395,1.24997,1.23874,1.2451,29009.0
2011-08-03 21:00:00+00:00,1.24524,1.25489,1.24008,1.25112,35223.0
2011-08-04 21:00:00+00:00,1.25104,1.26048,1.2378,1.23832,48745.0
2011-08-05 21:00:00+00:00,1.23832,1.23832,1.23832,1.23832,12.0
2011-08-06 21:00:00+00:00,1.23832,1.2411,1.23293,1.23777,3666.0
2011-08-07 21:00:00+00:00,1.23767,1.2521,1.23596,1.24098,50714.0
2011-08-08 21:00:00+00:00,1.24092,1.25152,1.23385,1.23682,78323.0
2011-08-09 21:00:00+00:00,1.23674,1.26312,1.23194,1.25442,50644.0
2011-08-10 21:00:00+00:00,1.25456,1.25968,1.2399,1.24448,55229.0
2011-08-11 21:00:00+00:00,1.24454,1.25367,1.24078,1.24423,32004.0
2011-08-12 21:00:00+00:00,1.24423,1.24423,1.24423,1.24423,12.0
2011-08-13 21:00:00+00:00,1.24423,1.24626,1.24381,1.24458,157.0
2011-08-14 21:00:00+00:00,1.24467,1.26514,1.24158,1.26154,19547.0
2011-08-15 21:00:00+00:00,1.26162,1.26377,1.25009,1.25388,25367.0
2011-08-16 21:00:00+00:00,1.25399,1.26204,1.25171,1.2595,22344.0
2011-08-17 21:00:00+00:00,1.25958,1.26736,1.25322,1.26486,28279.0
2011-08-18 21:00:00+00:00,1.26494,1.27357,1.25734,1.27285,32300.0
2011-08-19 21:00:00+00:00,1.27285,1.27285,1.27285,1.27285,12.0
2011-08-20 21:00:00+00:00,1.27285,1.27285,1.26882,1.26924,223.0
2011-08-21 21:00:00+00:00,1.26917,1.27397,1.26128,1.26294,26381.0
2011-08-22 21:00:00+00:00,1.263,1.26632,1.25748,1.25898,21885.0
2011-08-23 21:00:00+00:00,1.25892,1.26747,1.25892,1.26408,20506.0
2011-08-24 21:00:00+00:00,1.26418,1.26513,1.2566,1.26091,21329.0
2011-08-25 21:00:00+00:00,1.26085,1.26519,1.2562,1.25865,24159.0
2011-08-26 21:00:00+00:00,1.25865,1.25865,1.25865,1.25865,12.0
2011-08-27 21:00:00+00:00,1.25865,1.26103,1.25769,1.2587,297.0
2011-08-28 21:00:00+00:00,1.25852,1.26148,1.25459,1.2592,14825.0
2011-08-29 21:00:00+00:00,1.25926,1.2606,1.24962,1.25213,17453.0
2011-08-30 21:00:00+00:00,1.25203,1.25496,1.24804,1.2532,16045.0
2011-08-31 21:00:00+00:00,1.25314,1.26384,1.2521,1.26006,17897.0
2011-09-01 21:00:00+00:00,1.26012,1.2615,1.2525,1.25499,19575.0
2011-09-02 21:00:00+00:00,1.25499,1.25499,1.25499,1.25499,10.0
2011-09-03 21:00:00+00:00,1.25499,1.25956,1.25499,1.25579,684.0
2011-09-04 21:00:00+00:00,1.25585,1.26999,1.25403,1.26784,16296.0
2011-09-05 21:00:00+00:00,1.26796,1.27969,1.26437,1.2743,30575.0
2011-09-06 21:00:00+00:00,1.27436,1.28339,1.27088,1.28126,19065.0
2011-09-07 21:00:00+00:00,1.28146,1.2824,1.26966,1.27272,19328.0
2011-09-08 21:00:00+00:00,1.27266,1.27462,1.26673,1.27342,23371.0
2011-09-09 21:00:00+00:00,1.27342,1.27342,1.27342,1.27342,12.0
2011-09-10 21:00:00+00:00,1.27342,1.27419,1.26892,1.27029,1459.0
2011-09-11 21:00:00+00:00,1.27023,1.2751,1.25518,1.25682,32642.0
2011-09-12 21:00:00+00:00,1.25676,1.25927,1.24986,1.253,29156.0
2011-09-13 21:00:00+00:00,1.25306,1.25605,1.24184,1.25061,32327.0
2011-09-14 21:00:00+00:00,1.25049,1.25713,1.24684,1.25352,30467.0
2011-09-15 21:00:00+00:00,1.25358,1.25596,1.24429,1.2497,21701.0
2011-09-16 21:00:00+00:00,1.2497,1.2497,1.2497,1.2497,2.0
2011-09-17 21:00:00+00:00,1.2497,1.25185,1.24425,1.24942,803.0
2011-09-18 21:00:00+00:00,1.24958,1.25119,1.23624,1.239,24011.0
2011-09-19 21:00:00+00:00,1.23906,1.24974,1.23851,1.24674,24750.0
2011-09-20 21:00:00+00:00,1.2468,1.25796,1.24462,1.25266,27463.0
2011-09-21 21:00:00+00:00,1.25278,1.26102,1.24665,1.2482,52446.0
2011-09-22 21:00:00+00:00,1.24828,1.26206,1.24645,1.26127,37171.0
2011-09-23 21:00:00+00:00,1.26127,1.26127,1.26127,1.26127,4.0
2011-09-24 21:00:00+00:00,1.26127,1.27404,1.25818,1.26317,1209.0
2011-09-25 21:00:00+00:00,1.26299,1.26768,1.25531,1.26018,43269.0
2011-09-26 21:00:00+00:00,1.26026,1.2626,1.25226,1.25712,31122.0
2011-09-27 21:00:00+00:00,1.2572,1.26323,1.2541,1.25884,29457.0
2011-09-28 21:00:00+00:00,1.2589,1.27079,1.25614,1.26861,36094.0
2011-09-29 21:00:00+00:00,1.26871,1.27766,1.26756,1.2691,34182.0
2011-09-30 21:00:00+00:00,1.2691,1.2691,1.2691,1.2691,12.0
2011-10-01 21:00:00+00:00,1.2691,1.2711,1.26755,1.26852,462.0
2011-10-02 21:00:00+00:00,1.26863,1.27203,1.26324,1.26565,38264.0
2011-10-03 21:00:00+00:00,1.26596,1.26732,1.25264,1.2592,52498.0
2011-10-04 21:00:00+00:00,1.25914,1.26336,1.25242,1.26004,38219.0
2011-10-05 21:00:00+00:00,1.26012,1.26648,1.2571,1.26298,36965.0
2011-10-06 21:00:00+00:00,1.26306,1.27196,1.2628,1.26808,30542.0
2011-10-07 21:00:00+00:00,1.26808,1.26808,1.26808,1.26808,12.0
2011-10-08 21:00:00+00:00,1.26808,1.27091,1.26648,1.26981,596.0
2011-10-09 21:00:00+00:00,1.26994,1.27574,1.26703,1.274,22365.0
2011-10-10 21:00:00+00:00,1.27408,1.2776,1.27145,1.27614,28290.0
2011-10-11 21:00:00+00:00,1.27627,1.278,1.27054,1.276,29086.0
2011-10-12 21:00:00+00:00,1.2761,1.28572,1.27516,1.28124,31716.0
2011-10-13 21:00:00+00:00,1.28118,1.28737,1.28009,1.28408,27363.0
2011-10-14 21:00:00+00:00,1.28408,1.28408,1.28408,1.28408,13.0
2011-10-15 21:00:00+00:00,1.28408,1.28741,1.28346,1.28694,269.0
2011-10-16 21:00:00+00:00,1.28678,1.28744,1.2819,1.2831,26425.0
2011-10-17 21:00:00+00:00,1.28318,1.29345,1.28166,1.2898,36023.0
2011-10-18 21:00:00+00:00,1.28988,1.29376,1.28852,1.29078,29729.0
2011-10-19 21:00:00+00:00,1.29086,1.29245,1.28257,1.28982,39906.0
2011-10-20 21:00:00+00:00,1.2897,1.2926,1.28735,1.29165,25826.0
2011-10-21 21:00:00+00:00,1.29165,1.29165,1.29165,1.29165,12.0
