T,O,H,L,C,V
2011-01-01 22:00:00+00:00,0.937,0.94003,0.93459,0.93952,362.0
2011-01-02 22:00:00+00:00,0.93962,0.94626,0.93813,0.93916,6517.0
2011-01-03 22:00:00+00:00,0.93908,0.95382,0.93892,0.95013,10289.0
2011-01-04 22:00:00+00:00,0.95005,0.97288,0.9479,0.9701,11897.0
2011-01-05 22:00:00+00:00,0.97018,0.97645,0.96436,0.9688,10082.0
2011-01-06 22:00:00+00:00,0.96872,0.97634,0.96233,0.97354,12989.0
2011-01-07 22:00:00+00:00,0.9736,0.9736,0.9736,0.9736,1.0
2011-01-08 22:00:00+00:00,0.97424,0.97594,0.97261,0.97528,616.0
2011-01-09 22:00:00+00:00,0.97536,0.97638,0.96706,0.97388,9607.0
2011-01-10 22:00:00+00:00,0.97404,0.98594,0.97304,0.98311,10899.0
2011-01-11 22:00:00+00:00,0.98318,0.98838,0.97744,0.98076,12732.0
2011-01-12 22:00:00+00:00,0.98068,0.98877,0.97248,0.97438,12018.0
2011-01-13 22:00:00+00:00,0.97446,0.97656,0.96646,0.97236,11892.0
2011-01-14 22:00:00+00:00,0.97226,0.97226,0.97218,0.97218,2.0
2011-01-15 22:00:00+00:00,0.9716,0.9766,0.97131,0.97419,532.0
2011-01-16 22:00:00+00:00,0.9743,0.97927,0.97422,0.97729,7935.0
2011-01-17 22:00:00+00:00,0.97716,0.97788,0.96625,0.97186,10944.0
2011-01-18 22:00:00+00:00,0.97202,0.97362,0.9568,0.95886,10569.0
2011-01-19 22:00:00+00:00,0.95895,0.97069,0.95442,0.96996,13343.0
2011-01-20 22:00:00+00:00,0.97004,0.97153,0.96174,0.96491,10454.0
2011-01-21 22:00:00+00:00,0.96498,0.96498,0.96498,0.96498,12.0
2011-01-22 22:00:00+00:00,0.96498,0.9658,0.96174,0.96232,440.0
2011-01-23 22:00:00+00:00,0.96238,0.96732,0.95228,0.95541,8673.0
2011-01-24 22:00:00+00:00,0.95531,0.95866,0.94216,0.94538,10933.0
2011-01-25 22:00:00+00:00,0.94544,0.95086,0.94372,0.9471,10404.0
2011-01-26 22:00:00+00:00,0.94702,0.95411,0.9437,0.95168,11166.0
