T,O,H,L,C,V
2011-01-01 22:00:00+00:00,81.375,81.849,81.375,81.655,927.0
2011-01-02 22:00:00+00:00,81.653,82.516,81.433,82.244,24680.0
2011-01-03 22:00:00+00:00,82.248,82.862,81.434,82.166,45623.0
2011-01-04 22:00:00+00:00,82.16,83.818,81.888,83.61,50878.0
2011-01-05 22:00:00+00:00,83.608,83.786,83.153,83.6,44335.0
2011-01-06 22:00:00+00:00,83.602,84.371,83.168,83.692,56035.0
2011-01-08 22:00:00+00:00,83.75,83.936,83.602,83.787,964.0
2011-01-09 22:00:00+00:00,83.792,83.848,82.946,83.26,39943.0
2011-01-10 22:00:00+00:00,83.262,84.266,83.202,84.052,44826.0
2011-01-11 22:00:00+00:00,84.05,84.694,83.82,84.2,39214.0
2011-01-12 22:00:00+00:00,84.198,84.284,83.446,83.716,44065.0
2011-01-13 22:00:00+00:00,83.718,84.0,82.914,83.625,36530.0
2011-01-14 22:00:00+00:00,83.628,83.628,83.622,83.622,2.0
2011-01-15 22:00:00+00:00,83.615,83.882,83.441,83.791,805.0
2011-01-16 22:00:00+00:00,83.795,84.039,83.272,83.758,27687.0
2011-01-17 22:00:00+00:00,83.762,83.894,83.157,83.28,32244.0
2011-01-18 22:00:00+00:00,83.288,83.456,82.19,82.366,31360.0
2011-01-19 22:00:00+00:00,82.354,83.31,82.198,83.224,41478.0
2011-01-20 22:00:00+00:00,83.228,83.51,82.924,83.135,38071.0
2011-01-21 22:00:00+00:00,83.128,83.138,83.119,83.13,22.0
2011-01-22 22:00:00+00:00,83.13,83.244,83.055,83.097,930.0
2011-01-23 22:00:00+00:00,83.093,83.414,82.83,83.064,34370.0
2011-01-24 22:00:00+00:00,83.074,83.194,82.05,82.508,40264.0
2011-01-25 22:00:00+00:00,82.52,82.938,82.254,82.662,33317.0
2011-01-26 22:00:00+00:00,82.67,83.564,82.448,83.446,45754.0
2011-01-27 22:00:00+00:00,83.45,83.468,81.972,82.013,36676.0
2011-01-28 22:00:00+00:00,81.998,82.022,81.998,82.017,19.0
2011-01-29 22:00:00+00:00,82.017,82.106,81.654,81.867,2092.0
2011-01-30 22:00:00+00:00,81.863,82.412,81.48,81.964,34057.0
2011-01-31 22:00:00+00:00,81.968,82.274,81.614,82.126,31003.0
2011-02-01 22:00:00+00:00,82.13,82.82,82.104,82.558,31410.0
2011-02-02 22:00:00+00:00,82.562,82.956,82.188,82.352,30615.0
2011-02-03 22:00:00+00:00,82.356,83.366,81.627,83.237,35208.0
2011-02-04 22:00:00+00:00,83.232,83.247,83.232,83.247,4.0
2011-02-05 22:00:00+00:00,83.247,83.262,83.081,83.159,939.0
2011-02-06 22:00:00+00:00,83.163,83.57,83.04,83.088,27785.0
2011-02-07 22:00:00+00:00,83.086,83.21,82.362,82.76,30960.0
2011-02-08 22:00:00+00:00,82.758,83.11,82.638,82.862,30120.0
2011-02-09 22:00:00+00:00,82.864,83.734,82.761,83.614,32935.0
2011-02-10 22:00:00+00:00,83.612,84.646,83.596,84.494,25449.0
2011-02-11 22:00:00+00:00,84.494,84.494,84.494,84.494,11.0
2011-02-12 22:00:00+00:00,84.494,84.542,84.371,84.374,1241.0
