T,O,H,L,C,V
2011-01-03 22:00:00+00:00,87.564,87.791,86.19,86.482,37366.0
2011-01-04 22:00:00+00:00,86.478,86.716,85.91,86.196,40683.0
2011-01-05 22:00:00+00:00,86.198,86.401,85.666,86.306,33611.0
2011-01-06 22:00:00+00:00,86.3,86.862,85.826,85.971,41753.0
2011-01-07 22:00:00+00:00,85.981,85.981,85.981,85.981,1.0
2011-01-08 22:00:00+00:00,86.009,86.181,85.901,85.914,1446.0
2011-01-09 22:00:00+00:00,85.91,86.368,85.156,85.492,24656.0
2011-01-10 22:00:00+00:00,85.496,85.914,85.23,85.492,28648.0
2011-01-11 22:00:00+00:00,85.5,85.944,85.108,85.858,36278.0
2011-01-12 22:00:00+00:00,85.86,86.055,85.077,85.918,30748.0
2011-01-13 22:00:00+00:00,85.94,86.095,85.409,86.005,30244.0
2011-01-14 22:00:00+00:00,86.014,86.024,86.014,86.024,3.0
2011-01-15 22:00:00+00:00,85.999,86.071,85.8,86.003,1221.0
2011-01-16 22:00:00+00:00,86.013,86.099,85.336,85.702,24102.0
2011-01-17 22:00:00+00:00,85.711,86.336,85.62,85.698,33548.0
2011-01-18 22:00:00+00:00,85.704,85.99,85.284,85.9,33995.0
2011-01-19 22:00:00+00:00,85.894,86.294,85.702,85.802,39226.0
2011-01-20 22:00:00+00:00,85.8,86.368,85.636,86.152,26107.0
2011-01-21 22:00:00+00:00,86.156,86.166,86.147,86.158,22.0
2011-01-22 22:00:00+00:00,86.158,86.399,86.109,86.349,1613.0
2011-01-23 22:00:00+00:00,86.343,87.102,86.058,86.934,23336.0
2011-01-24 22:00:00+00:00,86.946,87.506,86.6,87.28,32712.0
2011-01-25 22:00:00+00:00,87.274,87.436,86.762,87.28,33824.0
2011-01-26 22:00:00+00:00,87.286,88.133,87.03,87.696,32602.0
2011-01-27 22:00:00+00:00,87.703,87.722,86.924,87.19,27781.0
2011-01-28 22:00:00+00:00,87.174,87.195,87.174,87.182,19.0
2011-01-29 22:00:00+00:00,87.182,87.198,86.847,87.117,3087.0
2011-01-30 22:00:00+00:00,87.12,87.47,86.833,86.912,23907.0
2011-01-31 22:00:00+00:00,86.908,87.16,86.532,86.978,32615.0
2011-02-01 22:00:00+00:00,86.982,87.354,86.556,86.752,25543.0
2011-02-02 22:00:00+00:00,86.746,86.874,86.092,86.322,24875.0
2011-02-03 22:00:00+00:00,86.32,86.406,85.398,86.041,25901.0
2011-02-04 22:00:00+00:00,86.036,86.051,86.036,86.051,4.0
2011-02-05 22:00:00+00:00,86.051,86.209,85.762,85.793,1425.0
2011-02-06 22:00:00+00:00,85.802,86.272,85.801,86.166,27162.0
2011-02-07 22:00:00+00:00,86.162,86.298,85.344,85.506,24056.0
2011-02-08 22:00:00+00:00,85.502,86.133,85.238,85.978,24138.0
2011-02-09 22:00:00+00:00,85.976,86.146,85.684,85.88,24164.0
2011-02-10 22:00:00+00:00,85.884,86.215,85.502,85.736,21904.0
2011-02-11 22:00:00+00:00,85.741,85.741,85.732,85.732,13.0
2011-02-12 22:00:00+00:00,85.732,85.807,85.563,85.668,2401.0
2011-02-13 22:00:00+00:00,85.672,85.965,85.377,85.902,19193.0
2011-02-14 22:00:00+00:00,85.899,86.792,85.829,86.62,26496.0
2011-02-15 22:00:00+00:00,86.622,87.474,86.208,87.218,30971.0
2011-02-16 22:00:00+00:00,87.214,87.812,87.052,87.724,29416.0
2011-02-17 22:00:00+00:00,87.72,88.081,87.457,88.054,20738.0
2011-02-18 22:00:00+00:00,88.054,88.054,88.054,88.054,11.0
2011-02-19 22:00:00+00:00,88.054,88.211,87.978,88.073,1283.0
2011-02-20 22:00:00+00:00,88.076,88.156,87.622,87.82,16890.0
2011-02-21 22:00:00+00:00,87.824,88.628,87.457,88.162,38593.0
2011-02-22 22:00:00+00:00,88.166,88.662,88.042,88.44,28937.0
2011-02-23 22:00:00+00:00,88.442,88.726,88.102,88.408,37263.0
2011-02-24 22:00:00+00:00,88.402,88.722,87.772,87.997,27332.0
2011-02-25 22:00:00+00:00,87.993,87.993,87.989,87.989,2.0
2011-02-26 22:00:00+00:00,87.989,88.043,87.844,87.981,751.0
2011-02-27 22:00:00+00:00,87.986,88.294,87.904,88.046,21859.0
2011-02-28 22:00:00+00:00,88.05,88.408,87.994,88.174,21778.0
2011-03-01 22:00:00+00:00,88.168,88.73,88.14,88.655,23891.0
2011-03-02 22:00:00+00:00,88.646,88.673,88.154,88.502,27170.0
2011-03-03 22:00:00+00:00,88.506,89.334,88.285,89.026,26762.0
2011-03-04 22:00:00+00:00,89.023,89.029,89.022,89.022,9.0
2011-03-05 22:00:00+00:00,89.022,89.022,88.771,88.966,919.0
2011-03-06 22:00:00+00:00,88.956,89.013,88.612,88.746,14106.0
2011-03-07 22:00:00+00:00,88.742,88.894,88.18,88.398,16661.0
2011-03-08 22:00:00+00:00,88.402,89.188,88.37,89.012,15335.0
2011-03-09 22:00:00+00:00,89.009,89.164,88.7,89.049,22147.0
2011-03-10 22:00:00+00:00,89.052,89.328,87.781,88.074,34509.0
2011-03-11 22:00:00+00:00,88.059,88.059,88.047,88.047,15.0
2011-03-12 22:00:00+00:00,88.047,88.541,87.981,88.045,4434.0
