T,O,H,L,C,V
2011-01-03 22:00:00+00:00,1.31396,1.33272,1.31311,1.32394,42988.0
2011-01-04 22:00:00+00:00,1.32412,1.32743,1.31424,1.31559,42049.0
2011-01-05 22:00:00+00:00,1.31552,1.32044,1.30544,1.30769,41514.0
2011-01-06 22:00:00+00:00,1.30777,1.31106,1.29449,1.29617,48183.0
2011-01-08 22:00:00+00:00,1.29598,1.29779,1.29319,1.29702,2595.0
2011-01-09 22:00:00+00:00,1.29696,1.30664,1.29325,1.3009,39252.0
2011-01-10 22:00:00+00:00,1.30085,1.31741,1.30068,1.31424,47044.0
2011-01-11 22:00:00+00:00,1.3143,1.32294,1.30846,1.3176,46873.0
2011-01-12 22:00:00+00:00,1.3179,1.34101,1.31584,1.33961,46644.0
2011-01-13 22:00:00+00:00,1.33966,1.35514,1.33617,1.35406,43016.0
2011-01-14 22:00:00+00:00,1.3539,1.3539,1.3539,1.3539,1.0
2011-01-15 22:00:00+00:00,1.35321,1.35588,1.35014,1.35095,1736.0
2011-01-16 22:00:00+00:00,1.35104,1.35193,1.33491,1.33771,31127.0
2011-01-17 22:00:00+00:00,1.33786,1.3474,1.33626,1.33947,38058.0
2011-01-18 22:00:00+00:00,1.33933,1.34825,1.33737,1.34615,40273.0
2011-01-19 22:00:00+00:00,1.34653,1.36605,1.34619,1.36494,46124.0
2011-01-20 22:00:00+00:00,1.36499,1.37719,1.36339,1.37619,39437.0
2011-01-21 22:00:00+00:00,1.37629,1.37629,1.37608,1.37608,14.0
2011-01-22 22:00:00+00:00,1.37608,1.38133,1.37412,1.38055,1720.0
2011-01-23 22:00:00+00:00,1.38059,1.38072,1.36407,1.36734,34828.0
2011-01-24 22:00:00+00:00,1.36727,1.37821,1.36488,1.37272,48276.0
2011-01-25 22:00:00+00:00,1.37266,1.37687,1.36897,1.37234,37999.0
2011-01-26 22:00:00+00:00,1.37225,1.386,1.371,1.3845,42849.0
2011-01-27 22:00:00+00:00,1.38438,1.38794,1.36851,1.36939,37407.0
2011-01-28 22:00:00+00:00,1.36904,1.36904,1.36904,1.36904,13.0
2011-01-29 22:00:00+00:00,1.36904,1.37458,1.36897,1.37363,2661.0
2011-01-30 22:00:00+00:00,1.37359,1.37895,1.36792,1.37295,35961.0
2011-01-31 22:00:00+00:00,1.37299,1.37632,1.36154,1.3677,40358.0
