T,O,H,L,C,V
2010-12-31 22:00:00+00:00,1.33521,1.33521,1.33501,1.33501,2.0
2011-01-01 22:00:00+00:00,1.33515,1.33515,1.32509,1.32772,829.0
2011-01-02 22:00:00+00:00,1.32714,1.32922,1.31625,1.32779,23839.0
2011-01-03 22:00:00+00:00,1.32783,1.33546,1.32307,1.32861,36382.0
2011-01-04 22:00:00+00:00,1.32865,1.32958,1.30727,1.30929,37801.0
2011-01-05 22:00:00+00:00,1.30921,1.31178,1.29526,1.296,38516.0
2011-01-06 22:00:00+00:00,1.29596,1.2994,1.27966,1.28244,41979.0
2011-01-08 22:00:00+00:00,1.28203,1.28286,1.27561,1.27861,2107.0
2011-01-09 22:00:00+00:00,1.27869,1.28927,1.27776,1.28659,35061.0
2011-01-10 22:00:00+00:00,1.28654,1.28956,1.28118,1.28492,38509.0
2011-01-11 22:00:00+00:00,1.28486,1.29888,1.27778,1.29433,39309.0
2011-01-12 22:00:00+00:00,1.29467,1.32272,1.29183,1.32198,35755.0
2011-01-13 22:00:00+00:00,1.32194,1.33748,1.31874,1.3266,36750.0
2011-01-14 22:00:00+00:00,1.32645,1.32659,1.32645,1.32659,2.0
2011-01-15 22:00:00+00:00,1.32684,1.32956,1.32214,1.32284,1361.0
2011-01-16 22:00:00+00:00,1.32276,1.32279,1.30918,1.31219,28122.0
2011-01-17 22:00:00+00:00,1.31234,1.33204,1.30914,1.32715,37793.0
2011-01-18 22:00:00+00:00,1.32711,1.34384,1.32657,1.34159,35639.0
2011-01-19 22:00:00+00:00,1.34164,1.35136,1.33845,1.34372,45993.0
2011-01-20 22:00:00+00:00,1.34367,1.35562,1.34093,1.35288,33909.0
2011-01-21 22:00:00+00:00,1.35281,1.35286,1.35281,1.35286,13.0
2011-01-22 22:00:00+00:00,1.35286,1.35614,1.35072,1.35531,1433.0
2011-01-23 22:00:00+00:00,1.35535,1.36034,1.34948,1.35499,32191.0
2011-01-24 22:00:00+00:00,1.35492,1.36761,1.35064,1.36386,37830.0
2011-01-25 22:00:00+00:00,1.36366,1.36623,1.35985,1.36324,36688.0
2011-01-26 22:00:00+00:00,1.36311,1.37094,1.35938,1.36444,32637.0
2011-01-27 22:00:00+00:00,1.36439,1.36814,1.35768,1.36295,27703.0
2011-01-28 22:00:00+00:00,1.36288,1.36288,1.36288,1.36288,13.0
2011-01-29 22:00:00+00:00,1.36288,1.36349,1.35877,1.36111,1846.0
2011-01-30 22:00:00+00:00,1.36116,1.37788,1.35842,1.37073,29882.0
2011-01-31 22:00:00+00:00,1.37077,1.37513,1.36742,1.36999,29306.0
2011-02-01 22:00:00+00:00,1.36994,1.37189,1.36113,1.36438,26004.0
2011-02-02 22:00:00+00:00,1.36445,1.36547,1.34798,1.35139,26090.0
2011-02-03 22:00:00+00:00,1.35131,1.35323,1.3354,1.34094,26029.0
2011-02-04 22:00:00+00:00,1.34088,1.34088,1.34088,1.34088,3.0
2011-02-05 22:00:00+00:00,1.34088,1.34552,1.33911,1.34026,1161.0
2011-02-06 22:00:00+00:00,1.34022,1.34678,1.33464,1.34589,22170.0
2011-02-07 22:00:00+00:00,1.34583,1.3615,1.34348,1.35601,25826.0
2011-02-08 22:00:00+00:00,1.35605,1.36608,1.35332,1.36473,23016.0
