T,O,H,L,C,V
2011-01-03 22:00:00+00:00,1.24708,1.26836,1.2456,1.26241,79468.0
2011-01-04 22:00:00+00:00,1.26244,1.2726,1.25704,1.27014,68939.0
2011-01-05 22:00:00+00:00,1.27011,1.27233,1.2523,1.25555,68822.0
2011-01-06 22:00:00+00:00,1.25573,1.25646,1.24491,1.24845,74271.0
2011-01-07 22:00:00+00:00,1.24854,1.24854,1.24854,1.24854,1.0
2011-01-08 22:00:00+00:00,1.24884,1.24891,1.2443,1.24753,2296.0
2011-01-09 22:00:00+00:00,1.24743,1.25635,1.24344,1.25294,58401.0
2011-01-10 22:00:00+00:00,1.25298,1.26694,1.2517,1.2631,53739.0
2011-01-11 22:00:00+00:00,1.26315,1.27367,1.25808,1.26953,70787.0
2011-01-12 22:00:00+00:00,1.26968,1.28851,1.26864,1.28811,75900.0
2011-01-13 22:00:00+00:00,1.28807,1.29525,1.2848,1.28994,59301.0
2011-01-14 22:00:00+00:00,1.28973,1.28973,1.28958,1.28958,4.0
2011-01-15 22:00:00+00:00,1.2901,1.2923,1.28802,1.2886,873.0
2011-01-16 22:00:00+00:00,1.28863,1.28968,1.2806,1.28241,48118.0
2011-01-17 22:00:00+00:00,1.28234,1.29241,1.27718,1.2897,57953.0
2011-01-18 22:00:00+00:00,1.28976,1.29975,1.28448,1.28651,57020.0
2011-01-19 22:00:00+00:00,1.2867,1.30377,1.28149,1.30332,70266.0
2011-01-20 22:00:00+00:00,1.30336,1.30687,1.29766,1.30543,54640.0
2011-01-21 22:00:00+00:00,1.30534,1.30535,1.30531,1.30535,14.0
2011-01-22 22:00:00+00:00,1.30535,1.30584,1.30344,1.30422,1318.0
2011-01-23 22:00:00+00:00,1.30424,1.30692,1.29302,1.29468,56949.0
2011-01-24 22:00:00+00:00,1.29463,1.29863,1.28266,1.28946,68636.0
2011-01-25 22:00:00+00:00,1.2895,1.29682,1.2875,1.29104,57783.0
2011-01-26 22:00:00+00:00,1.291,1.30025,1.28918,1.29851,59954.0
2011-01-27 22:00:00+00:00,1.29855,1.29938,1.28049,1.282,50976.0
2011-01-28 22:00:00+00:00,1.28214,1.28214,1.28214,1.28214,13.0
2011-01-29 22:00:00+00:00,1.28214,1.28214,1.27924,1.2793,1110.0
2011-01-30 22:00:00+00:00,1.27922,1.29299,1.27806,1.29272,53823.0
2011-01-31 22:00:00+00:00,1.29275,1.29957,1.29076,1.29334,59346.0
2011-02-01 22:00:00+00:00,1.29337,1.30139,1.28726,1.29803,49879.0
2011-02-02 22:00:00+00:00,1.29801,1.3037,1.28668,1.28897,50791.0
2011-02-03 22:00:00+00:00,1.28905,1.3007,1.28804,1.29718,45092.0
2011-02-04 22:00:00+00:00,1.29718,1.29718,1.29718,1.29718,2.0
2011-02-05 22:00:00+00:00,1.29718,1.29971,1.2953,1.29884,965.0
2011-02-06 22:00:00+00:00,1.29887,1.30444,1.29318,1.29798,46569.0
2011-02-07 22:00:00+00:00,1.29804,1.31454,1.29733,1.31247,53134.0
2011-02-08 22:00:00+00:00,1.31242,1.3189,1.31196,1.3154,47851.0
2011-02-09 22:00:00+00:00,1.31542,1.31952,1.30865,1.31804,53643.0
2011-02-10 22:00:00+00:00,1.31802,1.3205,1.31268,1.31924,49582.0
2011-02-11 22:00:00+00:00,1.31882,1.3189,1.31882,1.31882,16.0
2011-02-12 22:00:00+00:00,1.31882,1.31882,1.3162,1.31649,2212.0
2011-02-13 22:00:00+00:00,1.31655,1.32032,1.30538,1.3084,36288.0
2011-02-14 22:00:00+00:00,1.30837,1.31376,1.30375,1.30438,41924.0
2011-02-15 22:00:00+00:00,1.30436,1.31319,1.29736,1.30205,52741.0
2011-02-16 22:00:00+00:00,1.30202,1.30298,1.29004,1.29256,45437.0
2011-02-17 22:00:00+00:00,1.29254,1.29918,1.28946,1.29351,41722.0
2011-02-18 22:00:00+00:00,1.29351,1.29351,1.29351,1.29351,11.0
2011-02-19 22:00:00+00:00,1.29351,1.29579,1.2924,1.29269,1112.0
2011-02-20 22:00:00+00:00,1.29272,1.2977,1.29235,1.29484,26031.0
2011-02-21 22:00:00+00:00,1.29481,1.2962,1.27922,1.28152,50822.0
2011-02-22 22:00:00+00:00,1.28148,1.28818,1.28078,1.28266,44484.0
2011-02-23 22:00:00+00:00,1.28263,1.28324,1.27063,1.2784,54258.0
2011-02-24 22:00:00+00:00,1.27838,1.2843,1.27479,1.27673,42827.0
2011-02-26 22:00:00+00:00,1.27673,1.27989,1.27667,1.27736,679.0
2011-02-27 22:00:00+00:00,1.27753,1.28612,1.2727,1.28232,34106.0
2011-02-28 22:00:00+00:00,1.2823,1.28937,1.2791,1.2792,36072.0
2011-03-01 22:00:00+00:00,1.27926,1.28242,1.27569,1.28046,38336.0
2011-03-02 22:00:00+00:00,1.28056,1.30217,1.27884,1.30133,47000.0
2011-03-03 22:00:00+00:00,1.30129,1.30266,1.29164,1.29325,45521.0
2011-03-04 22:00:00+00:00,1.29325,1.29325,1.29325,1.29325,6.0
2011-03-05 22:00:00+00:00,1.29325,1.29596,1.29325,1.29543,308.0
2011-03-06 22:00:00+00:00,1.29545,1.29884,1.29142,1.29441,31445.0
2011-03-07 22:00:00+00:00,1.29445,1.30404,1.2933,1.30021,32388.0
2011-03-08 22:00:00+00:00,1.30017,1.30152,1.28946,1.29292,32464.0
2011-03-09 22:00:00+00:00,1.29289,1.2943,1.28325,1.28596,38438.0
2011-03-10 22:00:00+00:00,1.28598,1.29301,1.28268,1.29275,39316.0
2011-03-11 22:00:00+00:00,1.29275,1.29275,1.29275,1.29275,12.0
2011-03-12 22:00:00+00:00,1.29275,1.29607,1.29171,1.29536,1768.0
2011-03-13 21:00:00+00:00,1.29538,1.29708,1.29074,1.29346,40441.0
2011-03-14 21:00:00+00:00,1.2935,1.29448,1.27366,1.28302,57278.0
2011-03-15 21:00:00+00:00,1.28309,1.28545,1.25868,1.26209,52093.0
2011-03-16 21:00:00+00:00,1.26204,1.26768,1.24282,1.25996,69313.0
2011-03-17 21:00:00+00:00,1.25993,1.2804,1.25678,1.27764,62000.0
2011-03-18 21:00:00+00:00,1.27764,1.27764,1.27764,1.27764,13.0
2011-03-19 21:00:00+00:00,1.27764,1.27891,1.27576,1.27694,624.0
