T,O,H,L,C,V
2011-01-03 22:00:00+00:00,109.208,110.244,108.627,109.173,32194.0
2011-01-04 22:00:00+00:00,109.164,109.755,108.517,109.476,37520.0
2011-01-05 22:00:00+00:00,109.481,109.664,108.114,108.35,34486.0
2011-01-06 22:00:00+00:00,108.358,108.554,106.948,107.331,43458.0
2011-01-08 22:00:00+00:00,107.331,107.48,107.0,107.169,2751.0
2011-01-09 22:00:00+00:00,107.173,107.675,106.826,107.122,29090.0
2011-01-10 22:00:00+00:00,107.117,108.272,107.057,107.997,32728.0
2011-01-11 22:00:00+00:00,108.004,109.024,107.862,108.986,36065.0
2011-01-12 22:00:00+00:00,108.998,110.68,108.69,110.667,37464.0
2011-01-13 22:00:00+00:00,110.662,110.986,110.078,110.936,38538.0
2011-01-14 22:00:00+00:00,110.93,110.93,110.93,110.93,1.0
2011-01-15 22:00:00+00:00,110.89,110.984,110.814,110.833,730.0
2011-01-16 22:00:00+00:00,110.842,110.945,109.579,109.906,24450.0
2011-01-17 22:00:00+00:00,109.909,111.164,109.59,110.519,34066.0
2011-01-18 22:00:00+00:00,110.524,111.06,110.333,110.501,33931.0
2011-01-19 22:00:00+00:00,110.509,111.924,110.326,111.825,40541.0
2011-01-20 22:00:00+00:00,111.822,112.494,111.634,112.473,33747.0
2011-01-21 22:00:00+00:00,112.461,112.479,112.461,112.476,21.0
2011-01-22 22:00:00+00:00,112.476,112.702,112.313,112.602,2049.0
2011-01-23 22:00:00+00:00,112.613,112.908,112.229,112.542,27497.0
2011-01-24 22:00:00+00:00,112.549,112.826,111.828,112.534,36749.0
2011-01-25 22:00:00+00:00,112.529,112.928,112.158,112.68,34444.0
2011-01-26 22:00:00+00:00,112.69,114.013,112.45,113.889,42002.0
2011-01-27 22:00:00+00:00,113.878,113.908,111.51,111.779,29719.0
2011-01-28 22:00:00+00:00,111.762,111.785,111.762,111.778,18.0
2011-01-29 22:00:00+00:00,111.778,111.811,111.309,111.43,2659.0
2011-01-30 22:00:00+00:00,111.433,112.696,111.413,112.342,28407.0
2011-01-31 22:00:00+00:00,112.348,112.7,111.879,112.508,28080.0
2011-02-01 22:00:00+00:00,112.512,112.918,112.207,112.633,25485.0
2011-02-02 22:00:00+00:00,112.629,112.87,111.048,111.293,30622.0
2011-02-03 22:00:00+00:00,111.296,112.068,110.772,111.618,29340.0
2011-02-04 22:00:00+00:00,111.609,111.63,111.609,111.626,5.0
2011-02-05 22:00:00+00:00,111.626,111.876,111.435,111.457,1291.0
2011-02-06 22:00:00+00:00,111.46,112.198,111.243,111.828,24512.0
2011-02-07 22:00:00+00:00,111.823,112.314,111.598,112.225,26754.0
2011-02-08 22:00:00+00:00,112.221,113.205,112.064,113.095,26386.0
2011-02-09 22:00:00+00:00,113.102,113.408,112.616,113.198,26400.0
2011-02-10 22:00:00+00:00,113.202,113.446,112.774,113.114,26973.0
2011-02-11 22:00:00+00:00,113.067,113.073,113.067,113.067,16.0
2011-02-12 22:00:00+00:00,113.067,113.142,112.737,112.777,2535.0
2011-02-13 22:00:00+00:00,112.787,112.994,112.094,112.396,26131.0
2011-02-14 22:00:00+00:00,112.399,113.396,112.317,112.981,27534.0
2011-02-15 22:00:00+00:00,112.984,113.646,112.903,113.547,30710.0
2011-02-16 22:00:00+00:00,113.542,113.678,113.058,113.375,26560.0
2011-02-17 22:00:00+00:00,113.37,113.929,112.95,113.899,23220.0
2011-02-18 22:00:00+00:00,113.899,113.899,113.899,113.899,11.0
2011-02-19 22:00:00+00:00,113.899,113.988,113.758,113.838,1268.0
2011-02-20 22:00:00+00:00,113.841,113.973,113.567,113.73,15407.0
2011-02-21 22:00:00+00:00,113.727,114.235,112.235,112.992,34044.0
2011-02-22 22:00:00+00:00,112.989,113.828,112.985,113.443,32609.0
2011-02-23 22:00:00+00:00,113.447,113.544,112.195,113.017,30426.0
2011-02-24 22:00:00+00:00,113.021,113.458,112.232,112.347,24401.0
2011-02-25 22:00:00+00:00,112.342,112.342,112.335,112.335,3.0
2011-02-26 22:00:00+00:00,112.335,112.45,112.324,112.378,576.0
2011-02-27 22:00:00+00:00,112.375,113.352,111.96,112.914,22758.0
2011-02-28 22:00:00+00:00,112.911,113.726,112.739,112.772,28793.0
2011-03-01 22:00:00+00:00,112.775,113.573,112.536,113.524,21474.0
2011-03-02 22:00:00+00:00,113.52,115.165,113.104,115.161,24790.0
2011-03-03 22:00:00+00:00,115.158,115.995,114.872,115.134,25518.0
2011-03-04 22:00:00+00:00,115.138,115.138,115.132,115.132,8.0
2011-03-05 22:00:00+00:00,115.132,115.23,115.011,115.218,583.0
2011-03-06 22:00:00+00:00,115.212,115.279,114.556,114.877,18297.0
2011-03-07 22:00:00+00:00,114.88,115.22,114.556,114.943,19204.0
2011-03-08 22:00:00+00:00,114.94,115.258,114.756,115.077,20766.0
2011-03-09 22:00:00+00:00,115.073,115.252,114.21,114.497,24700.0
2011-03-10 22:00:00+00:00,114.491,115.017,112.933,113.833,33343.0
2011-03-11 22:00:00+00:00,113.814,113.814,113.799,113.799,15.0
2011-03-12 22:00:00+00:00,113.799,114.691,113.799,114.048,4172.0
2011-03-13 21:00:00+00:00,114.042,114.848,112.504,114.216,43609.0
2011-03-14 21:00:00+00:00,114.213,114.666,111.971,112.994,53521.0
2011-03-15 21:00:00+00:00,112.998,113.488,110.574,110.629,44165.0
2011-03-16 21:00:00+00:00,110.625,111.27,106.742,110.614,92871.0
