T,O,H,L,C,V
2011-01-06 22:00:00+00:00,1.71855,1.72043,1.69473,1.69878,48727.0
2011-01-07 22:00:00+00:00,1.69744,1.69744,1.69744,1.69744,1.0
2011-01-08 22:00:00+00:00,1.70398,1.70398,1.69454,1.69829,2073.0
2011-01-09 22:00:00+00:00,1.6984,1.7051,1.69362,1.69616,35535.0
2011-01-10 22:00:00+00:00,1.69621,1.71009,1.69508,1.70586,42832.0
2011-01-11 22:00:00+00:00,1.70575,1.7262,1.70485,1.71895,44279.0
2011-01-12 22:00:00+00:00,1.71934,1.73903,1.70948,1.73265,44935.0
2011-01-13 22:00:00+00:00,1.73326,1.75059,1.72743,1.7474,41902.0
2011-01-14 22:00:00+00:00,1.7472,1.7472,1.7472,1.7472,1.0
2011-01-15 22:00:00+00:00,1.74967,1.74967,1.74137,1.74223,1172.0
2011-01-16 22:00:00+00:00,1.74245,1.74249,1.71568,1.72123,27893.0
2011-01-17 22:00:00+00:00,1.72144,1.7418,1.71885,1.73441,38064.0
2011-01-18 22:00:00+00:00,1.73434,1.75345,1.73238,1.75233,37825.0
2011-01-19 22:00:00+00:00,1.75228,1.78125,1.75211,1.77984,53884.0
2011-01-20 22:00:00+00:00,1.77991,1.79772,1.77745,1.79436,39148.0
2011-01-21 22:00:00+00:00,1.794,1.794,1.79306,1.79306,18.0
2011-01-22 22:00:00+00:00,1.79306,1.80058,1.79124,1.79956,1647.0
2011-01-23 22:00:00+00:00,1.79962,1.79978,1.78408,1.78681,31537.0
2011-01-24 22:00:00+00:00,1.7869,1.78971,1.77773,1.7797,41713.0
2011-01-25 22:00:00+00:00,1.77976,1.79007,1.77334,1.77442,39568.0
2011-01-26 22:00:00+00:00,1.77436,1.7834,1.77022,1.77856,39159.0
2011-01-27 22:00:00+00:00,1.77843,1.78178,1.75775,1.75916,34301.0
2011-01-28 22:00:00+00:00,1.75916,1.75916,1.75916,1.75916,12.0
2011-01-29 22:00:00+00:00,1.75916,1.76775,1.75765,1.76491,2004.0
2011-01-30 22:00:00+00:00,1.76499,1.7801,1.75779,1.77162,34186.0
2011-01-31 22:00:00+00:00,1.77171,1.7776,1.76659,1.76977,36416.0
2011-02-01 22:00:00+00:00,1.76985,1.78948,1.76413,1.78576,31722.0
2011-02-02 22:00:00+00:00,1.78602,1.79127,1.76047,1.76295,34035.0
2011-02-03 22:00:00+00:00,1.76286,1.77558,1.75391,1.76383,31436.0
2011-02-04 22:00:00+00:00,1.76376,1.76376,1.76376,1.76376,3.0
2011-02-05 22:00:00+00:00,1.76376,1.76823,1.7614,1.76238,1075.0
2011-02-06 22:00:00+00:00,1.76243,1.77196,1.75539,1.76422,26908.0
2011-02-07 22:00:00+00:00,1.76411,1.76579,1.7506,1.75798,33421.0
2011-02-08 22:00:00+00:00,1.75803,1.7809,1.75618,1.77786,31735.0
2011-02-09 22:00:00+00:00,1.77793,1.78385,1.77211,1.77945,32108.0
2011-02-10 22:00:00+00:00,1.7794,1.79122,1.77906,1.78247,35773.0
2011-02-11 22:00:00+00:00,1.78168,1.78236,1.78168,1.78235,18.0
2011-02-12 22:00:00+00:00,1.78235,1.78657,1.77565,1.78657,2056.0
2011-02-13 22:00:00+00:00,1.78651,1.79083,1.77724,1.78249,26831.0
2011-02-14 22:00:00+00:00,1.7826,1.79806,1.78069,1.79375,35700.0
2011-02-15 22:00:00+00:00,1.7937,1.80508,1.79124,1.79784,36892.0
2011-02-16 22:00:00+00:00,1.79791,1.80188,1.78752,1.79311,30843.0
2011-02-17 22:00:00+00:00,1.79305,1.79915,1.77902,1.79781,29133.0
2011-02-18 22:00:00+00:00,1.79781,1.79781,1.79781,1.79781,11.0
2011-02-19 22:00:00+00:00,1.79781,1.80031,1.7937,1.7956,1029.0
2011-02-20 22:00:00+00:00,1.79554,1.79795,1.78723,1.79083,21149.0
2011-02-21 22:00:00+00:00,1.79089,1.83219,1.78904,1.82875,54317.0
2011-02-22 22:00:00+00:00,1.82866,1.8501,1.82344,1.84354,45082.0
2011-02-23 22:00:00+00:00,1.8436,1.84941,1.83739,1.84645,41170.0
2011-02-24 22:00:00+00:00,1.84639,1.84834,1.82648,1.82969,31073.0
2011-02-25 22:00:00+00:00,1.82975,1.82975,1.82968,1.82968,2.0
2011-02-26 22:00:00+00:00,1.82968,1.83671,1.82705,1.83315,516.0
2011-02-27 22:00:00+00:00,1.83326,1.84234,1.82231,1.83494,30852.0
2011-02-28 22:00:00+00:00,1.83502,1.84472,1.8325,1.84377,33592.0
2011-03-01 22:00:00+00:00,1.8437,1.86958,1.8413,1.86559,39086.0
2011-03-02 22:00:00+00:00,1.86549,1.88693,1.85516,1.88523,34629.0
2011-03-03 22:00:00+00:00,1.88517,1.90126,1.88496,1.89547,33994.0
2011-03-04 22:00:00+00:00,1.8956,1.8956,1.89544,1.89544,8.0
2011-03-05 22:00:00+00:00,1.89544,1.90532,1.89389,1.89817,1496.0
2011-03-06 22:00:00+00:00,1.89794,1.90244,1.89104,1.89557,24752.0
2011-03-07 22:00:00+00:00,1.89566,1.89657,1.87602,1.88024,26657.0
2011-03-08 22:00:00+00:00,1.88017,1.89605,1.87263,1.88794,28028.0
2011-03-09 22:00:00+00:00,1.88787,1.89231,1.87517,1.87602,35863.0
2011-03-10 22:00:00+00:00,1.87593,1.88373,1.86068,1.87194,35501.0
2011-03-11 22:00:00+00:00,1.87194,1.87194,1.87194,1.87194,12.0
2011-03-12 22:00:00+00:00,1.87194,1.88389,1.87194,1.88182,3021.0
2011-03-13 21:00:00+00:00,1.88174,1.89651,1.87843,1.89237,33114.0
2011-03-14 21:00:00+00:00,1.89231,1.9175,1.88924,1.91289,57645.0
2011-03-15 21:00:00+00:00,1.91304,1.9163,1.89748,1.90879,51774.0
2011-03-16 21:00:00+00:00,1.9087,1.95717,1.90852,1.95317,67104.0
2011-03-17 21:00:00+00:00,1.95326,1.95401,1.9256,1.93983,48726.0
2011-03-18 21:00:00+00:00,1.93983,1.93983,1.93983,1.93983,13.0
2011-03-19 21:00:00+00:00,1.93983,1.94534,1.93876,1.9415,999.0
2011-03-20 21:00:00+00:00,1.94158,1.94523,1.92382,1.9335,27984.0
2011-03-21 21:00:00+00:00,1.9336,1.93684,1.91137,1.9181,32079.0
2011-03-22 21:00:00+00:00,1.91725,1.92033,1.89992,1.9022,31706.0
2011-03-23 21:00:00+00:00,1.9021,1.90368,1.88129,1.89264,32221.0
2011-03-24 21:00:00+00:00,1.89272,1.89363,1.86332,1.86979,29382.0
2011-03-25 21:00:00+00:00,1.86979,1.86979,1.86979,1.86979,12.0
2011-03-26 21:00:00+00:00,1.86979,1.87055,1.86058,1.86471,1326.0
2011-03-27 21:00:00+00:00,1.8648,1.87839,1.86455,1.87506,25377.0
2011-03-28 21:00:00+00:00,1.87501,1.88064,1.85901,1.86634,26809.0
2011-03-29 21:00:00+00:00,1.86644,1.8668,1.84277,1.8534,27062.0
2011-03-30 21:00:00+00:00,1.85345,1.86809,1.85154,1.85936,27118.0
2011-03-31 21:00:00+00:00,1.85954,1.86791,1.84449,1.85565,26128.0
2011-04-01 21:00:00+00:00,1.85565,1.85565,1.85565,1.85565,12.0
2011-04-02 21:00:00+00:00,1.85565,1.85565,1.84972,1.85294,503.0
2011-04-03 21:00:00+00:00,1.85301,1.85733,1.8465,1.85121,21729.0
2011-04-04 21:00:00+00:00,1.85115,1.85393,1.83847,1.85078,25365.0
2011-04-05 21:00:00+00:00,1.85088,1.85406,1.83582,1.83849,30212.0
2011-04-06 21:00:00+00:00,1.83857,1.84547,1.83035,1.83694,35647.0
2011-04-07 21:00:00+00:00,1.83703,1.85264,1.83617,1.85031,29109.0
2011-04-08 21:00:00+00:00,1.85019,1.85019,1.85019,1.85019,13.0
2011-04-09 21:00:00+00:00,1.85019,1.8527,1.84298,1.84786,1062.0
2011-04-10 21:00:00+00:00,1.84791,1.85316,1.84182,1.85132,22894.0
2011-04-11 21:00:00+00:00,1.85137,1.85662,1.83883,1.84808,42275.0
2011-04-12 21:00:00+00:00,1.84817,1.85035,1.82818,1.82951,31988.0
2011-04-13 21:00:00+00:00,1.82964,1.83469,1.82042,1.82535,36525.0
