T,O,H,L,C,V
2011-01-05 22:00:00+00:00,1.315,1.31707,1.29978,1.30033,57427.0
2011-01-06 22:00:00+00:00,1.30031,1.30212,1.29057,1.29073,70514.0
2011-01-08 22:00:00+00:00,1.29093,1.29183,1.28607,1.28773,3547.0
2011-01-09 22:00:00+00:00,1.2877,1.29644,1.28742,1.29514,58300.0
2011-01-10 22:00:00+00:00,1.29512,1.2993,1.29048,1.29741,62189.0
2011-01-11 22:00:00+00:00,1.29739,1.31447,1.29622,1.3131,66678.0
2011-01-12 22:00:00+00:00,1.3134,1.3383,1.30893,1.33638,63799.0
2011-01-13 22:00:00+00:00,1.33634,1.34572,1.33145,1.3388,69146.0
2011-01-14 22:00:00+00:00,1.33865,1.33865,1.33865,1.33865,1.0
2011-01-15 22:00:00+00:00,1.33887,1.34171,1.33788,1.33854,2013.0
2011-01-16 22:00:00+00:00,1.33852,1.33852,1.32446,1.32938,46863.0
2011-01-17 22:00:00+00:00,1.32953,1.34667,1.32537,1.33869,64553.0
2011-01-18 22:00:00+00:00,1.33866,1.35388,1.33685,1.34736,65165.0
2011-01-19 22:00:00+00:00,1.34738,1.35228,1.33963,1.34726,64158.0
2011-01-20 22:00:00+00:00,1.34728,1.36255,1.3449,1.36213,63070.0
2011-01-21 22:00:00+00:00,1.36209,1.36213,1.36173,1.36173,16.0
2011-01-22 22:00:00+00:00,1.36173,1.36459,1.35948,1.36404,2291.0
2011-01-23 22:00:00+00:00,1.36406,1.36858,1.35408,1.36386,52688.0
2011-01-24 22:00:00+00:00,1.36391,1.37042,1.3573,1.36815,64348.0
2011-01-25 22:00:00+00:00,1.36819,1.37212,1.3641,1.3713,57597.0
2011-01-26 22:00:00+00:00,1.37132,1.37586,1.36376,1.3733,52362.0
2011-01-27 22:00:00+00:00,1.37335,1.37462,1.35837,1.36111,50477.0
2011-01-28 22:00:00+00:00,1.36111,1.36111,1.36111,1.36111,12.0
2011-01-29 22:00:00+00:00,1.36111,1.36123,1.35754,1.35885,2294.0
2011-01-30 22:00:00+00:00,1.35887,1.3739,1.35708,1.36937,49398.0
2011-01-31 22:00:00+00:00,1.3694,1.3843,1.36903,1.38287,48384.0
2011-02-01 22:00:00+00:00,1.38285,1.38616,1.37678,1.38103,43877.0
2011-02-02 22:00:00+00:00,1.38089,1.38258,1.36099,1.3634,46721.0
2011-02-03 22:00:00+00:00,1.36336,1.36795,1.35438,1.35813,40340.0
2011-02-04 22:00:00+00:00,1.35809,1.35809,1.35809,1.35809,3.0
2011-02-05 22:00:00+00:00,1.35809,1.36023,1.35464,1.35628,1654.0
2011-02-06 22:00:00+00:00,1.35632,1.36266,1.35086,1.35824,38415.0
2011-02-07 22:00:00+00:00,1.35827,1.36886,1.35727,1.36254,44461.0
2011-02-08 22:00:00+00:00,1.36256,1.37443,1.36114,1.37324,41850.0
2011-02-09 22:00:00+00:00,1.37322,1.37364,1.35776,1.36018,41010.0
2011-02-10 22:00:00+00:00,1.36022,1.36209,1.34977,1.35574,38567.0
2011-02-11 22:00:00+00:00,1.35514,1.35522,1.35514,1.35514,16.0
2011-02-12 22:00:00+00:00,1.35514,1.35548,1.35054,1.35082,2261.0
2011-02-13 22:00:00+00:00,1.3508,1.35583,1.34291,1.34889,37884.0
2011-02-14 22:00:00+00:00,1.34886,1.35505,1.34614,1.34868,43952.0
2011-02-15 22:00:00+00:00,1.34866,1.3588,1.34624,1.35686,47491.0
2011-02-16 22:00:00+00:00,1.35684,1.36189,1.3537,1.36093,42709.0
2011-02-17 22:00:00+00:00,1.36096,1.37151,1.35458,1.36931,41332.0
2011-02-18 22:00:00+00:00,1.36931,1.36931,1.36931,1.36931,11.0
2011-02-19 22:00:00+00:00,1.36931,1.37258,1.36931,1.37005,1714.0
2011-02-20 22:00:00+00:00,1.37003,1.37158,1.36479,1.36782,23105.0
2011-02-21 22:00:00+00:00,1.36785,1.37036,1.35258,1.36505,50796.0
2011-02-22 22:00:00+00:00,1.36503,1.37865,1.36485,1.37487,43672.0
2011-02-23 22:00:00+00:00,1.37497,1.38208,1.37048,1.38002,45642.0
2011-02-24 22:00:00+00:00,1.38,1.3838,1.3724,1.37536,35791.0
2011-02-25 22:00:00+00:00,1.37539,1.37539,1.37534,1.37534,2.0
2011-02-26 22:00:00+00:00,1.37534,1.37616,1.37424,1.37586,534.0
