T,O,H,L,C,V
2011-01-03 22:00:00+00:00,1.5233,1.55441,1.52276,1.55066,20508.0
2011-01-04 22:00:00+00:00,1.55082,1.56095,1.54649,1.55217,21738.0
2011-01-05 22:00:00+00:00,1.5521,1.55966,1.5503,1.55604,21036.0
2011-01-06 22:00:00+00:00,1.5561,1.56674,1.55244,1.56106,23514.0
2011-01-08 22:00:00+00:00,1.56152,1.56362,1.55802,1.56357,1503.0
2011-01-09 22:00:00+00:00,1.56349,1.57169,1.55852,1.56424,20059.0
2011-01-10 22:00:00+00:00,1.56432,1.58389,1.5641,1.58016,22084.0
2011-01-11 22:00:00+00:00,1.58032,1.59099,1.57338,1.58156,24587.0
2011-01-12 22:00:00+00:00,1.58164,1.59052,1.5775,1.58752,23035.0
2011-01-13 22:00:00+00:00,1.58736,1.60849,1.58468,1.605,23691.0
2011-01-14 22:00:00+00:00,1.60462,1.60462,1.60462,1.60462,1.0
2011-01-15 22:00:00+00:00,1.60464,1.60546,1.60066,1.60135,799.0
2011-01-16 22:00:00+00:00,1.60144,1.6081,1.59627,1.59868,16304.0
2011-01-17 22:00:00+00:00,1.59852,1.60781,1.59606,1.59722,21789.0
2011-01-18 22:00:00+00:00,1.59714,1.60166,1.5893,1.59824,19685.0
2011-01-19 22:00:00+00:00,1.5987,1.61679,1.5976,1.61064,25517.0
2011-01-20 22:00:00+00:00,1.61072,1.61847,1.60769,1.61668,23182.0
2011-01-21 22:00:00+00:00,1.61677,1.61709,1.61648,1.61709,14.0
2011-01-22 22:00:00+00:00,1.61709,1.62076,1.61384,1.61997,985.0
2011-01-23 22:00:00+00:00,1.61987,1.62086,1.59775,1.60292,17991.0
2011-01-24 22:00:00+00:00,1.60282,1.6102,1.58561,1.58706,26511.0
2011-01-25 22:00:00+00:00,1.58726,1.59863,1.58132,1.59472,22501.0
2011-01-26 22:00:00+00:00,1.59444,1.61163,1.59244,1.60576,23579.0
2011-01-27 22:00:00+00:00,1.6056,1.60955,1.59185,1.59566,21878.0
2011-01-28 22:00:00+00:00,1.5953,1.5953,1.59478,1.59478,15.0
2011-01-29 22:00:00+00:00,1.59478,1.6026,1.5947,1.60201,1213.0
2011-01-30 22:00:00+00:00,1.60212,1.60908,1.59318,1.60542,19166.0
2011-01-31 22:00:00+00:00,1.60553,1.61118,1.59046,1.59656,20232.0
2011-02-01 22:00:00+00:00,1.59644,1.60911,1.59345,1.603,15874.0
2011-02-02 22:00:00+00:00,1.60309,1.60644,1.58862,1.58927,16467.0
2011-02-03 22:00:00+00:00,1.5892,1.59176,1.57615,1.58924,14977.0
2011-02-04 22:00:00+00:00,1.58914,1.58914,1.58914,1.58914,3.0
2011-02-05 22:00:00+00:00,1.58914,1.59184,1.5886,1.58886,667.0
2011-02-06 22:00:00+00:00,1.58894,1.59674,1.5855,1.58959,13099.0
2011-02-07 22:00:00+00:00,1.58972,1.59316,1.57804,1.58378,15212.0
2011-02-08 22:00:00+00:00,1.58371,1.59496,1.582,1.59033,13717.0
2011-02-09 22:00:00+00:00,1.59027,1.60556,1.58794,1.60272,16353.0
2011-02-10 22:00:00+00:00,1.60282,1.61104,1.59534,1.59754,16899.0
2011-02-11 22:00:00+00:00,1.5977,1.5977,1.5977,1.5977,12.0
2011-02-12 22:00:00+00:00,1.5977,1.60125,1.59439,1.60125,1057.0
2011-02-13 22:00:00+00:00,1.60134,1.60203,1.59466,1.5993,13009.0
2011-02-14 22:00:00+00:00,1.59924,1.6217,1.59584,1.61841,16873.0
2011-02-15 22:00:00+00:00,1.61847,1.62242,1.6011,1.60422,19220.0
2011-02-16 22:00:00+00:00,1.6043,1.61022,1.59603,1.59828,15015.0
2011-02-17 22:00:00+00:00,1.59837,1.60762,1.59521,1.60197,13304.0
2011-02-18 22:00:00+00:00,1.60197,1.60197,1.60197,1.60197,11.0
2011-02-19 22:00:00+00:00,1.60197,1.60596,1.60114,1.60392,610.0
2011-02-20 22:00:00+00:00,1.60382,1.61102,1.60039,1.60754,8251.0
2011-02-21 22:00:00+00:00,1.60742,1.61864,1.60649,1.61551,18855.0
2011-02-22 22:00:00+00:00,1.61561,1.62587,1.61192,1.61751,16865.0
2011-02-23 22:00:00+00:00,1.61759,1.6191,1.59424,1.59976,18013.0
2011-02-24 22:00:00+00:00,1.59965,1.60017,1.57839,1.58384,13075.0
2011-02-25 22:00:00+00:00,1.58377,1.58377,1.58377,1.58377,1.0
2011-02-26 22:00:00+00:00,1.58377,1.58806,1.58287,1.58732,544.0
2011-02-27 22:00:00+00:00,1.5871,1.60093,1.58273,1.5961,14866.0
2011-02-28 22:00:00+00:00,1.5962,1.60654,1.59603,1.60523,15524.0
2011-03-01 22:00:00+00:00,1.60513,1.6106,1.60146,1.60537,13989.0
2011-03-02 22:00:00+00:00,1.6056,1.60844,1.5971,1.60438,12906.0
2011-03-03 22:00:00+00:00,1.60432,1.61205,1.60269,1.60466,12756.0
2011-03-04 22:00:00+00:00,1.60434,1.60434,1.60434,1.60434,7.0
2011-03-05 22:00:00+00:00,1.60434,1.60815,1.60266,1.60409,607.0
2011-03-06 22:00:00+00:00,1.6042,1.60858,1.5954,1.60116,10178.0
2011-03-07 22:00:00+00:00,1.60105,1.60579,1.59709,1.60031,10610.0
2011-03-08 22:00:00+00:00,1.60038,1.60556,1.5978,1.60292,11426.0
2011-03-09 22:00:00+00:00,1.603,1.61406,1.60207,1.60481,17052.0
2011-03-10 22:00:00+00:00,1.60468,1.60924,1.58278,1.5862,17833.0
2011-03-11 22:00:00+00:00,1.5862,1.5862,1.5862,1.5862,12.0
2011-03-12 22:00:00+00:00,1.5862,1.58858,1.58346,1.58567,1923.0
2011-03-13 21:00:00+00:00,1.58575,1.60698,1.58463,1.6016,16737.0
2011-03-14 21:00:00+00:00,1.60166,1.63012,1.60045,1.62254,33723.0
2011-03-15 21:00:00+00:00,1.62265,1.63843,1.61528,1.6288,32589.0
2011-03-16 21:00:00+00:00,1.62888,1.64748,1.62883,1.64592,38585.0
