T,O,H,L,C,V
2011-01-05 22:00:00+00:00,1.54472,1.54827,1.53689,1.54209,23117.0
2011-01-06 22:00:00+00:00,1.54217,1.54887,1.52985,1.54461,27997.0
2011-01-08 22:00:00+00:00,1.5434,1.54465,1.53822,1.54185,1409.0
2011-01-09 22:00:00+00:00,1.54177,1.54988,1.54076,1.54702,21564.0
2011-01-10 22:00:00+00:00,1.54692,1.54846,1.53954,1.54494,22387.0
2011-01-11 22:00:00+00:00,1.54505,1.55956,1.53704,1.55368,24551.0
2011-01-12 22:00:00+00:00,1.55387,1.57007,1.55219,1.56671,25082.0
2011-01-13 22:00:00+00:00,1.56653,1.58218,1.5655,1.57247,23974.0
2011-01-15 22:00:00+00:00,1.57296,1.57395,1.56779,1.56796,583.0
2011-01-16 22:00:00+00:00,1.56789,1.57588,1.56519,1.56808,16212.0
2011-01-17 22:00:00+00:00,1.56821,1.58729,1.56764,1.58241,23256.0
2011-01-18 22:00:00+00:00,1.58235,1.59361,1.58124,1.5927,21120.0
2011-01-19 22:00:00+00:00,1.5928,1.59924,1.58458,1.58552,27710.0
2011-01-20 22:00:00+00:00,1.58542,1.5936,1.58342,1.58913,22432.0
2011-01-21 22:00:00+00:00,1.58907,1.58915,1.58907,1.58915,13.0
2011-01-22 22:00:00+00:00,1.58915,1.59114,1.58588,1.5902,818.0
2011-01-23 22:00:00+00:00,1.5903,1.59269,1.58476,1.58834,19298.0
2011-01-24 22:00:00+00:00,1.58827,1.5901,1.56788,1.57671,26898.0
2011-01-25 22:00:00+00:00,1.57652,1.58449,1.572,1.58401,24970.0
2011-01-26 22:00:00+00:00,1.58408,1.5935,1.57958,1.58247,25382.0
2011-01-27 22:00:00+00:00,1.58241,1.58916,1.57854,1.58818,20902.0
2011-01-28 22:00:00+00:00,1.58783,1.58783,1.58763,1.58763,15.0
2011-01-29 22:00:00+00:00,1.58763,1.58815,1.58376,1.58737,752.0
2011-01-30 22:00:00+00:00,1.58744,1.61226,1.58388,1.60291,22068.0
2011-01-31 22:00:00+00:00,1.60297,1.61185,1.59796,1.59904,22238.0
2011-02-01 22:00:00+00:00,1.5991,1.60388,1.59694,1.59944,18545.0
2011-02-02 22:00:00+00:00,1.59962,1.60706,1.59617,1.59937,19158.0
2011-02-03 22:00:00+00:00,1.59921,1.60354,1.5816,1.59074,18651.0
2011-02-04 22:00:00+00:00,1.59064,1.59064,1.59064,1.59064,3.0
