T,O,H,L,C,V
2011-01-07 22:00:00+00:00,1.50385,1.50385,1.50385,1.50385,1.0
2011-01-08 22:00:00+00:00,1.50278,1.50407,1.49981,1.50376,3820.0
2011-01-09 22:00:00+00:00,1.50374,1.51088,1.49294,1.50659,110697.0
2011-01-10 22:00:00+00:00,1.50665,1.52568,1.50419,1.51876,103988.0
2011-01-11 22:00:00+00:00,1.51879,1.53066,1.5127,1.52367,122422.0
2011-01-12 22:00:00+00:00,1.52361,1.53714,1.52196,1.52647,126777.0
2011-01-13 22:00:00+00:00,1.52636,1.53552,1.51986,1.52902,96174.0
2011-01-14 22:00:00+00:00,1.529,1.529,1.52875,1.52875,5.0
2011-01-15 22:00:00+00:00,1.5294,1.5323,1.52658,1.52722,1842.0
2011-01-16 22:00:00+00:00,1.52758,1.53962,1.52728,1.53261,68115.0
2011-01-17 22:00:00+00:00,1.53267,1.5429,1.52464,1.53782,108919.0
2011-01-18 22:00:00+00:00,1.53776,1.54191,1.52248,1.52731,91053.0
2011-01-19 22:00:00+00:00,1.52726,1.53998,1.51936,1.53788,130061.0
2011-01-20 22:00:00+00:00,1.5379,1.54019,1.52756,1.53341,90921.0
2011-01-21 22:00:00+00:00,1.53332,1.53335,1.53327,1.53327,18.0
2011-01-22 22:00:00+00:00,1.53327,1.5345,1.52987,1.5302,2441.0
2011-01-23 22:00:00+00:00,1.53023,1.5367,1.51464,1.51759,94816.0
2011-01-24 22:00:00+00:00,1.51762,1.51846,1.48612,1.49061,123015.0
2011-01-25 22:00:00+00:00,1.49066,1.50254,1.48681,1.50025,97571.0
2011-01-26 22:00:00+00:00,1.5002,1.51058,1.49728,1.50597,97160.0
2011-01-27 22:00:00+00:00,1.50605,1.50853,1.49112,1.49389,81145.0
2011-01-28 22:00:00+00:00,1.49404,1.49404,1.49359,1.49359,15.0
2011-01-29 22:00:00+00:00,1.49359,1.49486,1.49119,1.4918,3335.0
2011-01-30 22:00:00+00:00,1.49182,1.5136,1.48994,1.51168,82422.0
2011-01-31 22:00:00+00:00,1.51165,1.52182,1.5073,1.50984,94990.0
2011-02-01 22:00:00+00:00,1.50987,1.52598,1.50805,1.5222,93789.0
2011-02-02 22:00:00+00:00,1.52212,1.53724,1.52082,1.52586,101190.0
2011-02-03 22:00:00+00:00,1.52581,1.54126,1.52478,1.53888,76489.0
2011-02-04 22:00:00+00:00,1.53893,1.53893,1.53881,1.53881,5.0
2011-02-05 22:00:00+00:00,1.53881,1.5426,1.53612,1.54201,2171.0
2011-02-06 22:00:00+00:00,1.54196,1.54977,1.53572,1.53929,79200.0
2011-02-07 22:00:00+00:00,1.53932,1.54928,1.5331,1.54777,100310.0
