T,O,H,L,C,V
2011-01-06 22:00:00+00:00,128.935,129.443,128.477,129.278,94462.0
2011-01-08 22:00:00+00:00,129.323,129.444,128.974,129.192,3102.0
2011-01-09 22:00:00+00:00,129.197,129.366,128.322,128.803,66380.0
2011-01-10 22:00:00+00:00,128.813,130.371,128.753,129.846,71539.0
2011-01-11 22:00:00+00:00,129.852,131.156,129.618,130.823,77354.0
2011-01-12 22:00:00+00:00,130.819,131.43,130.505,131.155,84327.0
2011-01-13 22:00:00+00:00,131.143,131.888,130.458,131.498,84992.0
2011-01-14 22:00:00+00:00,131.506,131.506,131.506,131.506,1.0
2011-01-15 22:00:00+00:00,131.47,131.59,131.228,131.359,1581.0
2011-01-16 22:00:00+00:00,131.368,131.711,130.993,131.352,50800.0
2011-01-17 22:00:00+00:00,131.337,132.518,131.301,131.783,73650.0
2011-01-18 22:00:00+00:00,131.779,132.168,130.84,131.194,71424.0
2011-01-19 22:00:00+00:00,131.201,132.136,130.688,131.95,83730.0
2011-01-20 22:00:00+00:00,131.953,132.352,131.491,132.109,73644.0
2011-01-21 22:00:00+00:00,132.102,132.117,132.099,132.11,19.0
2011-01-22 22:00:00+00:00,132.11,132.29,131.964,132.134,2655.0
2011-01-23 22:00:00+00:00,132.144,132.352,131.704,131.935,65172.0
2011-01-24 22:00:00+00:00,131.951,132.047,129.644,130.092,90303.0
2011-01-25 22:00:00+00:00,130.095,131.1,129.524,130.941,76879.0
2011-01-26 22:00:00+00:00,130.945,132.673,130.584,132.062,90530.0
2011-01-27 22:00:00+00:00,132.072,132.108,129.818,130.251,77792.0
2011-01-28 22:00:00+00:00,130.227,130.259,130.212,130.212,20.0
2011-01-29 22:00:00+00:00,130.212,130.227,129.657,129.962,3390.0
2011-01-30 22:00:00+00:00,129.964,131.604,129.849,131.381,63957.0
2011-01-31 22:00:00+00:00,131.378,131.998,130.948,131.328,72264.0
2011-02-01 22:00:00+00:00,131.326,132.324,131.247,132.061,65267.0
2011-02-02 22:00:00+00:00,132.07,132.949,131.472,131.713,65024.0
2011-02-03 22:00:00+00:00,131.71,132.766,130.875,132.407,62903.0
2011-02-04 22:00:00+00:00,132.399,132.423,132.399,132.415,5.0
2011-02-05 22:00:00+00:00,132.415,132.5,132.164,132.309,1827.0
2011-02-06 22:00:00+00:00,132.306,133.266,132.248,132.63,54321.0
2011-02-07 22:00:00+00:00,132.627,132.92,131.579,132.347,62642.0
2011-02-08 22:00:00+00:00,132.344,133.003,132.114,132.61,61880.0
2011-02-09 22:00:00+00:00,132.607,134.262,132.499,133.977,68116.0
2011-02-10 22:00:00+00:00,133.975,134.23,133.262,133.543,55017.0
2011-02-11 22:00:00+00:00,133.546,133.546,133.546,133.546,12.0
2011-02-12 22:00:00+00:00,133.546,133.685,133.44,133.464,1999.0
2011-02-13 22:00:00+00:00,133.468,133.778,133.19,133.642,55153.0
2011-02-14 22:00:00+00:00,133.64,135.461,133.509,135.09,67224.0
2011-02-15 22:00:00+00:00,135.095,135.47,134.188,134.68,71995.0
2011-02-16 22:00:00+00:00,134.677,134.983,134.364,134.742,62055.0
2011-02-17 22:00:00+00:00,134.739,135.524,134.462,135.197,57854.0
2011-02-18 22:00:00+00:00,135.197,135.197,135.197,135.197,11.0
2011-02-19 22:00:00+00:00,135.197,135.197,134.996,135.099,1107.0
2011-02-20 22:00:00+00:00,135.102,135.204,134.707,134.911,33847.0
2011-02-21 22:00:00+00:00,134.909,135.479,133.266,133.562,76963.0
2011-02-22 22:00:00+00:00,133.568,134.651,133.378,133.764,64584.0
2011-02-23 22:00:00+00:00,133.769,133.878,131.51,132.159,70751.0
2011-02-24 22:00:00+00:00,132.163,132.482,131.133,131.66,55039.0
2011-02-25 22:00:00+00:00,131.663,131.663,131.644,131.647,8.0
2011-02-26 22:00:00+00:00,131.647,131.733,131.541,131.616,353.0
