T,O,H,L,C,V
2011-01-08 22:00:00+00:00,2.04991,2.05424,2.04018,2.04732,978.0
2011-01-09 22:00:00+00:00,2.04722,2.0497,2.03836,2.0396,13231.0
2011-01-10 22:00:00+00:00,2.0395,2.05812,2.03821,2.051,15002.0
2011-01-11 22:00:00+00:00,2.05122,2.0737,2.05078,2.06332,16454.0
2011-01-12 22:00:00+00:00,2.06352,2.07004,2.04813,2.05329,16798.0
2011-01-13 22:00:00+00:00,2.0531,2.07333,2.04936,2.07134,15329.0
2011-01-15 22:00:00+00:00,2.07411,2.07411,2.06386,2.06496,514.0
2011-01-16 22:00:00+00:00,2.06514,2.0691,2.05246,2.05704,10932.0
2011-01-17 22:00:00+00:00,2.05684,2.07967,2.05618,2.06804,14720.0
2011-01-18 22:00:00+00:00,2.06792,2.08223,2.05686,2.08046,14507.0
2011-01-19 22:00:00+00:00,2.08034,2.10524,2.08016,2.10015,20630.0
2011-01-20 22:00:00+00:00,2.10032,2.11556,2.0974,2.11198,15893.0
2011-01-21 22:00:00+00:00,2.11256,2.11256,2.11214,2.11214,13.0
2011-01-22 22:00:00+00:00,2.11214,2.11334,2.1035,2.11198,917.0
2011-01-23 22:00:00+00:00,2.1121,2.1133,2.09077,2.09474,11703.0
2011-01-24 22:00:00+00:00,2.09452,2.0961,2.05647,2.0575,16390.0
2011-01-25 22:00:00+00:00,2.05772,2.07782,2.05254,2.06214,16489.0
2011-01-26 22:00:00+00:00,2.06178,2.07249,2.0562,2.06292,15931.0
2011-01-27 22:00:00+00:00,2.0622,2.06616,2.04271,2.0499,14340.0
2011-01-28 22:00:00+00:00,2.04944,2.04944,2.04928,2.04928,14.0
2011-01-29 22:00:00+00:00,2.04928,2.06078,2.04821,2.05837,992.0
2011-01-30 22:00:00+00:00,2.05848,2.0775,2.04972,2.0717,13887.0
2011-01-31 22:00:00+00:00,2.0718,2.08086,2.06342,2.06588,13738.0
2011-02-01 22:00:00+00:00,2.06574,2.09724,2.06192,2.09347,12649.0
2011-02-02 22:00:00+00:00,2.09372,2.10827,2.08465,2.0865,14313.0
2011-02-03 22:00:00+00:00,2.08637,2.09858,2.07638,2.09257,12656.0
2011-02-04 22:00:00+00:00,2.09244,2.09244,2.09225,2.09225,4.0
2011-02-05 22:00:00+00:00,2.09225,2.09874,2.08758,2.09218,739.0
2011-02-06 22:00:00+00:00,2.09252,2.10604,2.08622,2.09256,11670.0
2011-02-07 22:00:00+00:00,2.09236,2.0938,2.06516,2.07322,13974.0
2011-02-08 22:00:00+00:00,2.07334,2.08917,2.0701,2.08485,12369.0
2011-02-09 22:00:00+00:00,2.08467,2.111,2.08467,2.10604,13861.0
2011-02-10 22:00:00+00:00,2.10592,2.12376,2.1019,2.10443,13846.0
2011-02-11 22:00:00+00:00,2.10479,2.1051,2.10479,2.1051,13.0
2011-02-12 22:00:00+00:00,2.1051,2.11376,2.10263,2.11376,777.0
2011-02-13 22:00:00+00:00,2.1139,2.12351,2.11116,2.11944,11497.0
2011-02-14 22:00:00+00:00,2.11905,2.15021,2.11648,2.14478,13876.0
2011-02-15 22:00:00+00:00,2.14496,2.15292,2.1258,2.13246,15016.0
2011-02-16 22:00:00+00:00,2.13235,2.13984,2.12534,2.13076,12176.0
2011-02-17 22:00:00+00:00,2.13086,2.13558,2.11736,2.134,11495.0
2011-02-18 22:00:00+00:00,2.134,2.134,2.134,2.134,11.0
2011-02-19 22:00:00+00:00,2.134,2.13446,2.12734,2.13127,335.0
2011-02-20 22:00:00+00:00,2.13114,2.13378,2.12052,2.12442,7498.0
2011-02-21 22:00:00+00:00,2.12432,2.16586,2.12355,2.16192,20761.0
2011-02-22 22:00:00+00:00,2.16203,2.18106,2.1526,2.17396,16220.0
2011-02-23 22:00:00+00:00,2.17414,2.17964,2.1514,2.15938,15818.0
2011-02-24 22:00:00+00:00,2.15924,2.16026,2.13302,2.1443,12323.0
2011-02-26 22:00:00+00:00,2.1443,2.15132,2.14161,2.14674,392.0
2011-02-27 22:00:00+00:00,2.1465,2.16572,2.13352,2.16061,13545.0
2011-02-28 22:00:00+00:00,2.16075,2.17736,2.15853,2.1769,14424.0
2011-03-01 22:00:00+00:00,2.17701,2.20157,2.17427,2.19658,14857.0
2011-03-02 22:00:00+00:00,2.19694,2.2005,2.17699,2.19677,12674.0
2011-03-03 22:00:00+00:00,2.19773,2.21396,2.19668,2.20463,13040.0
2011-03-04 22:00:00+00:00,2.20463,2.20463,2.20463,2.20463,6.0
2011-03-05 22:00:00+00:00,2.20463,2.21695,2.20244,2.20798,818.0
2011-03-06 22:00:00+00:00,2.2081,2.21554,2.19698,2.19869,10033.0
2011-03-07 22:00:00+00:00,2.19854,2.19956,2.18032,2.1854,10676.0
2011-03-08 22:00:00+00:00,2.18528,2.20701,2.17966,2.19928,12785.0
2011-03-09 22:00:00+00:00,2.19917,2.20503,2.18148,2.18379,14198.0
2011-03-10 22:00:00+00:00,2.18364,2.19023,2.15132,2.16529,13435.0
2011-03-11 22:00:00+00:00,2.16529,2.16529,2.16529,2.16529,12.0
2011-03-12 22:00:00+00:00,2.16529,2.17154,2.16078,2.16748,1546.0
2011-03-13 21:00:00+00:00,2.1678,2.19522,2.16664,2.18731,13586.0
2011-03-14 21:00:00+00:00,2.18742,2.20811,2.18362,2.19722,24173.0
2011-03-15 21:00:00+00:00,2.19704,2.20586,2.18715,2.20078,22088.0
2011-03-16 21:00:00+00:00,2.20096,2.25314,2.20096,2.24764,29835.0
2011-03-17 21:00:00+00:00,2.24782,2.24804,2.20858,2.22048,20013.0
2011-03-18 21:00:00+00:00,2.22068,2.22084,2.22068,2.22084,15.0
2011-03-19 21:00:00+00:00,2.22084,2.22746,2.21976,2.22046,467.0
2011-03-20 21:00:00+00:00,2.2206,2.2255,2.20758,2.21706,10834.0
2011-03-21 21:00:00+00:00,2.21688,2.22213,2.19758,2.21104,11616.0
2011-03-22 21:00:00+00:00,2.20984,2.21762,2.18628,2.19217,12548.0
2011-03-23 21:00:00+00:00,2.19289,2.19452,2.145,2.15265,11940.0
2011-03-24 21:00:00+00:00,2.15216,2.1537,2.12155,2.129,11614.0
2011-03-25 21:00:00+00:00,2.12902,2.12902,2.12902,2.12902,12.0
2011-03-26 21:00:00+00:00,2.12902,2.1333,2.12222,2.12578,776.0
2011-03-27 21:00:00+00:00,2.1259,2.13442,2.1205,2.1288,10335.0
2011-03-28 21:00:00+00:00,2.12869,2.13488,2.10948,2.11727,10582.0
2011-03-29 21:00:00+00:00,2.11738,2.11944,2.10012,2.10855,10787.0
2011-03-30 21:00:00+00:00,2.10871,2.1229,2.0985,2.1052,10130.0
2011-03-31 21:00:00+00:00,2.1053,2.11453,2.0922,2.10005,11603.0
2011-04-01 21:00:00+00:00,2.10005,2.10005,2.10005,2.10005,12.0
2011-04-02 21:00:00+00:00,2.10005,2.10005,2.09454,2.09712,261.0
2011-04-03 21:00:00+00:00,2.09726,2.11022,2.09498,2.10016,9263.0
2011-04-04 21:00:00+00:00,2.1003,2.12202,2.09297,2.12076,11391.0
2011-04-05 21:00:00+00:00,2.12064,2.12462,2.09005,2.09496,12101.0
2011-04-06 21:00:00+00:00,2.09512,2.10702,2.09039,2.0958,13823.0
2011-04-07 21:00:00+00:00,2.0959,2.10527,2.08656,2.09306,11461.0
2011-04-08 21:00:00+00:00,2.09306,2.09312,2.09306,2.09312,14.0
2011-04-09 21:00:00+00:00,2.09312,2.09819,2.0876,2.09066,381.0
2011-04-10 21:00:00+00:00,2.0908,2.10014,2.08094,2.0963,9370.0
2011-04-11 21:00:00+00:00,2.09642,2.1021,2.06668,2.0756,17368.0
2011-04-12 21:00:00+00:00,2.07548,2.07746,2.05336,2.06084,12439.0
2011-04-13 21:00:00+00:00,2.06094,2.07144,2.05324,2.06,14760.0
2011-04-14 21:00:00+00:00,2.0601,2.06208,2.0372,2.04205,11978.0
2011-04-15 21:00:00+00:00,2.04205,2.04205,2.04205,2.04205,12.0
2011-04-16 21:00:00+00:00,2.04205,2.04571,2.03712,2.03957,393.0
2011-04-17 21:00:00+00:00,2.03942,2.07439,2.03734,2.05648,16097.0
2011-04-18 21:00:00+00:00,2.05636,2.07588,2.05596,2.06834,14120.0
2011-04-19 21:00:00+00:00,2.06848,2.07068,2.04386,2.0561,14793.0
2011-04-20 21:00:00+00:00,2.05622,2.07137,2.04822,2.06396,13200.0
2011-04-21 21:00:00+00:00,2.0637,2.066,2.05543,2.05942,4406.0
2011-04-22 21:00:00+00:00,2.05942,2.05942,2.05942,2.05942,12.0
2011-04-23 21:00:00+00:00,2.05942,2.0623,2.0583,2.0623,58.0
2011-04-24 21:00:00+00:00,2.0625,2.06646,2.05722,2.06384,6555.0
2011-04-25 21:00:00+00:00,2.06396,2.06506,2.0413,2.04553,10465.0
2011-04-26 21:00:00+00:00,2.04543,2.06719,2.03728,2.05785,15934.0
2011-04-27 21:00:00+00:00,2.05759,2.08636,2.05739,2.07258,17056.0
2011-04-28 21:00:00+00:00,2.07238,2.08092,2.06082,2.06206,11190.0
2011-04-29 21:00:00+00:00,2.06206,2.06206,2.06206,2.06206,4.0
2011-04-30 21:00:00+00:00,2.06206,2.06206,2.06206,2.06206,13.0
2011-05-01 21:00:00+00:00,2.06208,2.0778,2.05808,2.06526,12127.0
2011-05-02 21:00:00+00:00,2.06516,2.07328,2.05117,2.0645,13929.0
2011-05-03 21:00:00+00:00,2.0646,2.10008,2.06266,2.08788,18541.0
2011-05-04 21:00:00+00:00,2.08754,2.10084,2.07679,2.08944,21859.0
2011-05-05 21:00:00+00:00,2.08961,2.09155,2.0615,2.07029,28399.0
2011-05-06 21:00:00+00:00,2.07029,2.07029,2.07029,2.07029,12.0
2011-05-07 21:00:00+00:00,2.07029,2.07436,2.06819,2.06908,434.0
2011-05-08 21:00:00+00:00,2.06892,2.074,2.05992,2.0621,15653.0
2011-05-09 21:00:00+00:00,2.06194,2.07554,2.05458,2.05818,16443.0
2011-05-10 21:00:00+00:00,2.05828,2.08012,2.05498,2.07166,16698.0
2011-05-11 21:00:00+00:00,2.07179,2.07677,2.04079,2.04774,21585.0
2011-05-12 21:00:00+00:00,2.0476,2.06212,2.0439,2.05701,16429.0
2011-05-13 21:00:00+00:00,2.05701,2.05701,2.05701,2.05701,12.0
2011-05-14 21:00:00+00:00,2.05701,2.06752,2.05618,2.06422,440.0
2011-05-15 21:00:00+00:00,2.06436,2.08606,2.05438,2.07658,16360.0
2011-05-16 21:00:00+00:00,2.07668,2.0915,2.07066,2.07076,18668.0
2011-05-17 21:00:00+00:00,2.07066,2.07638,2.04322,2.0491,16330.0
2011-05-18 21:00:00+00:00,2.049,2.05619,2.03596,2.05306,15862.0
2011-05-19 21:00:00+00:00,2.05292,2.05294,2.03461,2.03832,14783.0
2011-05-20 21:00:00+00:00,2.03832,2.03832,2.03832,2.03832,12.0
2011-05-21 21:00:00+00:00,2.03832,2.04599,2.03782,2.04389,407.0
2011-05-22 21:00:00+00:00,2.04376,2.05414,2.03417,2.04006,16121.0
2011-05-23 21:00:00+00:00,2.03994,2.04122,2.01438,2.03216,15605.0
