T,O,H,L,C,V
2011-01-05 22:00:00+00:00,1.5513,1.55638,1.54488,1.54726,31938.0
2011-01-06 22:00:00+00:00,1.54732,1.55792,1.5407,1.55465,35661.0
2011-01-08 22:00:00+00:00,1.55507,1.55516,1.55004,1.55234,1788.0
2011-01-09 22:00:00+00:00,1.55226,1.56031,1.54752,1.55736,29170.0
2011-01-10 22:00:00+00:00,1.55732,1.56395,1.55133,1.55986,29009.0
2011-01-11 22:00:00+00:00,1.56004,1.57806,1.55834,1.57616,34854.0
2011-01-12 22:00:00+00:00,1.57626,1.58838,1.57187,1.5837,36955.0
2011-01-13 22:00:00+00:00,1.58366,1.5889,1.58102,1.5869,35313.0
2011-01-15 22:00:00+00:00,1.58694,1.58857,1.58629,1.58651,596.0
2011-01-16 22:00:00+00:00,1.58658,1.5955,1.58357,1.58876,22028.0
2011-01-17 22:00:00+00:00,1.5886,1.60593,1.58784,1.5963,32783.0
2011-01-18 22:00:00+00:00,1.59626,1.6038,1.59456,1.59954,28457.0
2011-01-19 22:00:00+00:00,1.59948,1.60094,1.58384,1.58973,33377.0
2011-01-20 22:00:00+00:00,1.58969,1.60172,1.5867,1.59999,30879.0
2011-01-21 22:00:00+00:00,1.59995,1.59995,1.59995,1.59995,12.0
2011-01-22 22:00:00+00:00,1.59995,1.6011,1.59673,1.60051,1143.0
2011-01-23 22:00:00+00:00,1.60065,1.60138,1.59214,1.5987,25356.0
2011-01-24 22:00:00+00:00,1.59876,1.6017,1.5751,1.5817,38187.0
2011-01-25 22:00:00+00:00,1.58187,1.59366,1.577,1.59352,35685.0
2011-01-26 22:00:00+00:00,1.59348,1.59904,1.58808,1.5928,34842.0
2011-01-27 22:00:00+00:00,1.59284,1.59669,1.5826,1.58601,30180.0
2011-01-28 22:00:00+00:00,1.58565,1.58565,1.58553,1.58553,14.0
2011-01-29 22:00:00+00:00,1.58553,1.58571,1.58244,1.58477,612.0
2011-01-30 22:00:00+00:00,1.58481,1.60492,1.5822,1.60132,25804.0
2011-01-31 22:00:00+00:00,1.60136,1.61644,1.6011,1.61418,29728.0
2011-02-01 22:00:00+00:00,1.61415,1.62308,1.61286,1.6192,25245.0
2011-02-02 22:00:00+00:00,1.6191,1.62783,1.61216,1.61358,28331.0
2011-02-03 22:00:00+00:00,1.61364,1.61724,1.60366,1.61115,23674.0
2011-02-04 22:00:00+00:00,1.61105,1.61105,1.61105,1.61105,3.0
2011-02-05 22:00:00+00:00,1.61105,1.61105,1.60738,1.60998,813.0
2011-02-06 22:00:00+00:00,1.61001,1.61854,1.60899,1.611,22628.0
2011-02-07 22:00:00+00:00,1.61094,1.61624,1.60283,1.60686,26769.0
2011-02-08 22:00:00+00:00,1.6069,1.61249,1.60332,1.6102,23533.0
2011-02-09 22:00:00+00:00,1.61014,1.61384,1.60121,1.6098,26546.0
2011-02-10 22:00:00+00:00,1.60984,1.61132,1.59634,1.60061,22994.0
2011-02-11 22:00:00+00:00,1.60061,1.60061,1.60061,1.60061,11.0
2011-02-12 22:00:00+00:00,1.60061,1.60103,1.59857,1.59866,457.0
2011-02-13 22:00:00+00:00,1.5987,1.6078,1.59818,1.60392,21332.0
2011-02-14 22:00:00+00:00,1.60386,1.61712,1.6008,1.61262,26986.0
2011-02-15 22:00:00+00:00,1.61258,1.61856,1.59878,1.60946,29194.0
2011-02-16 22:00:00+00:00,1.6095,1.61866,1.60756,1.61734,24553.0
2011-02-17 22:00:00+00:00,1.6174,1.6263,1.61488,1.62536,23356.0
2011-02-18 22:00:00+00:00,1.62536,1.62536,1.62536,1.62536,11.0
2011-02-19 22:00:00+00:00,1.62536,1.62659,1.62502,1.62612,390.0
2011-02-20 22:00:00+00:00,1.62608,1.62623,1.62048,1.62266,12203.0
2011-02-21 22:00:00+00:00,1.62262,1.62282,1.61018,1.61368,25537.0
2011-02-22 22:00:00+00:00,1.61372,1.62738,1.61333,1.62115,25369.0
2011-02-23 22:00:00+00:00,1.62121,1.62547,1.60854,1.61382,25909.0
2011-02-24 22:00:00+00:00,1.61386,1.6161,1.60314,1.61185,20689.0
2011-02-25 22:00:00+00:00,1.6119,1.6119,1.6118,1.6118,3.0
2011-02-26 22:00:00+00:00,1.6118,1.6118,1.60988,1.61127,134.0
2011-02-27 22:00:00+00:00,1.61109,1.62768,1.60718,1.62572,25135.0
2011-02-28 22:00:00+00:00,1.62576,1.63296,1.62522,1.62672,26935.0
2011-03-01 22:00:00+00:00,1.62674,1.6344,1.62159,1.6325,19785.0
2011-03-02 22:00:00+00:00,1.63256,1.63343,1.62538,1.62775,21620.0
2011-03-03 22:00:00+00:00,1.62767,1.63056,1.62358,1.6268,18604.0
2011-03-04 22:00:00+00:00,1.6268,1.6268,1.6268,1.6268,6.0
2011-03-05 22:00:00+00:00,1.6268,1.62835,1.62558,1.62773,164.0
2011-03-06 22:00:00+00:00,1.62769,1.63422,1.6183,1.6201,14616.0
2011-03-07 22:00:00+00:00,1.62016,1.62086,1.61256,1.61608,15033.0
2011-03-08 22:00:00+00:00,1.61604,1.62428,1.61388,1.62028,16450.0
2011-03-09 22:00:00+00:00,1.62033,1.62132,1.60389,1.60607,22408.0
2011-03-10 22:00:00+00:00,1.60602,1.60872,1.59774,1.60816,22885.0
2011-03-11 22:00:00+00:00,1.60816,1.60816,1.60816,1.60816,12.0
2011-03-12 22:00:00+00:00,1.60816,1.61013,1.60721,1.60866,2124.0
2011-03-13 21:00:00+00:00,1.60886,1.61997,1.60278,1.61727,22037.0
