T,O,H,L,C,V
2011-01-15 22:00:00+00:00,0.75843,0.76032,0.75746,0.75929,453.0
2011-01-16 22:00:00+00:00,0.75922,0.766,0.75784,0.76238,18346.0
2011-01-17 22:00:00+00:00,0.76233,0.76568,0.75952,0.76518,30255.0
2011-01-18 22:00:00+00:00,0.76513,0.77332,0.76385,0.76564,29181.0
2011-01-19 22:00:00+00:00,0.76569,0.76571,0.75479,0.75497,53513.0
2011-01-20 22:00:00+00:00,0.75499,0.75605,0.75033,0.75213,32838.0
2011-01-21 22:00:00+00:00,0.7522,0.75243,0.7522,0.75243,14.0
2011-01-22 22:00:00+00:00,0.75243,0.75474,0.75243,0.75313,434.0
2011-01-23 22:00:00+00:00,0.75318,0.76068,0.75286,0.75832,25154.0
2011-01-24 22:00:00+00:00,0.75827,0.7667,0.75795,0.76636,33683.0
2011-01-25 22:00:00+00:00,0.76624,0.76879,0.76108,0.76824,37692.0
2011-01-26 22:00:00+00:00,0.76819,0.7721,0.76568,0.7672,44513.0
2011-01-27 22:00:00+00:00,0.76717,0.77571,0.76713,0.77478,30871.0
2011-01-28 22:00:00+00:00,0.77474,0.77474,0.77474,0.77474,13.0
2011-01-29 22:00:00+00:00,0.77474,0.77525,0.7703,0.77121,1439.0
2011-01-30 22:00:00+00:00,0.77123,0.77668,0.76834,0.77373,34353.0
2011-01-31 22:00:00+00:00,0.77369,0.77626,0.77058,0.77407,32319.0
2011-02-01 22:00:00+00:00,0.77403,0.7749,0.76243,0.76405,32760.0
2011-02-02 22:00:00+00:00,0.76401,0.76736,0.76147,0.76657,34964.0
2011-02-03 22:00:00+00:00,0.76653,0.77283,0.7584,0.76024,35593.0
2011-02-04 22:00:00+00:00,0.76024,0.76024,0.76024,0.76024,2.0
2011-02-05 22:00:00+00:00,0.76024,0.76202,0.75867,0.7605,657.0
2011-02-06 22:00:00+00:00,0.76053,0.76453,0.75847,0.76285,22907.0
2011-02-07 22:00:00+00:00,0.76282,0.77377,0.7625,0.77136,31384.0
2011-02-08 22:00:00+00:00,0.77134,0.77199,0.76588,0.76765,31375.0
2011-02-09 22:00:00+00:00,0.76762,0.76807,0.75931,0.76082,33898.0
2011-02-10 22:00:00+00:00,0.76086,0.76097,0.74979,0.75106,37331.0
2011-02-11 22:00:00+00:00,0.75091,0.75091,0.75077,0.75077,15.0
2011-02-12 22:00:00+00:00,0.75077,0.7522,0.7476,0.74819,1207.0
2011-02-13 22:00:00+00:00,0.74816,0.74998,0.74348,0.74852,28127.0
2011-02-14 22:00:00+00:00,0.74847,0.74931,0.74216,0.74418,28643.0
2011-02-15 22:00:00+00:00,0.74422,0.74668,0.74097,0.74334,28601.0
2011-02-16 22:00:00+00:00,0.74336,0.74902,0.74179,0.7471,29922.0
2011-02-17 22:00:00+00:00,0.74713,0.75473,0.74639,0.75156,29568.0
2011-02-18 22:00:00+00:00,0.75156,0.75156,0.75156,0.75156,11.0
2011-02-19 22:00:00+00:00,0.75156,0.75364,0.75114,0.75204,275.0
2011-02-20 22:00:00+00:00,0.75197,0.75493,0.74816,0.75083,18833.0
2011-02-21 22:00:00+00:00,0.75087,0.75107,0.73534,0.73953,49007.0
2011-02-22 22:00:00+00:00,0.73961,0.74268,0.736,0.73796,44255.0
2011-02-23 22:00:00+00:00,0.73792,0.73907,0.73312,0.73437,44417.0
2011-02-24 22:00:00+00:00,0.73441,0.739,0.73364,0.73473,32503.0
2011-02-26 22:00:00+00:00,0.73473,0.73666,0.73291,0.73463,295.0
2011-02-27 22:00:00+00:00,0.73521,0.73873,0.73073,0.73108,28995.0
2011-02-28 22:00:00+00:00,0.7311,0.73245,0.72766,0.72832,27659.0
2011-03-01 22:00:00+00:00,0.72836,0.7289,0.71951,0.72334,33526.0
2011-03-02 22:00:00+00:00,0.72337,0.72743,0.71911,0.72031,26728.0
2011-03-03 22:00:00+00:00,0.72026,0.72047,0.71362,0.71832,27213.0
2011-03-04 22:00:00+00:00,0.71825,0.71825,0.71821,0.71821,8.0
2011-03-05 22:00:00+00:00,0.71821,0.71857,0.71468,0.71763,1151.0
2011-03-06 22:00:00+00:00,0.71758,0.71882,0.71451,0.71724,21137.0
2011-03-07 22:00:00+00:00,0.71728,0.72233,0.71671,0.71838,30361.0
2011-03-08 22:00:00+00:00,0.71841,0.72004,0.71018,0.7135,25440.0
2011-03-09 22:00:00+00:00,0.71346,0.71803,0.71166,0.71786,29185.0
2011-03-10 22:00:00+00:00,0.71783,0.72554,0.71444,0.72277,38988.0
2011-03-11 22:00:00+00:00,0.72277,0.72277,0.72277,0.72277,12.0
2011-03-12 22:00:00+00:00,0.72277,0.72437,0.72097,0.72238,1171.0
2011-03-13 21:00:00+00:00,0.72235,0.72249,0.71643,0.72003,27478.0
2011-03-14 21:00:00+00:00,0.71999,0.7254,0.71556,0.72147,70915.0
2011-03-15 21:00:00+00:00,0.7215,0.72537,0.71881,0.72189,61054.0
2011-03-16 21:00:00+00:00,0.72192,0.72278,0.70607,0.70698,57085.0
2011-03-17 21:00:00+00:00,0.70703,0.72145,0.70703,0.71946,41595.0
2011-03-18 21:00:00+00:00,0.71946,0.71946,0.71946,0.71946,13.0
2011-03-19 21:00:00+00:00,0.71946,0.72046,0.71816,0.72018,407.0
2011-03-20 21:00:00+00:00,0.72016,0.7211,0.71562,0.71956,27924.0
2011-03-21 21:00:00+00:00,0.71935,0.72881,0.71814,0.726,32372.0
2011-03-22 21:00:00+00:00,0.72618,0.72848,0.72444,0.727,26312.0
2011-03-23 21:00:00+00:00,0.72695,0.73348,0.72632,0.73081,28419.0
2011-03-24 21:00:00+00:00,0.7309,0.7417,0.7306,0.73963,30652.0
2011-03-25 21:00:00+00:00,0.73963,0.73963,0.73963,0.73963,12.0
2011-03-26 21:00:00+00:00,0.73963,0.73963,0.73561,0.73822,705.0
2011-03-27 21:00:00+00:00,0.73835,0.73983,0.73188,0.73481,22166.0
2011-03-28 21:00:00+00:00,0.73483,0.73918,0.73216,0.73684,23125.0
2011-03-29 21:00:00+00:00,0.73679,0.74186,0.73589,0.7402,20603.0
2011-03-30 21:00:00+00:00,0.7401,0.74286,0.7369,0.73884,21568.0
2011-03-31 21:00:00+00:00,0.73855,0.74138,0.73515,0.73898,23787.0
2011-04-01 21:00:00+00:00,0.73898,0.73898,0.73898,0.73898,12.0
2011-04-02 21:00:00+00:00,0.73898,0.74173,0.73898,0.74033,324.0
2011-04-03 21:00:00+00:00,0.74027,0.74366,0.73897,0.74277,19983.0
2011-04-04 21:00:00+00:00,0.74303,0.74544,0.7395,0.74073,27292.0
2011-04-05 21:00:00+00:00,0.74063,0.7492,0.73931,0.74904,25562.0
2011-04-06 21:00:00+00:00,0.749,0.74969,0.74372,0.74645,30389.0
2011-04-07 21:00:00+00:00,0.74642,0.74941,0.7431,0.74786,29139.0
2011-04-08 21:00:00+00:00,0.74789,0.74789,0.74789,0.74789,13.0
2011-04-09 21:00:00+00:00,0.74789,0.75042,0.74725,0.74815,469.0
2011-04-10 21:00:00+00:00,0.74813,0.75024,0.74476,0.74594,22228.0
2011-04-11 21:00:00+00:00,0.74597,0.75882,0.74564,0.75475,40982.0
2011-04-12 21:00:00+00:00,0.75481,0.76337,0.75306,0.75973,39119.0
2011-04-13 21:00:00+00:00,0.75968,0.7644,0.75811,0.76294,43976.0
2011-04-14 21:00:00+00:00,0.76291,0.76881,0.76167,0.76695,29645.0
2011-04-15 21:00:00+00:00,0.76695,0.76695,0.76695,0.76695,12.0
2011-04-16 21:00:00+00:00,0.76695,0.76776,0.76543,0.76688,508.0
2011-04-17 21:00:00+00:00,0.76691,0.76751,0.75828,0.76271,36769.0
2011-04-18 21:00:00+00:00,0.76268,0.76311,0.75278,0.75431,31742.0
2011-04-19 21:00:00+00:00,0.75425,0.76141,0.75342,0.76029,38981.0
