T,O,H,L,C,V
2011-01-16 22:00:00+00:00,0.73972,0.74816,0.73912,0.74501,9311.0
2011-01-17 22:00:00+00:00,0.74494,0.7455,0.7386,0.74356,12292.0
2011-01-18 22:00:00+00:00,0.74363,0.74809,0.73378,0.73409,12101.0
2011-01-19 22:00:00+00:00,0.73418,0.73734,0.72656,0.73224,18055.0
2011-01-20 22:00:00+00:00,0.7323,0.7334,0.72456,0.72604,13100.0
2011-01-21 22:00:00+00:00,0.72583,0.72597,0.72583,0.72597,13.0
2011-01-22 22:00:00+00:00,0.72597,0.72816,0.72418,0.72458,726.0
2011-01-23 22:00:00+00:00,0.72462,0.73094,0.72286,0.72446,10366.0
2011-01-24 22:00:00+00:00,0.72439,0.7283,0.71989,0.72445,13644.0
2011-01-25 22:00:00+00:00,0.72452,0.7285,0.72139,0.72751,13505.0
2011-01-26 22:00:00+00:00,0.72745,0.73236,0.72492,0.73005,14011.0
2011-01-27 22:00:00+00:00,0.72998,0.73495,0.72666,0.72875,12148.0
2011-01-28 22:00:00+00:00,0.72882,0.72882,0.72882,0.72882,13.0
2011-01-29 22:00:00+00:00,0.72882,0.72918,0.72396,0.72472,1049.0
2011-01-30 22:00:00+00:00,0.72477,0.72979,0.72382,0.72967,11540.0
2011-01-31 22:00:00+00:00,0.7296,0.73421,0.72728,0.73087,12073.0
2011-02-01 22:00:00+00:00,0.73082,0.7354,0.72556,0.72708,11320.0
2011-02-02 22:00:00+00:00,0.72704,0.73384,0.7247,0.73128,12399.0
2011-02-03 22:00:00+00:00,0.73123,0.74,0.72946,0.7354,12187.0
2011-02-04 22:00:00+00:00,0.73548,0.73548,0.73548,0.73548,3.0
2011-02-05 22:00:00+00:00,0.73548,0.73758,0.7342,0.73704,796.0
2011-02-06 22:00:00+00:00,0.73692,0.73861,0.734,0.73562,9822.0
2011-02-07 22:00:00+00:00,0.73568,0.74737,0.73548,0.7466,11707.0
2011-02-08 22:00:00+00:00,0.74654,0.74774,0.73788,0.73976,10433.0
2011-02-09 22:00:00+00:00,0.73981,0.7425,0.73588,0.74073,11061.0
2011-02-10 22:00:00+00:00,0.74066,0.74163,0.73435,0.74014,11653.0
2011-02-11 22:00:00+00:00,0.74021,0.74021,0.73997,0.73997,14.0
2011-02-12 22:00:00+00:00,0.73997,0.74188,0.73713,0.73713,1041.0
2011-02-13 22:00:00+00:00,0.73708,0.73952,0.73244,0.73408,8841.0
2011-02-14 22:00:00+00:00,0.73417,0.7352,0.7255,0.72708,10899.0
