T,O,H,L,C,V
2011-01-19 22:00:00+00:00,63.057,63.232,62.536,62.829,34256.0
2011-01-20 22:00:00+00:00,62.831,62.899,62.464,62.524,28694.0
2011-01-21 22:00:00+00:00,62.53,62.563,62.517,62.555,23.0
2011-01-22 22:00:00+00:00,62.555,62.795,62.555,62.582,1106.0
2011-01-23 22:00:00+00:00,62.588,63.079,62.567,62.987,20276.0
2011-01-24 22:00:00+00:00,62.995,63.27,62.776,63.229,28618.0
2011-01-25 22:00:00+00:00,63.222,63.591,62.94,63.497,29627.0
2011-01-26 22:00:00+00:00,63.501,64.256,63.3,64.019,31964.0
2011-01-27 22:00:00+00:00,64.025,64.116,63.285,63.54,25485.0
2011-01-28 22:00:00+00:00,63.529,63.544,63.529,63.54,18.0
2011-01-29 22:00:00+00:00,63.54,63.545,63.073,63.142,2042.0
2011-01-30 22:00:00+00:00,63.138,63.522,63.087,63.416,22197.0
2011-01-31 22:00:00+00:00,63.411,63.658,63.177,63.57,23994.0
2011-02-01 22:00:00+00:00,63.568,63.784,62.93,63.068,21290.0
2011-02-02 22:00:00+00:00,63.074,63.218,62.91,63.123,22296.0
2011-02-03 22:00:00+00:00,63.126,63.354,62.549,63.279,24380.0
2011-02-04 22:00:00+00:00,63.276,63.287,63.276,63.287,4.0
2011-02-05 22:00:00+00:00,63.287,63.422,63.071,63.242,871.0
2011-02-06 22:00:00+00:00,63.247,63.59,63.219,63.384,17491.0
2011-02-07 22:00:00+00:00,63.387,63.918,63.364,63.819,21707.0
2011-02-08 22:00:00+00:00,63.816,63.87,63.438,63.601,20874.0
2011-02-09 22:00:00+00:00,63.598,63.822,63.24,63.618,23200.0
2011-02-10 22:00:00+00:00,63.616,63.626,63.11,63.46,22005.0
2011-02-11 22:00:00+00:00,63.448,63.448,63.436,63.436,15.0
2011-02-12 22:00:00+00:00,63.436,63.522,63.127,63.127,1370.0
2011-02-13 22:00:00+00:00,63.131,63.26,62.865,63.054,17402.0
2011-02-14 22:00:00+00:00,63.051,63.308,62.895,62.985,23727.0
2011-02-15 22:00:00+00:00,62.988,63.25,62.882,63.152,23795.0
2011-02-16 22:00:00+00:00,63.149,63.352,62.936,63.228,19682.0
2011-02-17 22:00:00+00:00,63.226,63.644,63.16,63.354,17942.0
2011-02-18 22:00:00+00:00,63.354,63.354,63.354,63.354,11.0
2011-02-19 22:00:00+00:00,63.354,63.504,63.277,63.403,455.0
2011-02-20 22:00:00+00:00,63.405,63.638,63.272,63.505,13478.0
2011-02-21 22:00:00+00:00,63.509,63.751,61.657,61.782,36226.0
2011-02-22 22:00:00+00:00,61.784,62.246,61.274,61.53,28004.0
2011-02-23 22:00:00+00:00,61.536,61.552,60.85,61.204,27573.0
2011-02-24 22:00:00+00:00,61.207,61.66,61.145,61.397,20724.0
2011-02-25 22:00:00+00:00,61.4,61.4,61.394,61.394,3.0
2011-02-26 22:00:00+00:00,61.394,61.517,61.186,61.307,570.0
2011-02-27 22:00:00+00:00,61.305,61.71,61.246,61.535,18874.0
2011-02-28 22:00:00+00:00,61.537,61.847,61.127,61.164,21600.0
2011-03-01 22:00:00+00:00,61.167,61.302,60.47,60.85,25112.0
2011-03-02 22:00:00+00:00,60.854,61.213,60.722,61.088,22204.0
2011-03-03 22:00:00+00:00,61.091,61.111,60.558,60.74,24134.0
2011-03-04 22:00:00+00:00,60.737,60.74,60.737,60.74,8.0
2011-03-05 22:00:00+00:00,60.74,60.788,60.438,60.702,1205.0
2011-03-06 22:00:00+00:00,60.699,60.816,60.344,60.602,19428.0
2011-03-07 22:00:00+00:00,60.598,61.288,60.58,61.133,23197.0
2011-03-08 22:00:00+00:00,61.135,61.426,60.641,60.949,25561.0
2011-03-09 22:00:00+00:00,60.955,61.114,60.788,61.029,29307.0
2011-03-10 22:00:00+00:00,61.026,61.171,60.298,60.81,37170.0
2011-03-11 22:00:00+00:00,60.8,60.8,60.792,60.792,15.0
2011-03-12 22:00:00+00:00,60.792,61.066,60.533,60.604,2265.0
2011-03-13 21:00:00+00:00,60.611,60.986,59.526,60.354,38708.0
2011-03-14 21:00:00+00:00,60.351,60.542,58.693,59.069,53647.0
2011-03-15 21:00:00+00:00,59.071,59.578,57.913,57.952,52525.0
2011-03-16 21:00:00+00:00,57.95,57.95,54.96,56.629,84331.0
2011-03-17 21:00:00+00:00,56.627,59.765,56.62,58.904,66472.0
2011-03-18 21:00:00+00:00,58.909,58.909,58.909,58.909,14.0
2011-03-19 21:00:00+00:00,58.909,59.168,58.909,59.148,874.0
2011-03-20 21:00:00+00:00,59.144,59.82,58.919,59.612,24046.0
2011-03-21 21:00:00+00:00,59.618,60.39,59.442,59.923,26973.0
2011-03-22 21:00:00+00:00,59.957,60.132,59.656,59.927,25706.0
2011-03-23 21:00:00+00:00,59.922,60.808,59.874,60.655,24870.0
2011-03-24 21:00:00+00:00,60.661,61.51,60.62,61.282,21544.0
2011-03-25 21:00:00+00:00,61.282,61.282,61.282,61.282,12.0
2011-03-26 21:00:00+00:00,61.282,61.407,61.157,61.3,1143.0
2011-03-27 21:00:00+00:00,61.305,61.701,61.099,61.376,18951.0
2011-03-28 21:00:00+00:00,61.374,62.524,61.136,62.366,21656.0
2011-03-29 21:00:00+00:00,62.368,63.372,62.28,63.183,25186.0
2011-03-30 21:00:00+00:00,63.187,63.51,62.675,63.309,25733.0
2011-03-31 21:00:00+00:00,63.307,64.662,63.232,64.48,27722.0
2011-04-01 21:00:00+00:00,64.48,64.48,64.48,64.48,12.0
2011-04-02 21:00:00+00:00,64.48,64.738,64.48,64.665,641.0
2011-04-03 21:00:00+00:00,64.667,64.836,64.26,64.567,21120.0
2011-04-04 21:00:00+00:00,64.57,65.294,64.528,65.216,25838.0
2011-04-05 21:00:00+00:00,65.221,66.717,65.167,66.641,36306.0
2011-04-06 21:00:00+00:00,66.638,66.66,65.463,66.141,38510.0
2011-04-07 21:00:00+00:00,66.137,66.666,65.911,66.353,31542.0
2011-04-08 21:00:00+00:00,66.356,66.356,66.336,66.336,17.0
2011-04-09 21:00:00+00:00,66.336,66.7,66.328,66.475,906.0
2011-04-10 21:00:00+00:00,66.478,66.604,65.89,65.962,23379.0
2011-04-11 21:00:00+00:00,65.959,66.344,64.76,65.464,49415.0
2011-04-12 21:00:00+00:00,65.47,66.641,65.398,66.18,34981.0
2011-04-13 21:00:00+00:00,66.177,66.565,65.399,66.272,44492.0
2011-04-14 21:00:00+00:00,66.274,66.568,65.954,66.468,32890.0
2011-04-15 21:00:00+00:00,66.468,66.468,66.468,66.468,12.0
2011-04-16 21:00:00+00:00,66.468,66.626,66.304,66.557,456.0
2011-04-17 21:00:00+00:00,66.56,66.597,64.469,65.385,40075.0
2011-04-18 21:00:00+00:00,65.387,65.39,64.479,65.142,33308.0
2011-04-19 21:00:00+00:00,65.14,66.286,65.056,65.888,36230.0
2011-04-20 21:00:00+00:00,65.886,65.934,65.248,65.52,28102.0
2011-04-21 21:00:00+00:00,65.526,65.845,65.457,65.628,12257.0
2011-04-22 21:00:00+00:00,65.628,65.628,65.628,65.628,12.0
2011-04-23 21:00:00+00:00,65.628,65.656,65.575,65.587,80.0
2011-04-24 21:00:00+00:00,65.583,66.02,65.264,65.415,16653.0
2011-04-25 21:00:00+00:00,65.418,65.986,65.116,65.702,21456.0
2011-04-26 21:00:00+00:00,65.7,66.387,65.584,66.356,34826.0
2011-04-27 21:00:00+00:00,66.359,66.364,65.07,65.413,38160.0
2011-04-28 21:00:00+00:00,65.411,65.808,65.22,65.785,20592.0
2011-04-29 21:00:00+00:00,65.785,65.785,65.785,65.785,4.0
2011-04-30 21:00:00+00:00,65.785,65.785,65.785,65.785,13.0
