T,O,H,L,C,V
2011-01-12 22:00:00+00:00,0.76378,0.7713,0.76098,0.7713,25143.0
2011-01-13 22:00:00+00:00,0.77095,0.77274,0.76356,0.76615,22831.0
2011-01-15 22:00:00+00:00,0.7651,0.76892,0.7651,0.7683,262.0
2011-01-16 22:00:00+00:00,0.76823,0.7748,0.76707,0.77235,14621.0
2011-01-17 22:00:00+00:00,0.77205,0.77418,0.76936,0.77189,17704.0
2011-01-18 22:00:00+00:00,0.77165,0.77875,0.76849,0.76886,17643.0
2011-01-19 22:00:00+00:00,0.76891,0.76896,0.75332,0.75693,36162.0
2011-01-20 22:00:00+00:00,0.75695,0.75967,0.75259,0.7576,21293.0
2011-01-21 22:00:00+00:00,0.75737,0.75752,0.75737,0.75752,13.0
2011-01-22 22:00:00+00:00,0.75752,0.75956,0.75729,0.75785,467.0
2011-01-23 22:00:00+00:00,0.75791,0.76574,0.7566,0.76323,16008.0
2011-01-24 22:00:00+00:00,0.76321,0.76932,0.7623,0.76875,20922.0
2011-01-25 22:00:00+00:00,0.7686,0.77276,0.76443,0.77275,22290.0
2011-01-26 22:00:00+00:00,0.7727,0.77472,0.76722,0.77214,22032.0
2011-01-27 22:00:00+00:00,0.7724,0.77941,0.77058,0.7737,19454.0
2011-01-28 22:00:00+00:00,0.7737,0.7737,0.7737,0.7737,12.0
2011-01-29 22:00:00+00:00,0.7737,0.77378,0.76936,0.76992,1125.0
2011-01-30 22:00:00+00:00,0.76994,0.77431,0.76849,0.77295,22225.0
2011-01-31 22:00:00+00:00,0.77291,0.78254,0.77122,0.78135,19851.0
2011-02-01 22:00:00+00:00,0.78132,0.78246,0.77171,0.77345,18080.0
2011-02-02 22:00:00+00:00,0.77336,0.77506,0.76904,0.77336,22783.0
2011-02-03 22:00:00+00:00,0.77339,0.77476,0.7667,0.76994,23432.0
2011-02-04 22:00:00+00:00,0.77001,0.77001,0.77001,0.77001,3.0
2011-02-05 22:00:00+00:00,0.77001,0.77137,0.76661,0.76952,506.0
2011-02-06 22:00:00+00:00,0.7694,0.77258,0.76784,0.76989,18242.0
2011-02-07 22:00:00+00:00,0.76994,0.77872,0.76966,0.77507,20578.0
2011-02-08 22:00:00+00:00,0.77503,0.77566,0.7702,0.77237,20666.0
2011-02-09 22:00:00+00:00,0.77235,0.77238,0.76252,0.76439,22252.0
2011-02-10 22:00:00+00:00,0.76442,0.76449,0.75539,0.76059,23219.0
2011-02-11 22:00:00+00:00,0.76046,0.76046,0.76032,0.76032,14.0
2011-02-12 22:00:00+00:00,0.76032,0.76128,0.75631,0.75631,861.0
2011-02-13 22:00:00+00:00,0.75633,0.75934,0.75446,0.75674,17123.0
2011-02-14 22:00:00+00:00,0.75688,0.75874,0.75053,0.75185,19849.0
2011-02-15 22:00:00+00:00,0.7518,0.75658,0.75071,0.75469,21785.0
2011-02-16 22:00:00+00:00,0.75466,0.76067,0.75378,0.75896,17420.0
2011-02-17 22:00:00+00:00,0.75892,0.7656,0.75836,0.76165,16091.0
2011-02-18 22:00:00+00:00,0.76165,0.76165,0.76165,0.76165,11.0
2011-02-19 22:00:00+00:00,0.76165,0.7639,0.76165,0.76301,215.0
2011-02-20 22:00:00+00:00,0.76303,0.76529,0.76076,0.76381,12053.0
2011-02-21 22:00:00+00:00,0.76383,0.76408,0.74516,0.74641,38080.0
2011-02-22 22:00:00+00:00,0.74639,0.75134,0.74284,0.74571,25242.0
2011-02-23 22:00:00+00:00,0.74568,0.75103,0.74299,0.74735,25786.0
2011-02-24 22:00:00+00:00,0.74738,0.75278,0.74711,0.75169,18389.0
2011-02-26 22:00:00+00:00,0.75169,0.75211,0.74855,0.75057,350.0
2011-02-27 22:00:00+00:00,0.75063,0.75543,0.74956,0.75241,19426.0
2011-02-28 22:00:00+00:00,0.75239,0.75331,0.74679,0.74724,23817.0
2011-03-01 22:00:00+00:00,0.7472,0.7482,0.73843,0.7432,25329.0
2011-03-02 22:00:00+00:00,0.74311,0.74735,0.73888,0.74097,22667.0
2011-03-03 22:00:00+00:00,0.74095,0.74095,0.73387,0.7379,23447.0
2011-03-04 22:00:00+00:00,0.7379,0.7379,0.7379,0.7379,6.0
2011-03-05 22:00:00+00:00,0.7379,0.73846,0.73444,0.7372,1036.0
2011-03-06 22:00:00+00:00,0.73716,0.74022,0.73508,0.73687,18223.0
2011-03-07 22:00:00+00:00,0.7369,0.74178,0.73661,0.73949,18031.0
2011-03-08 22:00:00+00:00,0.73953,0.74164,0.73366,0.73671,21847.0
2011-03-09 22:00:00+00:00,0.73673,0.73793,0.73228,0.73545,25481.0
2011-03-10 22:00:00+00:00,0.73541,0.7456,0.73267,0.74272,21596.0
2011-03-11 22:00:00+00:00,0.74272,0.74272,0.74272,0.74272,12.0
2011-03-12 22:00:00+00:00,0.74272,0.74451,0.74104,0.74221,759.0
2011-03-13 21:00:00+00:00,0.74216,0.74236,0.73634,0.73937,20340.0
2011-03-14 21:00:00+00:00,0.73935,0.74068,0.72666,0.73176,42460.0
2011-03-15 21:00:00+00:00,0.73179,0.73584,0.72512,0.72817,39188.0
2011-03-16 21:00:00+00:00,0.72811,0.72811,0.71187,0.71785,39468.0
2011-03-17 21:00:00+00:00,0.71779,0.73219,0.71778,0.73108,25662.0
2011-03-18 21:00:00+00:00,0.73108,0.73108,0.73108,0.73108,13.0
2011-03-19 21:00:00+00:00,0.73108,0.73135,0.72915,0.73119,344.0
2011-03-20 21:00:00+00:00,0.73115,0.73604,0.7293,0.73568,17113.0
2011-03-21 21:00:00+00:00,0.73573,0.74472,0.73383,0.7401,21191.0
2011-03-22 21:00:00+00:00,0.7405,0.74338,0.73757,0.74062,20315.0
2011-03-23 21:00:00+00:00,0.74037,0.75215,0.73987,0.74893,18824.0
2011-03-24 21:00:00+00:00,0.74895,0.7576,0.74849,0.7535,17294.0
2011-03-25 21:00:00+00:00,0.7535,0.7535,0.7535,0.7535,12.0
2011-03-26 21:00:00+00:00,0.7535,0.75436,0.75069,0.75301,460.0
2011-03-27 21:00:00+00:00,0.75312,0.75544,0.74901,0.75129,15004.0
2011-03-28 21:00:00+00:00,0.75132,0.75824,0.74946,0.75622,16759.0
2011-03-29 21:00:00+00:00,0.7562,0.7637,0.75482,0.76222,15160.0
2011-03-30 21:00:00+00:00,0.76226,0.76474,0.75831,0.76136,14250.0
2011-03-31 21:00:00+00:00,0.76132,0.76832,0.75822,0.76711,15184.0
2011-04-01 21:00:00+00:00,0.76711,0.76711,0.76711,0.76711,12.0
2011-04-02 21:00:00+00:00,0.76711,0.76939,0.76711,0.76808,228.0
