T,O,H,L,C,V
2011-01-27 22:00:00+00:00,0.99365,1.00172,0.99349,1.00115,23961.0
2011-01-28 22:00:00+00:00,1.00115,1.00115,1.00115,1.00115,12.0
2011-01-29 22:00:00+00:00,1.00115,1.00189,1.00033,1.00168,541.0
2011-01-30 22:00:00+00:00,1.0017,1.00581,0.99627,1.00095,25837.0
2011-01-31 22:00:00+00:00,1.00092,1.001,0.99004,0.99061,21676.0
2011-02-01 22:00:00+00:00,0.99058,0.99162,0.98607,0.98789,17310.0
2011-02-02 22:00:00+00:00,0.98795,0.99222,0.98658,0.9911,17092.0
2011-02-03 22:00:00+00:00,0.99106,0.9979,0.98319,0.9873,24974.0
2011-02-04 22:00:00+00:00,0.9873,0.9873,0.9873,0.9873,2.0
2011-02-05 22:00:00+00:00,0.9873,0.98971,0.9873,0.98821,334.0
2011-02-06 22:00:00+00:00,0.98819,0.99124,0.98586,0.99082,18979.0
2011-02-07 22:00:00+00:00,0.99084,0.99773,0.98691,0.99517,20111.0
2011-02-08 22:00:00+00:00,0.99515,0.99561,0.99156,0.99379,17627.0
2011-02-09 22:00:00+00:00,0.99381,0.99872,0.99327,0.99527,21235.0
2011-02-10 22:00:00+00:00,0.99524,0.99864,0.98627,0.9874,20307.0
2011-02-11 22:00:00+00:00,0.9874,0.9874,0.9874,0.9874,11.0
2011-02-12 22:00:00+00:00,0.9874,0.98976,0.98735,0.98945,446.0
2011-02-13 22:00:00+00:00,0.9894,0.99021,0.98165,0.98908,15997.0
2011-02-14 22:00:00+00:00,0.98913,0.99025,0.98517,0.98977,16831.0
2011-02-15 22:00:00+00:00,0.98979,0.99042,0.98466,0.98486,18727.0
2011-02-16 22:00:00+00:00,0.98491,0.98591,0.98161,0.9843,15612.0
2011-02-17 22:00:00+00:00,0.98426,0.98743,0.98188,0.98676,18300.0
2011-02-18 22:00:00+00:00,0.98676,0.98676,0.98676,0.98676,11.0
2011-02-19 22:00:00+00:00,0.98676,0.98676,0.98541,0.98545,98.0
2011-02-20 22:00:00+00:00,0.98547,0.98722,0.98225,0.98301,8951.0
2011-02-21 22:00:00+00:00,0.98304,0.99196,0.98238,0.99077,27254.0
2011-02-22 22:00:00+00:00,0.99113,0.99592,0.98586,0.98951,25087.0
2011-02-23 22:00:00+00:00,0.98954,0.99028,0.98166,0.9826,26414.0
2011-02-24 22:00:00+00:00,0.98257,0.98323,0.97732,0.97747,14925.0
2011-02-25 22:00:00+00:00,0.97743,0.97743,0.9774,0.9774,2.0
2011-02-26 22:00:00+00:00,0.9774,0.9804,0.9774,0.97868,246.0
2011-02-27 22:00:00+00:00,0.97861,0.97894,0.97104,0.97167,20580.0
2011-02-28 22:00:00+00:00,0.97163,0.97553,0.96841,0.9747,19113.0
2011-03-01 22:00:00+00:00,0.97473,0.97756,0.97084,0.9733,18836.0
2011-03-02 22:00:00+00:00,0.97335,0.9753,0.97148,0.97206,15926.0
2011-03-03 22:00:00+00:00,0.97211,0.97431,0.97,0.97345,15861.0
2011-03-04 22:00:00+00:00,0.97335,0.97335,0.9733,0.9733,8.0
2011-03-05 22:00:00+00:00,0.9733,0.9734,0.97294,0.97332,140.0
2011-03-06 22:00:00+00:00,0.97329,0.97435,0.97005,0.9733,11339.0
2011-03-07 22:00:00+00:00,0.97333,0.97482,0.97078,0.9714,15016.0
2011-03-08 22:00:00+00:00,0.97145,0.97153,0.96678,0.96848,10719.0
2011-03-09 22:00:00+00:00,0.96845,0.97672,0.96835,0.97602,16986.0
2011-03-10 22:00:00+00:00,0.97605,0.98024,0.97058,0.97315,18776.0
2011-03-11 22:00:00+00:00,0.97315,0.97315,0.97315,0.97315,12.0
2011-03-12 22:00:00+00:00,0.97315,0.97464,0.97064,0.97332,623.0
2011-03-13 21:00:00+00:00,0.97328,0.97641,0.97107,0.9738,16009.0
2011-03-14 21:00:00+00:00,0.97382,0.99742,0.97341,0.98595,43048.0
2011-03-15 21:00:00+00:00,0.98629,0.99672,0.98074,0.99139,35872.0
2011-03-16 21:00:00+00:00,0.99141,0.99516,0.98351,0.98478,36014.0
2011-03-17 21:00:00+00:00,0.98481,0.98668,0.9803,0.98431,25275.0
2011-03-18 21:00:00+00:00,0.98431,0.98431,0.98431,0.98431,13.0
2011-03-19 21:00:00+00:00,0.98431,0.9853,0.98395,0.98492,133.0
2011-03-20 21:00:00+00:00,0.98488,0.9856,0.97495,0.97802,19240.0
2011-03-21 21:00:00+00:00,0.97777,0.98135,0.97471,0.98093,20203.0
2011-03-22 21:00:00+00:00,0.98072,0.98438,0.97922,0.98154,19876.0
2011-03-23 21:00:00+00:00,0.98159,0.98248,0.97318,0.97516,19048.0
2011-03-24 21:00:00+00:00,0.97519,0.98273,0.97422,0.98159,16842.0
2011-03-25 21:00:00+00:00,0.98159,0.98159,0.98159,0.98159,12.0
2011-03-26 21:00:00+00:00,0.98159,0.98159,0.9782,0.98037,390.0
2011-03-27 21:00:00+00:00,0.98042,0.98247,0.97419,0.97797,14748.0
2011-03-28 21:00:00+00:00,0.97794,0.97852,0.97389,0.97443,14620.0
2011-03-29 21:00:00+00:00,0.97441,0.97538,0.9687,0.97093,14645.0
2011-03-30 21:00:00+00:00,0.97091,0.97293,0.96836,0.97053,14861.0
2011-03-31 21:00:00+00:00,0.97049,0.9705,0.96266,0.9632,18872.0
2011-04-01 21:00:00+00:00,0.9632,0.9632,0.9632,0.9632,12.0
2011-04-02 21:00:00+00:00,0.9632,0.96423,0.9632,0.96388,116.0
2011-04-03 21:00:00+00:00,0.96385,0.96872,0.96165,0.96696,13570.0
