T,O,H,L,C,V
2011-01-09 22:00:00+00:00,0.96873,0.97269,0.9631,0.96741,18448.0
2011-01-10 22:00:00+00:00,0.96746,0.97842,0.9661,0.97369,22171.0
2011-01-11 22:00:00+00:00,0.97373,0.9756,0.96618,0.96671,24327.0
2011-01-12 22:00:00+00:00,0.96663,0.97641,0.96134,0.96384,24133.0
2011-01-13 22:00:00+00:00,0.96358,0.9687,0.9605,0.96352,21725.0
2011-01-14 22:00:00+00:00,0.96342,0.96342,0.96334,0.96334,3.0
2011-01-15 22:00:00+00:00,0.96369,0.96522,0.96216,0.96264,677.0
2011-01-16 22:00:00+00:00,0.9628,0.9677,0.96271,0.96463,15995.0
2011-01-17 22:00:00+00:00,0.96451,0.9657,0.95514,0.96334,20790.0
2011-01-18 22:00:00+00:00,0.96339,0.96478,0.95205,0.9548,19081.0
2011-01-19 22:00:00+00:00,0.9549,0.96848,0.95277,0.96739,24160.0
2011-01-20 22:00:00+00:00,0.96743,0.96876,0.9573,0.95835,19127.0
2011-01-21 22:00:00+00:00,0.95835,0.95835,0.95835,0.95835,11.0
2011-01-22 22:00:00+00:00,0.95835,0.95937,0.95593,0.95609,748.0
2011-01-23 22:00:00+00:00,0.95615,0.9623,0.94712,0.94921,16483.0
2011-01-24 22:00:00+00:00,0.94911,0.95228,0.94036,0.9424,21181.0
2011-01-25 22:00:00+00:00,0.94246,0.94654,0.94004,0.94146,19067.0
2011-01-26 22:00:00+00:00,0.94138,0.94822,0.93904,0.94549,19648.0
2011-01-27 22:00:00+00:00,0.94552,0.94714,0.94037,0.9419,17308.0
2011-01-28 22:00:00+00:00,0.942,0.942,0.942,0.942,13.0
2011-01-29 22:00:00+00:00,0.942,0.94377,0.94087,0.94129,936.0
2011-01-30 22:00:00+00:00,0.94133,0.94494,0.93695,0.94401,15669.0
2011-01-31 22:00:00+00:00,0.94396,0.94564,0.93374,0.93534,18063.0
2011-02-01 22:00:00+00:00,0.93538,0.94424,0.93292,0.94005,17156.0
2011-02-02 22:00:00+00:00,0.9401,0.95252,0.93958,0.94555,18575.0
2011-02-03 22:00:00+00:00,0.94561,0.95942,0.94505,0.95515,17243.0
2011-02-04 22:00:00+00:00,0.95515,0.95515,0.95515,0.95515,2.0
2011-02-05 22:00:00+00:00,0.95515,0.95871,0.9535,0.95779,797.0
2011-02-06 22:00:00+00:00,0.95774,0.95982,0.95306,0.95551,15670.0
2011-02-07 22:00:00+00:00,0.95555,0.96432,0.95241,0.96327,16889.0
2011-02-08 22:00:00+00:00,0.96333,0.96609,0.95524,0.95779,15206.0
2011-02-09 22:00:00+00:00,0.95784,0.97027,0.95753,0.96905,15504.0
2011-02-10 22:00:00+00:00,0.96901,0.9775,0.96789,0.97311,15063.0
2011-02-11 22:00:00+00:00,0.9732,0.9732,0.9732,0.9732,12.0
2011-02-12 22:00:00+00:00,0.9732,0.97495,0.97293,0.97461,1171.0
2011-02-13 22:00:00+00:00,0.97457,0.97457,0.9692,0.97002,12648.0
2011-02-14 22:00:00+00:00,0.97,0.97294,0.96502,0.96706,14781.0
2011-02-15 22:00:00+00:00,0.96712,0.97391,0.95538,0.95947,18755.0
2011-02-16 22:00:00+00:00,0.95951,0.96024,0.94784,0.94967,16988.0
2011-02-17 22:00:00+00:00,0.94972,0.95392,0.94374,0.94465,14133.0
2011-02-18 22:00:00+00:00,0.94465,0.94465,0.94465,0.94465,11.0
2011-02-19 22:00:00+00:00,0.94465,0.94465,0.94188,0.94338,609.0
2011-02-20 22:00:00+00:00,0.94342,0.9489,0.94342,0.9468,8775.0
2011-02-21 22:00:00+00:00,0.94676,0.95064,0.93666,0.9388,18144.0
2011-02-22 22:00:00+00:00,0.93885,0.93923,0.93082,0.93307,13826.0
2011-02-23 22:00:00+00:00,0.933,0.93354,0.92343,0.92644,18735.0
2011-02-24 22:00:00+00:00,0.9265,0.93188,0.92356,0.92823,14383.0
2011-02-25 22:00:00+00:00,0.92827,0.92827,0.92827,0.92827,1.0
2011-02-26 22:00:00+00:00,0.92827,0.93035,0.92799,0.92846,470.0
2011-02-27 22:00:00+00:00,0.9285,0.93063,0.92596,0.92883,11733.0
2011-02-28 22:00:00+00:00,0.92878,0.93223,0.92748,0.92846,12275.0
2011-03-01 22:00:00+00:00,0.9285,0.92912,0.92023,0.92355,12264.0
2011-03-02 22:00:00+00:00,0.92351,0.93269,0.9233,0.93163,14439.0
2011-03-03 22:00:00+00:00,0.93157,0.93304,0.92242,0.92461,12984.0
2011-03-04 22:00:00+00:00,0.92454,0.92462,0.92454,0.92462,8.0
2011-03-05 22:00:00+00:00,0.92462,0.92666,0.92462,0.92542,432.0
2011-03-06 22:00:00+00:00,0.92548,0.92758,0.92364,0.92666,8307.0
2011-03-07 22:00:00+00:00,0.92661,0.93639,0.92623,0.93518,10150.0
2011-03-08 22:00:00+00:00,0.93515,0.93695,0.92686,0.92955,9197.0
2011-03-09 22:00:00+00:00,0.92952,0.9363,0.92817,0.93197,12232.0
2011-03-10 22:00:00+00:00,0.93201,0.93588,0.92688,0.92966,13061.0
2011-03-11 22:00:00+00:00,0.92966,0.92966,0.92966,0.92966,12.0
2011-03-12 22:00:00+00:00,0.92966,0.92966,0.9261,0.92749,1951.0
2011-03-13 21:00:00+00:00,0.92756,0.93166,0.923,0.92436,12236.0
2011-03-14 21:00:00+00:00,0.9244,0.92516,0.91414,0.91653,19459.0
2011-03-15 21:00:00+00:00,0.91661,0.91982,0.90718,0.90804,16185.0
2011-03-16 21:00:00+00:00,0.90809,0.90819,0.89219,0.89853,29265.0
2011-03-17 21:00:00+00:00,0.89848,0.9091,0.8964,0.90057,20595.0
2011-03-18 21:00:00+00:00,0.9008,0.90086,0.9008,0.90086,15.0
2011-03-19 21:00:00+00:00,0.90086,0.90169,0.89909,0.89967,567.0
2011-03-20 21:00:00+00:00,0.89963,0.90752,0.89963,0.90459,10109.0
2011-03-21 21:00:00+00:00,0.90455,0.90573,0.90137,0.90347,8780.0
2011-03-22 21:00:00+00:00,0.90358,0.90888,0.89792,0.90854,10607.0
2011-03-23 21:00:00+00:00,0.90858,0.91242,0.90294,0.90853,11691.0
