T,O,H,L,C,V
2011-01-21 22:00:00+00:00,82.566,82.575,82.564,82.574,18.0
2011-01-22 22:00:00+00:00,82.574,82.684,82.546,82.561,912.0
2011-01-23 22:00:00+00:00,82.559,82.924,82.306,82.525,14867.0
2011-01-24 22:00:00+00:00,82.535,82.664,81.977,82.25,19520.0
2011-01-25 22:00:00+00:00,82.24,82.614,81.98,82.162,18000.0
2011-01-26 22:00:00+00:00,82.172,83.21,82.02,82.926,24953.0
2011-01-27 22:00:00+00:00,82.932,82.938,81.99,82.125,19344.0
2011-01-28 22:00:00+00:00,82.11,82.13,82.11,82.125,18.0
2011-01-29 22:00:00+00:00,82.125,82.144,81.793,82.006,1721.0
2011-01-30 22:00:00+00:00,82.004,82.256,81.912,82.042,15791.0
2011-01-31 22:00:00+00:00,82.04,82.152,81.318,81.354,17381.0
2011-02-01 22:00:00+00:00,81.356,81.857,81.356,81.56,16301.0
2011-02-02 22:00:00+00:00,81.565,82.063,81.407,81.624,15100.0
2011-02-03 22:00:00+00:00,81.626,82.467,81.112,82.181,18391.0
2011-02-04 22:00:00+00:00,82.176,82.19,82.176,82.19,4.0
2011-02-05 22:00:00+00:00,82.19,82.301,82.174,82.174,640.0
2011-02-06 22:00:00+00:00,82.178,82.469,82.162,82.328,14381.0
2011-02-07 22:00:00+00:00,82.326,82.424,81.773,82.365,16275.0
2011-02-08 22:00:00+00:00,82.361,82.667,82.207,82.358,17104.0
2011-02-09 22:00:00+00:00,82.356,83.37,82.34,83.225,18548.0
2011-02-10 22:00:00+00:00,83.222,83.676,83.216,83.434,14292.0
2011-02-11 22:00:00+00:00,83.434,83.434,83.434,83.434,11.0
2011-02-12 22:00:00+00:00,83.434,83.565,83.356,83.492,817.0
2011-02-13 22:00:00+00:00,83.489,83.526,83.095,83.326,14734.0
2011-02-14 22:00:00+00:00,83.323,83.918,83.2,83.769,17069.0
2011-02-15 22:00:00+00:00,83.772,83.974,83.49,83.681,17136.0
