,open,high,low,close,complete,volume,time
0,1.09788,1.10164,1.0972,1.09839,True,73380.0,1513893600.000000000
1,1.12958,1.12958,1.09676,1.0979,True,41636.0,1514239200.000000000
2,1.09772,1.10072,1.09726,1.10038,True,70620.0,1514325600.000000000
3,1.1003,1.10092,1.09867,1.10016,True,62263.0,1514412000.000000000
4,1.10034,1.10162,1.09692,1.10107,True,71463.0,1514498400.000000000
5,1.09863,1.10309,1.098,1.10226,True,95988.0,1514844000.000000000
6,1.10158,1.1053,1.1011,1.1049,True,97453.0,1514930400.000000000
7,1.10491,1.10508,1.09802,1.09912,True,91620.0,1515016800.000000000
8,1.09907,1.0996,1.0946,1.09694,True,89512.0,1515103200.000000000
9,1.09799,1.09812,1.0912,1.09282,True,82004.0,1515362400.000000000
10,1.09274,1.09602,1.08891,1.09246,True,100029.0,1515448800.000000000
11,1.09245,1.09468,1.08708,1.08948,True,134048.0,1515535200.000000000
12,1.08951,1.09553,1.08679,1.08684,True,124577.0,1515621600.000000000
13,1.08686,1.09163,1.08442,1.09159,True,130503.0,1515708000.000000000
14,1.09181,1.0942,1.08982,1.09107,True,115621.0,1515967200.000000000
15,1.091,1.09554,1.0903,1.09532,True,108394.0,1516053600.000000000
16,1.09516,1.10025,1.09402,1.09602,True,146842.0,1516140000.000000000
17,1.09625,1.09875,1.0923,1.0955,True,134814.0,1516226400.000000000
18,1.09576,1.1001,1.0952,1.09839,True,128366.0,1516312800.000000000
19,1.0983,1.09947,1.09402,1.09404,True,94422.0,1516572000.000000000
20,1.09406,1.0946,1.0857,1.08788,True,115498.0,1516658400.000000000
21,1.08768,1.09969,1.08618,1.09883,True,133028.0,1516744800.000000000
22,1.09836,1.09953,1.09354,1.09574,True,192983.0,1516831200.000000000
23,1.09604,1.10388,1.0956,1.10204,True,152474.0,1516917600.000000000
24,1.10332,1.10727,1.10186,1.10551,True,120479.0,1517176800.000000000
25,1.10511,1.10592,1.10102,1.1027,True,126643.0,1517263200.000000000
26,1.10302,1.10398,1.09203,1.09379,True,164818.0,1517349600.000000000
27,1.09424,1.09436,1.08499,1.08691,True,146290.0,1517436000.000000000
28,1.08678,1.08776,1.08455,1.08501,True,150705.0,1517522400.000000000
29,1.08539,1.08814,1.08341,1.08431,True,159072.0,1517781600.000000000
30,1.08456,1.08535,1.07473,1.07662,True,221633.0,1517868000.000000000
