,open,high,low,close,complete,volume,time
0,89.001,89.27,88.962,89.258,True,44209.0,1514239200.000000000
1,89.274,89.728,89.189,89.572,True,66188.0,1514325600.000000000
2,89.488,89.871,89.387,89.83,True,73075.0,1514412000.000000000
3,89.848,90.038,89.508,89.627,True,79617.0,1514498400.000000000
4,89.804,89.968,89.382,89.755,True,72691.0,1514844000.000000000
5,89.735,89.814,89.522,89.752,True,68706.0,1514930400.000000000
6,89.744,90.302,89.714,90.298,True,77144.0,1515016800.000000000
7,90.298,91.582,90.23,91.072,True,94104.0,1515103200.000000000
8,91.141,91.376,90.803,91.052,True,68099.0,1515362400.000000000
9,91.045,91.158,90.136,90.379,True,90794.0,1515448800.000000000
10,90.393,90.416,88.504,88.812,True,127239.0,1515535200.000000000
11,88.826,89.142,88.554,88.872,True,113999.0,1515621600.000000000
12,88.832,89.162,88.64,89.12,True,120958.0,1515708000.000000000
13,89.118,89.326,88.828,88.936,True,120983.0,1515967200.000000000
14,88.952,89.316,88.618,88.825,True,105586.0,1516053600.000000000
15,88.86,89.636,88.279,89.478,True,146219.0,1516140000.000000000
16,89.465,89.558,88.881,89.492,True,119116.0,1516226400.000000000
17,89.423,89.558,88.514,88.702,True,108409.0,1516312800.000000000
18,88.618,89.213,88.568,89.15,True,85876.0,1516572000.000000000
19,89.108,89.24,88.406,88.812,True,108797.0,1516658400.000000000
20,88.821,88.902,88.198,88.454,True,130380.0,1516744800.000000000
21,88.482,88.725,88.12,88.403,True,183815.0,1516831200.000000000
22,88.401,88.868,87.892,88.187,True,159792.0,1516917600.000000000
23,88.294,88.502,87.992,88.302,True,126550.0,1517176800.000000000
24,88.302,88.379,87.802,88.17,True,104749.0,1517263200.000000000
25,88.196,89.056,88.118,88.656,True,144979.0,1517349600.000000000
26,88.668,89.282,88.658,89.184,True,123021.0,1517436000.000000000
27,89.18,89.437,88.6,88.64,True,164395.0,1517522400.000000000
28,88.614,88.654,87.01,87.018,True,185483.0,1517781600.000000000
29,87.032,87.75,86.349,87.69,True,278040.0,1517868000.000000000
30,87.688,87.804,86.882,86.996,True,162111.0,1517954400.000000000
31,87.033,87.385,86.16,86.295,True,206536.0,1518040800.000000000
32,86.278,86.774,85.559,86.472,True,236616.0,1518127200.000000000
33,86.482,86.577,85.996,86.403,True,117102.0,1518386400.000000000
34,86.372,86.466,85.185,85.624,True,124296.0,1518472800.000000000
35,85.626,85.752,84.674,85.664,True,165760.0,1518559200.000000000
36,85.608,85.675,84.761,85.022,True,149028.0,1518645600.000000000
37,84.988,85.173,84.489,84.653,True,127384.0,1518732000.000000000
38,84.697,84.98,84.556,84.867,True,79610.0,1518991200.000000000
39,84.857,85.123,84.794,84.868,True,96052.0,1519077600.000000000
40,84.859,85.265,84.748,84.839,True,112824.0,1519164000.000000000
41,84.85,84.875,83.845,84.024,True,109708.0,1519250400.000000000
42,84.022,84.634,83.96,84.602,True,89925.0,1519336800.000000000
43,84.803,84.803,84.112,84.289,True,89595.0,1519596000.000000000
44,84.328,84.486,84.009,84.013,True,103215.0,1519682400.000000000
45,84.013,84.194,83.034,83.128,True,104864.0,1519768800.000000000
46,83.15,83.654,82.514,82.759,True,151888.0,1519855200.000000000
47,82.782,82.892,81.672,82.077,True,126006.0,1519941600.000000000
48,81.896,82.046,81.38,81.926,True,111879.0,1520200800.000000000
49,81.892,82.566,81.548,82.419,True,115681.0,1520287200.000000000
50,82.43,82.462,81.412,82.151,True,144565.0,1520373600.000000000
51,82.192,82.468,81.878,82.374,True,109478.0,1520460000.000000000
52,82.352,83.442,82.318,83.382,True,120358.0,1520546400.000000000
53,83.24,83.492,82.826,82.86,True,74905.0,1520802000.000000000
54,82.865,83.444,82.024,82.206,True,110225.0,1520888400.000000000
55,82.206,82.432,81.764,82.076,True,99396.0,1520974800.000000000
56,82.066,82.122,81.152,81.462,True,98816.0,1521061200.000000000
57,81.516,81.524,80.683,80.919,True,87107.0,1521147600.000000000
58,80.91,81.422,80.548,81.13,True,94079.0,1521406800.000000000
59,81.13,81.603,80.969,81.504,True,92239.0,1521493200.000000000
60,81.496,82.406,81.414,82.184,True,109364.0,1521579600.000000000
61,82.192,82.381,81.311,81.37,True,137459.0,1521666000.000000000
62,81.419,82.066,80.916,81.218,True,156779.0,1521752400.000000000
63,81.174,82.086,81.173,82.07,True,103723.0,1522011600.000000000
64,82.062,82.448,81.69,81.714,True,109034.0,1522098000.000000000
65,81.726,82.843,81.702,82.674,True,139686.0,1522184400.000000000
66,82.686,82.776,82.294,82.606,True,98772.0,1522270800.000000000
67,82.612,82.662,82.332,82.415,True,80007.0,1522357200.000000000
68,82.38,82.679,81.638,82.006,True,77641.0,1522616400.000000000
69,82.006,83.344,81.834,83.242,True,106594.0,1522702800.000000000
70,83.25,83.716,82.566,83.624,True,117643.0,1522789200.000000000
71,83.609,84.269,83.552,84.217,True,99313.0,1522875600.000000000
72,84.24,84.258,83.534,83.652,True,128821.0,1522962000.000000000
73,83.782,84.39,83.584,84.1,True,91223.0,1523221200.000000000
74,84.08,85.254,83.928,85.086,True,109840.0,1523307600.000000000
75,85.088,85.146,84.58,84.894,True,101782.0,1523394000.000000000
76,84.927,85.324,84.702,85.262,True,101251.0,1523480400.000000000
77,85.232,85.762,85.022,85.117,True,87390.0,1523566800.000000000
78,85.336,85.382,84.908,85.245,True,75755.0,1523826000.000000000
79,85.228,85.42,85.062,85.254,True,75291.0,1523912400.000000000
80,85.257,85.44,84.68,84.912,True,91518.0,1523998800.000000000
81,84.897,85.302,84.678,84.737,True,98030.0,1524085200.000000000
82,84.739,85.168,84.305,84.324,True,98239.0,1524171600.000000000
83,84.524,84.728,84.364,84.608,True,84008.0,1524430800.000000000
84,84.619,85.167,84.578,84.788,True,92564.0,1524517200.000000000
85,84.81,85.231,84.666,85.178,True,95278.0,1524603600.000000000
86,85.195,85.312,84.866,84.914,True,94861.0,1524690000.000000000
87,84.909,85.046,84.753,84.994,True,78062.0,1524776400.000000000
88,84.974,85.388,84.915,85.136,True,76778.0,1525035600.000000000
89,85.135,85.524,84.972,85.505,True,84389.0,1525122000.000000000
90,85.514,85.738,85.246,85.248,True,107826.0,1525208400.000000000
91,85.314,85.436,84.476,84.998,True,109885.0,1525294800.000000000
92,84.982,85.025,84.374,84.946,True,91130.0,1525381200.000000000
93,84.932,85.008,84.514,84.694,True,70726.0,1525640400.000000000
94,84.635,84.705,83.892,84.262,True,101691.0,1525726800.000000000
95,84.263,85.508,84.157,85.379,True,93843.0,1525813200.000000000
96,85.38,86.064,85.304,85.687,True,117027.0,1525899600.000000000
97,85.674,85.874,85.415,85.496,True,92330.0,1525986000.000000000
98,85.539,85.876,85.442,85.576,True,77610.0,1526245200.000000000
99,85.619,85.926,85.32,85.698,True,108266.0,1526331600.000000000
100,85.708,86.32,85.583,86.309,True,112069.0,1526418000.000000000
101,86.285,86.79,86.208,86.484,True,96708.0,1526504400.000000000
102,86.496,86.736,85.771,85.953,True,98588.0,1526590800.000000000
103,86.13,86.86,86.033,86.84,True,80476.0,1526850000.000000000
104,86.82,87.106,86.465,86.522,True,95634.0,1526936400.000000000
105,86.511,86.529,84.924,85.758,True,131476.0,1527022800.000000000
106,85.768,85.798,84.442,84.814,True,131375.0,1527109200.000000000
107,84.826,85.128,84.052,84.312,True,123117.0,1527195600.000000000
108,84.684,84.71,83.984,84.208,True,84705.0,1527454800.000000000
109,84.202,84.246,83.002,83.536,True,168310.0,1527541200.000000000
110,83.56,84.952,83.156,84.596,True,165862.0,1527627600.000000000
111,84.573,84.968,83.576,83.992,True,149101.0,1527714000.000000000
112,83.988,84.641,83.954,84.559,True,115466.0,1527800400.000000000
113,84.559,84.951,84.469,84.932,True,97364.0,1528059600.000000000
114,84.906,85.124,84.067,84.674,True,108507.0,1528146000.000000000
115,84.662,85.646,84.64,85.128,True,110339.0,1528232400.000000000
116,85.12,85.172,84.263,84.572,True,114448.0,1528318800.000000000
117,84.529,84.765,83.859,84.745,True,112815.0,1528405200.000000000
118,84.096,84.898,84.081,84.77,True,79608.0,1528664400.000000000
119,84.775,85.035,84.682,84.816,True,109893.0,1528750800.000000000
120,84.783,85.198,84.773,84.986,True,100804.0,1528837200.000000000
121,84.976,85.032,84.358,84.422,True,114594.0,1528923600.000000000
122,84.465,84.476,83.714,83.969,True,98978.0,1529010000.000000000
123,83.935,84.008,83.45,83.746,True,74091.0,1529269200.000000000
124,83.741,83.772,82.56,82.838,True,136182.0,1529355600.000000000
125,82.871,83.042,82.672,82.916,True,106093.0,1529442000.000000000
126,82.904,83.205,82.487,82.586,True,120431.0,1529528400.000000000
127,82.594,83.046,82.256,82.879,True,118840.0,1529614800.000000000
128,82.784,82.916,82.173,82.564,True,114481.0,1529874000.000000000
129,82.57,82.834,82.216,82.705,True,108903.0,1529960400.000000000
130,82.726,83.178,82.354,82.645,True,139702.0,1530046800.000000000
131,82.648,83.402,82.47,83.376,True,119949.0,1530133200.000000000
132,83.378,84.382,83.249,84.315,True,133043.0,1530219600.000000000
133,84.151,84.434,83.751,84.09,True,108787.0,1530478800.000000000
134,84.085,84.434,83.868,84.164,True,108775.0,1530565200.000000000
135,84.168,84.229,83.937,84.069,True,118262.0,1530651600.000000000
136,84.066,84.348,83.874,84.26,True,117409.0,1530738000.000000000
137,84.198,84.519,84.074,84.438,True,99831.0,1530824400.000000000
138,84.365,84.693,84.274,84.561,True,75113.0,1531083600.000000000
139,84.513,84.929,84.484,84.64,True,78549.0,1531170000.000000000
140,84.61,85.174,84.21,84.793,True,141909.0,1531256400.000000000
141,84.78,85.556,84.681,85.552,True,105759.0,1531342800.000000000
142,85.524,85.663,85.246,85.39,True,92284.0,1531429200.000000000
143,85.272,85.658,85.24,85.487,True,74545.0,1531688400.000000000
144,85.458,85.694,85.394,85.573,True,103872.0,1531774800.000000000
145,85.565,85.748,85.051,85.687,True,100419.0,1531861200.000000000
146,85.678,85.72,84.694,84.754,True,134542.0,1531947600.000000000
147,84.736,85.272,84.514,84.763,True,149213.0,1532034000.000000000
148,84.8,84.909,84.417,84.53,True,103517.0,1532293200.000000000
149,84.544,84.652,84.268,84.527,True,103532.0,1532379600.000000000
150,84.51,85.205,84.458,85.06,True,128284.0,1532466000.000000000
151,85.065,85.23,84.804,85.061,True,112272.0,1532552400.000000000
152,85.072,85.184,84.791,85.048,True,84929.0,1532638800.000000000
153,85.002,85.395,84.888,85.214,True,70728.0,1532898000.000000000
154,85.194,86.116,84.758,86.004,True,132881.0,1532984400.000000000
155,85.954,86.29,85.745,85.902,True,101363.0,1533070800.000000000
156,85.896,85.95,85.412,85.74,True,105727.0,1533157200.000000000
157,85.736,85.947,85.574,85.635,True,109792.0,1533243600.000000000
158,85.598,85.74,85.436,85.666,True,58633.0,1533502800.000000000
159,85.67,85.858,85.15,85.332,True,80271.0,1533589200.000000000
160,85.318,85.348,84.735,85.206,True,87651.0,1533675600.000000000
161,85.26,85.438,84.964,85.126,True,75983.0,1533762000.000000000
162,85.127,85.206,84.102,84.336,True,154182.0,1533848400.000000000
163,83.893,84.614,83.636,84.303,True,131747.0,1534107600.000000000
164,84.298,85.132,84.2,85.12,True,105009.0,1534194000.000000000
165,85.086,85.322,83.842,84.274,True,122406.0,1534280400.000000000
166,84.244,84.558,84.004,84.278,True,130894.0,1534366800.000000000
167,84.276,84.76,83.853,84.609,True,106185.0,1534453200.000000000
168,84.672,84.735,84.311,84.39,True,73614.0,1534712400.000000000
169,84.366,84.842,84.215,84.584,True,95889.0,1534798800.000000000
170,84.561,85.095,84.374,85.06,True,99908.0,1534885200.000000000
171,85.08,85.334,84.78,85.07,True,91284.0,1534971600.000000000
172,85.064,85.462,84.986,85.411,True,105120.0,1535058000.000000000
173,85.524,85.744,85.03,85.664,True,77201.0,1535317200.000000000
174,85.674,86.186,85.606,85.994,True,91923.0,1535403600.000000000
175,85.998,86.566,85.906,86.511,True,100342.0,1535490000.000000000
176,86.502,86.586,85.422,85.51,True,101747.0,1535576400.000000000
177,85.482,85.588,84.698,85.164,True,121426.0,1535662800.000000000
178,84.969,85.144,84.756,84.817,True,64663.0,1535922000.000000000
179,84.823,85.006,84.22,84.522,True,98091.0,1536008400.000000000
180,84.504,84.904,84.371,84.632,True,109757.0,1536094800.000000000
181,84.635,84.654,83.766,84.268,True,108523.0,1536181200.000000000
182,84.276,84.642,83.881,84.344,True,122136.0,1536267600.000000000
183,84.387,84.546,84.088,84.434,True,67375.0,1536526800.000000000
184,84.44,85.558,84.398,85.422,True,78868.0,1536613200.000000000
185,85.409,85.818,85.094,85.57,True,93125.0,1536699600.000000000
186,85.634,86.169,85.504,86.098,True,86179.0,1536786000.000000000
187,86.11,86.234,85.778,85.96,True,81823.0,1536872400.000000000
188,85.93,86.127,85.743,85.753,True,59934.0,1537131600.000000000
189,85.784,86.632,85.48,86.603,True,103376.0,1537218000.000000000
190,86.566,87.028,86.278,86.91,True,89046.0,1537304400.000000000
191,86.922,87.255,86.73,87.172,True,102762.0,1537390800.000000000
192,87.144,87.458,87.074,87.168,True,89792.0,1537477200.000000000
193,86.972,87.227,86.91,87.06,True,63288.0,1537736400.000000000
194,87.055,87.266,86.953,87.222,True,69673.0,1537822800.000000000
195,87.22,87.258,86.519,86.583,True,87998.0,1537909200.000000000
196,86.614,87.142,86.212,86.941,True,91462.0,1537995600.000000000
197,86.938,88.089,86.91,88.079,True,86256.0,1538082000.000000000
198,88.495,89.176,88.242,88.922,True,84945.0,1538341200.000000000
199,88.918,89.018,88.473,88.649,True,84992.0,1538427600.000000000
200,88.595,89.219,88.486,89.002,True,91469.0,1538514000.000000000
201,88.968,88.991,87.95,88.148,True,106490.0,1538600400.000000000
202,88.146,88.372,87.691,87.885,True,112288.0,1538686800.000000000
203,87.899,87.974,87.008,87.372,True,81270.0,1538946000.000000000
204,87.322,87.459,87.014,87.23,True,129951.0,1539032400.000000000
205,87.252,87.461,85.896,85.908,True,130474.0,1539118800.000000000
206,85.943,86.382,85.688,86.06,True,211329.0,1539205200.000000000
207,86.04,86.448,85.768,86.156,True,131545.0,1539291600.000000000
208,86.137,86.39,85.577,86.044,True,123829.0,1539550800.000000000
209,86.035,86.89,86.029,86.79,True,102760.0,1539637200.000000000
210,86.804,86.888,86.168,86.494,True,111561.0,1539723600.000000000
211,86.528,86.569,85.58,85.739,True,133398.0,1539810000.000000000
212,85.728,86.374,85.57,85.894,True,133928.0,1539896400.000000000
213,85.99,86.295,85.656,86.12,True,105210.0,1540155600.000000000
214,86.122,86.164,85.368,85.936,True,132873.0,1540242000.000000000
215,85.926,86.818,85.838,85.965,True,170118.0,1540328400.000000000
216,85.957,86.313,85.728,85.997,True,156587.0,1540414800.000000000
217,86.01,86.016,84.85,85.385,True,200579.0,1540501200.000000000
218,85.446,85.902,85.289,85.569,True,135805.0,1540760400.000000000
219,85.56,86.268,85.523,86.254,True,143333.0,1540846800.000000000
220,86.304,86.396,85.682,85.84,True,121840.0,1540933200.000000000
221,85.856,86.317,85.649,86.136,True,116190.0,1541019600.000000000
222,86.136,86.607,85.973,86.342,True,130867.0,1541106000.000000000
223,86.44,86.598,86.276,86.34,True,95944.0,1541368800.000000000
224,86.34,86.536,86.168,86.431,True,80793.0,1541455200.000000000
225,86.372,86.768,86.09,86.562,True,154950.0,1541541600.000000000
226,86.596,87.006,86.448,86.716,True,115939.0,1541628000.000000000
227,86.72,86.768,85.951,86.144,True,106372.0,1541714400.000000000
228,86.199,86.588,85.876,85.937,True,119391.0,1541973600.000000000
229,85.946,86.298,85.772,85.976,True,128419.0,1542060000.000000000
230,85.998,86.26,85.536,85.804,True,135244.0,1542146400.000000000
231,85.804,86.355,85.449,86.238,True,136122.0,1542232800.000000000
232,86.214,86.252,85.498,85.814,True,112789.0,1542319200.000000000
233,85.736,85.795,85.214,85.462,True,105670.0,1542578400.000000000
234,85.452,85.56,84.614,84.745,True,124537.0,1542664800.000000000
235,84.782,85.496,84.65,85.454,True,103790.0,1542751200.000000000
236,85.458,85.712,85.246,85.637,True,92115.0,1542837600.000000000
237,85.624,85.692,85.06,85.332,True,94948.0,1542924000.000000000
238,85.384,85.927,85.33,85.718,True,96414.0,1543183200.000000000
239,85.696,85.864,85.378,85.594,True,94293.0,1543269600.000000000
240,85.587,85.736,85.263,85.63,True,97513.0,1543356000.000000000
241,85.625,85.644,85.167,85.444,True,101028.0,1543442400.000000000
242,85.437,85.53,85.174,85.396,True,89379.0,1543528800.000000000
243,85.891,86.245,85.616,86.12,True,102216.0,1543788000.000000000
244,86.094,86.118,84.923,85.022,True,123442.0,1543874400.000000000
245,85.036,85.194,84.473,84.763,True,82955.0,1543960800.000000000
246,84.744,84.756,83.568,84.213,True,164938.0,1544047200.000000000
