,open,high,low,close,complete,volume,time
0,0.88652,0.88873,0.8854,0.88728,True,14624.0,1514325600.000000000
1,0.88732,0.88942,0.88664,0.88852,True,12228.0,1514412000.000000000
2,0.88838,0.88918,0.88578,0.88852,True,15274.0,1514498400.000000000
3,0.88858,0.89184,0.88592,0.88734,True,16165.0,1514844000.000000000
4,0.8874,0.89002,0.88483,0.88888,True,15402.0,1514930400.000000000
5,0.88902,0.89246,0.88806,0.89054,True,13977.0,1515016800.000000000
6,0.89058,0.89116,0.88664,0.88668,True,15198.0,1515103200.000000000
7,0.88698,0.88758,0.88152,0.88204,True,14067.0,1515362400.000000000
8,0.8821,0.88342,0.88089,0.88158,True,14516.0,1515448800.000000000
9,0.88161,0.88732,0.88134,0.88453,True,21832.0,1515535200.000000000
10,0.88457,0.89124,0.88453,0.8887,True,22022.0,1515621600.000000000
11,0.88886,0.89296,0.88559,0.88879,True,29754.0,1515708000.000000000
12,0.88815,0.891,0.88729,0.88922,True,21951.0,1515967200.000000000
13,0.88906,0.89016,0.88623,0.88896,True,22678.0,1516053600.000000000
14,0.88886,0.89084,0.88097,0.88109,True,29915.0,1516140000.000000000
15,0.88118,0.88374,0.88018,0.88088,True,20712.0,1516226400.000000000
16,0.88073,0.88458,0.88052,0.88199,True,21051.0,1516312800.000000000
17,0.88317,0.88339,0.87622,0.87662,True,15933.0,1516572000.000000000
18,0.87666,0.87957,0.87618,0.87847,True,19242.0,1516658400.000000000
19,0.87823,0.87876,0.86997,0.87135,True,26628.0,1516744800.000000000
20,0.87141,0.87854,0.8687,0.87674,True,47641.0,1516831200.000000000
21,0.87666,0.8785,0.87242,0.87782,True,30540.0,1516917600.000000000
22,0.87892,0.88162,0.8767,0.87971,True,23173.0,1517176800.000000000
23,0.87976,0.88336,0.87542,0.87643,True,23830.0,1517263200.000000000
24,0.87668,0.88162,0.87422,0.87466,True,28186.0,1517349600.000000000
25,0.87458,0.87742,0.87162,0.87676,True,24067.0,1517436000.000000000
26,0.87712,0.88252,0.8757,0.88218,True,23106.0,1517522400.000000000
27,0.88187,0.88734,0.88133,0.88582,True,26282.0,1517781600.000000000
28,0.88592,0.89109,0.88554,0.88715,True,36321.0,1517868000.000000000
29,0.88726,0.88981,0.88337,0.88357,True,24656.0,1517954400.000000000
30,0.88385,0.88412,0.87322,0.88036,True,37044.0,1518040800.000000000
31,0.88024,0.88795,0.87788,0.88596,True,33850.0,1518127200.000000000
32,0.88688,0.88921,0.88434,0.88835,True,18854.0,1518386400.000000000
33,0.88842,0.89102,0.88579,0.88908,True,19719.0,1518472800.000000000
34,0.88919,0.89198,0.88748,0.88938,True,26934.0,1518559200.000000000
35,0.88944,0.8902,0.88582,0.88702,True,23421.0,1518645600.000000000
36,0.88697,0.8889,0.88423,0.88428,True,20316.0,1518732000.000000000
37,0.88493,0.88692,0.88458,0.88623,True,11275.0,1518991200.000000000
38,0.88612,0.88702,0.88052,0.88147,True,18548.0,1519077600.000000000
39,0.8815,0.88578,0.88058,0.88262,True,22225.0,1519164000.000000000
40,0.8827,0.88636,0.88232,0.88353,True,19139.0,1519250400.000000000
41,0.88348,0.88381,0.87867,0.88019,True,17867.0,1519336800.000000000
42,0.87886,0.88232,0.8772,0.8819,True,17149.0,1519596000.000000000
43,0.88186,0.88442,0.87869,0.87967,True,20822.0,1519682400.000000000
44,0.87952,0.88669,0.87792,0.8862,True,21738.0,1519768800.000000000
45,0.88624,0.89088,0.88372,0.8903,True,24082.0,1519855200.000000000
46,0.89044,0.89517,0.88962,0.89243,True,20719.0,1519941600.000000000
47,0.89334,0.89497,0.88849,0.89074,True,20816.0,1520200800.000000000
48,0.89078,0.8944,0.8906,0.89317,True,18475.0,1520287200.000000000
49,0.89321,0.8968,0.89193,0.89268,True,19976.0,1520373600.000000000
50,0.89301,0.89568,0.89064,0.89146,True,20929.0,1520460000.000000000
51,0.89163,0.89262,0.8875,0.88845,True,17261.0,1520546400.000000000
52,0.88852,0.88968,0.88496,0.88706,True,10929.0,1520802000.000000000
53,0.88738,0.88862,0.88516,0.88738,True,15436.0,1520888400.000000000
54,0.88726,0.88795,0.88448,0.88584,True,14935.0,1520974800.000000000
