,open,high,low,close,complete,volume,time
0,1.18756,1.1876,1.1817,1.18617,True,35825.0,1513893600.000000000
1,1.18688,1.18792,1.18466,1.18584,True,14259.0,1514239200.000000000
2,1.18569,1.19105,1.18548,1.18881,True,28535.0,1514325600.000000000
3,1.18979,1.19591,1.18954,1.19448,True,23870.0,1514412000.000000000
4,1.19432,1.20256,1.1936,1.20039,True,27286.0,1514498400.000000000
5,1.20071,1.20812,1.20019,1.2058,True,35630.0,1514844000.000000000
6,1.2059,1.20666,1.2001,1.20144,True,31354.0,1514930400.000000000
7,1.20144,1.2089,1.20042,1.20683,True,35187.0,1515016800.000000000
8,1.20664,1.20834,1.20208,1.20297,True,36478.0,1515103200.000000000
9,1.20271,1.20522,1.19558,1.19687,True,27618.0,1515362400.000000000
10,1.19689,1.19756,1.19159,1.19369,True,30682.0,1515448800.000000000
11,1.19369,1.20182,1.19235,1.19474,True,53721.0,1515535200.000000000
12,1.19479,1.20592,1.19295,1.2032,True,56416.0,1515621600.000000000
13,1.20332,1.22193,1.20308,1.21968,True,72621.0,1515708000.000000000
14,1.21935,1.22968,1.21878,1.22636,True,58122.0,1515967200.000000000
15,1.22655,1.22832,1.21952,1.22607,True,62083.0,1516053600.000000000
16,1.22591,1.2323,1.21776,1.21854,True,79900.0,1516140000.000000000
17,1.21872,1.2265,1.21653,1.2239,True,62278.0,1516226400.000000000
18,1.2237,1.22954,1.22152,1.22211,True,63825.0,1516312800.000000000
19,1.22716,1.22743,1.22141,1.22614,True,46154.0,1516572000.000000000
20,1.22614,1.23062,1.2223,1.2299,True,54615.0,1516658400.000000000
21,1.23004,1.24154,1.22914,1.2408,True,77439.0,1516744800.000000000
22,1.24104,1.25374,1.23642,1.2398,True,177246.0,1516831200.000000000
23,1.2394,1.2494,1.23699,1.24296,True,107812.0,1516917600.000000000
24,1.2428,1.24324,1.2337,1.23827,True,75291.0,1517176800.000000000
25,1.2381,1.24543,1.23349,1.24024,True,79856.0,1517263200.000000000
26,1.24028,1.24748,1.2387,1.24138,True,102596.0,1517349600.000000000
27,1.24098,1.25233,1.23849,1.25079,True,83787.0,1517436000.000000000
28,1.25135,1.25184,1.24092,1.24566,True,96966.0,1517522400.000000000
29,1.24359,1.2475,1.23625,1.23671,True,101428.0,1517781600.000000000
30,1.23671,1.24346,1.23138,1.2377,True,133358.0,1517868000.000000000
31,1.23763,1.24064,1.2246,1.2263,True,75446.0,1517954400.000000000
32,1.22606,1.2295,1.22122,1.2247,True,104899.0,1518040800.000000000
33,1.22458,1.22871,1.2206,1.22512,True,98355.0,1518127200.000000000
34,1.2249,1.22978,1.22352,1.22912,True,53579.0,1518386400.000000000
35,1.2289,1.23711,1.22844,1.23521,True,55988.0,1518472800.000000000
36,1.23517,1.24654,1.2276,1.24505,True,93162.0,1518559200.000000000
37,1.2452,1.25108,1.24483,1.25066,True,76999.0,1518645600.000000000
38,1.2503,1.2556,1.23936,1.24097,True,76751.0,1518732000.000000000
39,1.24027,1.24354,1.23691,1.24074,True,48999.0,1518991200.000000000
40,1.24054,1.24123,1.23197,1.23372,True,63494.0,1519077600.000000000
41,1.23376,1.236,1.22812,1.22854,True,81535.0,1519164000.000000000
42,1.2286,1.23524,1.22596,1.23314,True,63036.0,1519250400.000000000
43,1.23296,1.23376,1.228,1.22957,True,48786.0,1519336800.000000000
44,1.22952,1.2355,1.22776,1.23176,True,51392.0,1519596000.000000000
45,1.23183,1.23464,1.22218,1.22333,True,68726.0,1519682400.000000000
46,1.22333,1.22415,1.21874,1.21946,True,58761.0,1519768800.000000000
47,1.21932,1.22736,1.21542,1.22666,True,77199.0,1519855200.000000000
48,1.2262,1.2336,1.22514,1.23183,True,68139.0,1519941600.000000000
49,1.23336,1.23656,1.22689,1.23358,True,70397.0,1520200800.000000000
50,1.23358,1.24205,1.23284,1.2405,True,60303.0,1520287200.000000000
51,1.2407,1.24464,1.23849,1.24114,True,66027.0,1520373600.000000000
52,1.24114,1.24465,1.22978,1.23122,True,79137.0,1520460000.000000000
53,1.23114,1.23346,1.22728,1.23059,True,64098.0,1520546400.000000000
54,1.23138,1.23456,1.22904,1.23347,True,37231.0,1520802000.000000000
55,1.23395,1.24075,1.23146,1.23904,True,56176.0,1520888400.000000000
56,1.23908,1.24126,1.23471,1.23678,True,47824.0,1520974800.000000000
57,1.23658,1.2384,1.23002,1.23048,True,45401.0,1521061200.000000000
58,1.23048,1.23362,1.22604,1.22895,True,40632.0,1521147600.000000000
59,1.22863,1.2359,1.2258,1.23354,True,50420.0,1521406800.000000000
60,1.23354,1.23546,1.22398,1.22412,True,45948.0,1521493200.000000000
61,1.22412,1.23498,1.22405,1.23376,True,75552.0,1521579600.000000000
62,1.2341,1.23884,1.22853,1.23013,True,66038.0,1521666000.000000000
63,1.23005,1.23738,1.22999,1.23524,True,56603.0,1521752400.000000000
64,1.235,1.24616,1.235,1.24451,True,45028.0,1522011600.000000000
65,1.24479,1.24767,1.23722,1.24028,True,50930.0,1522098000.000000000
66,1.24028,1.24218,1.22999,1.23079,True,53275.0,1522184400.000000000
67,1.23086,1.23366,1.22842,1.22998,True,46145.0,1522270800.000000000
68,1.23015,1.23312,1.22904,1.23241,True,21400.0,1522357200.000000000
69,1.23213,1.2345,1.22814,1.2302,True,26660.0,1522616400.000000000
70,1.23024,1.23362,1.22534,1.22706,True,43925.0,1522702800.000000000
71,1.22686,1.23148,1.22569,1.22777,True,42892.0,1522789200.000000000
72,1.22787,1.22902,1.22184,1.22398,True,39823.0,1522875600.000000000
73,1.22398,1.22912,1.22149,1.22811,True,60781.0,1522962000.000000000
74,1.2287,1.23311,1.22604,1.23209,True,46133.0,1523221200.000000000
75,1.23189,1.23776,1.23027,1.2356,True,54193.0,1523307600.000000000
76,1.23543,1.23976,1.2347,1.23674,True,46190.0,1523394000.000000000
77,1.23658,1.23799,1.22991,1.2326,True,49137.0,1523480400.000000000
78,1.23278,1.23462,1.2307,1.23306,True,37690.0,1523566800.000000000
79,1.23342,1.23948,1.2324,1.23792,True,35426.0,1523826000.000000000
80,1.23815,1.2414,1.23362,1.23698,True,37050.0,1523912400.000000000
81,1.23733,1.23973,1.23416,1.23742,True,43255.0,1523998800.000000000
82,1.23742,1.24004,1.23292,1.23451,True,47499.0,1524085200.000000000
83,1.23472,1.23528,1.22498,1.22884,True,44915.0,1524171600.000000000
84,1.22735,1.22896,1.21975,1.22083,True,43453.0,1524430800.000000000
85,1.22083,1.22449,1.21817,1.2233,True,47020.0,1524517200.000000000
86,1.2233,1.22388,1.21604,1.21608,True,41689.0,1524603600.000000000
87,1.21615,1.22101,1.20965,1.21032,True,65983.0,1524690000.000000000
88,1.21058,1.2133,1.20556,1.21303,True,48798.0,1524776400.000000000
89,1.21245,1.2139,1.20646,1.2079,True,45831.0,1525035600.000000000
90,1.20775,1.20842,1.19812,1.1992,True,41295.0,1525122000.000000000
91,1.1993,1.2032,1.19376,1.19506,True,70551.0,1525208400.000000000
92,1.19517,1.20089,1.19474,1.19889,True,63454.0,1525294800.000000000
93,1.1988,1.19956,1.19102,1.19619,True,55412.0,1525381200.000000000
94,1.19581,1.19782,1.18972,1.19228,True,36386.0,1525640400.000000000
95,1.19239,1.19391,1.1838,1.18644,True,57703.0,1525726800.000000000
96,1.18616,1.1897,1.18224,1.18512,True,50014.0,1525813200.000000000
97,1.18495,1.19466,1.18432,1.19156,True,67964.0,1525899600.000000000
98,1.19156,1.19682,1.18912,1.1941,True,45179.0,1525986000.000000000
99,1.19436,1.19964,1.1926,1.19266,True,40490.0,1526245200.000000000
100,1.19229,1.19387,1.18202,1.18374,True,60566.0,1526331600.000000000
101,1.18394,1.18542,1.17632,1.1808,True,71967.0,1526418000.000000000
102,1.18063,1.18376,1.17763,1.17941,True,61176.0,1526504400.000000000
103,1.17948,1.18222,1.17499,1.17694,True,46549.0,1526590800.000000000
104,1.17728,1.17958,1.17164,1.17912,True,42299.0,1526850000.000000000
105,1.17888,1.18301,1.17566,1.17779,True,51881.0,1526936400.000000000
106,1.1781,1.17897,1.16756,1.16972,True,81175.0,1527022800.000000000
107,1.16962,1.17506,1.16905,1.17194,True,66651.0,1527109200.000000000
108,1.17215,1.17339,1.16453,1.1649,True,64344.0,1527195600.000000000
