,open,high,low,close,complete,volume,time
0,0.7085,0.70978,0.70093,0.70134,True,59032.0,1515708000.000000000
1,0.70106,0.70464,0.69986,0.70299,True,52455.0,1515967200.000000000
2,0.70338,0.70376,0.69724,0.69754,True,44752.0,1516053600.000000000
3,0.69762,0.70313,0.69618,0.70269,True,61049.0,1516140000.000000000
4,0.70204,0.70399,0.6982,0.70016,True,55894.0,1516226400.000000000
5,0.69996,0.70196,0.69666,0.70196,True,54614.0,1516312800.000000000
6,0.70016,0.70503,0.69941,0.70482,True,39377.0,1516572000.000000000
7,0.70507,0.70672,0.70305,0.70438,True,51786.0,1516658400.000000000
8,0.7044,0.70478,0.69328,0.69358,True,65330.0,1516744800.000000000
9,0.6937,0.69772,0.68374,0.68932,True,133270.0,1516831200.000000000
10,0.68924,0.68994,0.6858,0.68686,True,93611.0,1516917600.000000000
11,0.68566,0.688,0.68456,0.68643,True,71616.0,1517176800.000000000
12,0.68673,0.68771,0.68265,0.68462,True,72500.0,1517263200.000000000
13,0.6844,0.6926,0.68412,0.68574,True,92436.0,1517349600.000000000
14,0.6862,0.68736,0.68412,0.68563,True,77446.0,1517436000.000000000
15,0.68574,0.68616,0.6794,0.67976,True,93936.0,1517522400.000000000
16,0.67928,0.68424,0.6757,0.67666,True,92760.0,1517781600.000000000
17,0.6769,0.68866,0.67574,0.68731,True,118548.0,1517868000.000000000
18,0.68705,0.6885,0.67977,0.68292,True,75846.0,1517954400.000000000
19,0.68258,0.68418,0.67372,0.67561,True,99962.0,1518040800.000000000
20,0.67544,0.68246,0.67492,0.68104,True,91320.0,1518127200.000000000
21,0.68056,0.68253,0.67839,0.68241,True,47388.0,1518386400.000000000
22,0.68209,0.68368,0.679,0.67999,True,52101.0,1518472800.000000000
23,0.6796,0.68587,0.67804,0.68437,True,91221.0,1518559200.000000000
24,0.68462,0.68636,0.68058,0.68282,True,76680.0,1518645600.000000000
25,0.68297,0.68604,0.68156,0.6849,True,63010.0,1518732000.000000000
26,0.68511,0.68707,0.68394,0.68465,True,46445.0,1518991200.000000000
27,0.68486,0.68864,0.6839,0.68771,True,54888.0,1519077600.000000000
28,0.68736,0.69026,0.68678,0.68721,True,72892.0,1519164000.000000000
29,0.68724,0.68836,0.68343,0.68504,True,56121.0,1519250400.000000000
30,0.68506,0.68559,0.68106,0.68312,True,50758.0,1519336800.000000000
